Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4472.4 at 16:37 4/6/2010  Report at 22:00 Friday 4/6/2010. Processed 13:53 Sunday 6/6/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
36,35,TCL,Transurban stp,6.14,4.43,6,5.61,3.839,24,,5.42,5.42,-61.4,1.85,239.5,-85.2,1.60,2.75,11.2,-12.2
37,39,RMD,ResMed Inc cdi,6.05,7.83,43,7.84,4.73,-,,-,-,-,25.11,31.2,55.6,4.40,-,50.8,17.5
38,38,CWN,Crown Ltd,6.028,8.00,30,9.39,6.41,37,p,4.63,5.81,-31.5,-92.35,-,-27.2,1.75,3.24,14.8,-
39,37,WOR,WorleyParsons Ltd,5.809,24.26,-80,31.79,20.23,90.5,f,3.73,5.33,8.8,136.3,17.8,13.2,3.51,0.16,5.4,-8.0
40,40,QAN,Qantas Airways,5.708,2.52,7,3.06,1.85,6,,2.38,3.40,-82.9,-2.7,-,-82.1,0.99,2.25,25.4,-19.4
41,42,MAP,MAP Grp forus,5.323,2.86,9,3.38,1.998,19,,6.64,6.64,-21.4,-33.11,-,-,0.88,-0.30,33.4,-1.4
42,41,ASX,ASX Ltd,5.251,30.25,-88,37.90,30.00,163.6,f,5.41,7.73,-14.3,180.6,16.7,-14.3,1.89,3.19,-14.2,-10.3
43,45,IPL,Incitec Pivot,5.037,3.10,9,3.83,2.14,4.1,,1.32,1.32,-97.8,-10.2,-,-58.7,1.49,0.27,32.1,-0.7
44,43,GPT,GPT Grp stp,4.991,2.69,1,2.84,0.45,3.6,,1.34,1.34,-74.6,-14.5,-,-73.3,0.75,0.69,476.8,-8.5
45,44,AFI,Aust Foundation,4.811,4.78,-11,5.41,4.26,21,f,4.39,6.28,-,8.93,53.5,-49.8,1.33,5.08,14.1,-1.3
46,46,CFX,CFS Retail Prop unt,4.795,1.91,-2.5,2.12,1.575,12.5,,6.54,6.54,4.2,-1.9,-,24.2,0.96,1.99,15.8,0.3
47,47,AIO,Asciano Grp stp,4.696,1.605,0.5,1.94,1.193,-,,-,-,-100.0,-41.9,-,-70.5,2.13,0.10,20.2,-39.8
48,48,LLC,Lend Lease Grp stp,4.445,7.86,10,10.907,6.376,36,f,4.58,6.54,-46.8,43.1,18.2,-35.8,1.82,3.99,16.5,-20.6
49,58,GMG,Goodman Grp forus,4.30,0.675,5.5,0.75,0.313,1.5,,2.22,2.22,-71.6,-31.3,-,13.3,1.14,0.50,100.8,-48.7
50,51,MGR,Mirvac Grp stp,4.279,1.31,2,1.745,1.01,6.2,,4.73,4.73,-72.6,-11.58,-,-59.1,0.88,-,26.0,-32.8
51,53,COH,Cochlear Ltd,4.231,74.82,163,77.66,51.25,190,f,2.54,3.63,16.7,242.2,30.9,12.9,11.62,3.25,33.8,10.1
52,49,TOL,Toll Hldgs Ltd,4.182,5.95,-29,9.33,5.85,25,f,4.20,6.00,11.5,31.45,18.9,-17.1,1.61,1.44,-1.8,-20.5
53,52,BSL,BlueScope Steel,4.157,2.28,-3,3.48,2.06,5,,2.19,3.13,-87.3,-61.37,-,-90.7,0.73,2.47,-9.9,-32.7
54,50,OST,OneSteel Ltd,4.115,3.09,-13,4.15,2.31,9,,2.91,2.91,-49.2,5.45,56.7,-49.6,0.95,1.72,22.9,-16.4
55,59,SHL,Sonic Healthcare,4.113,10.59,54,15.64,9.53,59,p,5.57,6.41,9.6,47.6,22.2,15.9,1.63,-1.48,-10.4,-7.5
56,57,FBU,Fletcher Bld,4.042,6.66,12,7.04,4.96,20.63,,3.10,3.10,-22.8,-14.88,-,-22.1,1.68,2.36,30.4,-11.7
57,56,TAH,Tabcorp Hldgs Ltd,4.019,6.56,-11,7.52,6.28,60,f,9.15,13.07,38.3,86.1,7.6,-5.3,1.23,-1.53,-,-21.0
58,60,DXS,DEXUS Prop Grp stp,3.929,0.815,4,0.89,0.66,6.15,,7.55,7.55,-35.6,-11.03,-,2.8,0.76,0.95,12.0,-19.2
59,54,SGM,Sims Metal Mgmt,3.91,19.18,-111,29.15,18.55,20,f,1.04,1.49,-68.3,-17.7,-,-92.8,1.37,8.87,-27.0,-6.7
60,55,AWC,Alumina Ltd,3.88,1.59,-9,2.06,1.285,2,f,1.26,1.79,-80.7,-1.2,-,-88.5,1.19,1.21,11.5,-35.1
61,62,NHC,New Hope Corp,3.741,4.52,10,5.50,3.777,9.5,f,2.10,3.00,60.9,29,15.6,189.4,1.36,2.67,18.4,38.1
62,61,HVN,Harvey Norman,3.633,3.42,-3,4.85,2.75,13,f,3.80,5.43,-21.4,25.78,13.3,-15.0,1.76,2.10,7.4,-10.4
63,63,ARG,Argo Invest,3.619,5.98,,7.05,5.61,25,f,4.18,5.97,-10.0,-11.1,-,-53.1,1.25,6.54,7.9,-5.6
64,64,AOE,Arrow Energy,3.553,4.85,2,5.31,3.04,-,,-,-,-,15.38,31.5,-,3.06,2.13,36.6,20.1
65,65,FXJ,Fairfax Media Ltd,3.516,1.495,-0.5,1.885,1.07,1.1,,0.74,0.74,-89.2,9.3,16.1,-48.1,0.70,-0.31,23.3,-27.4
66,68,JHX,James Hardie Ind cdi,3.281,7.55,15,8.86,3.73,-,,-,-,-,-21.4,-,-,-,-0.29,79.8,-3.5
67,67,BLD,Boral Ltd,3.264,5.45,-16,6.40,3.77,12.5,f,2.29,3.28,-61.8,22.7,24.0,-46.7,1.19,4.23,36.9,-11.1
68,66,OZL,OZ Minerals,3.262,1.045,-4.5,1.325,0.83,-,,-,-,-100.0,-16.6,-,258.3,1.27,0.82,13.6,-32.2
69,69,SOL,Soul Pattinson,3.138,13.15,21,15.38,9.736,33,f,2.51,3.58,6.7,124.07,10.6,98.6,0.81,11.11,27.5,13.3
70,73,MTS,Metcash Ltd,3.131,4.09,14,4.74,3.84,26,f,6.36,9.08,8.3,29.74,13.8,8.3,2.27,0.12,0.8,2.4
71,74,BEN,Bendigo & Adelaide,3.126,8.82,34,10.48,6.00,43,f,4.88,6.96,-33.9,35.53,24.8,-37.9,1.00,5.16,34.5,-11.4
72,75,EQN,Equinox Min Ltd cdi,3.113,4.40,25,4.78,2.18,-,,-,-,-,-30.1,-,-,4.57,-,47.7,4.1
73,70,AQP,Aquarius Platinum,3.033,6.55,-5,7.95,3.74,2.26,,0.35,0.35,-100.0,20.79,31.5,-,4.05,-,35.2,-15.5
74,76,MCC,Macarthur Coal,3.011,11.84,36,17.17,6.03,21,f,1.77,2.53,-23.5,45.3,26.1,183.3,2.98,4.15,82.9,22.3
75,71,TTS,Tatts Grp Ltd,2.974,2.32,-6,2.67,2.19,21,f,9.05,12.93,121.1,21.9,10.6,7.6,1.15,-0.51,-1.2,-14.9
76,79,RHC,Ramsay Health Care,2.934,14.52,63,14.67,10.20,40,f,2.75,3.94,16.9,64.2,22.6,25.3,3.23,1.70,30.0,12.5
77,72,CTX,Caltex Aust,2.919,10.81,-42,14.00,8.01,25,f,2.31,3.30,-30.6,116.3,9.3,68.9,1.00,10.48,-20.2,-20.5
78,78,AQA,Aquila Res,2.90,9.00,,11.38,4.273,-,,-,-,-,-14.8,-,-9.8,18.74,-,71.9,33.4
79,77,TEL,Telecom Corp,2.885,1.505,-1,2.31,1.475,16.61,,11.04,11.04,-18.7,20.69,7.3,-30.0,1.32,0.69,-24.5,-22.1
80,80,PTM,Platinum Asset,2.79,4.97,-2,6.34,3.76,20,f,4.02,5.75,-16.7,23.41,21.2,-22.0,14.37,-,25.2,-8.9
81,81,PDN,Paladin Energy,2.79,3.89,2,5.35,3.41,-,,-,-,-,11.67,33.3,-,3.59,1.58,-21.1,-22.2
82,82,ERA,Energy Res,2.651,13.90,-45,27.37,12.51,39,f,2.81,4.01,39.3,142.9,9.7,131.0,2.74,5.10,-39.5,-8.9
83,83,CSR,CSR Ltd,2.606,1.72,2.5,2.18,1.45,8.5,f,4.94,7.06,15.9,-8.2,-,6.3,1.43,1.04,8.7,-14.8
84,85,SEK,Seek Ltd,2.534,7.53,7,8.57,3.62,9.9,f,1.31,1.88,-50.5,18.4,40.9,-28.9,8.78,0.55,83.3,3.0
85,88,WHC,Whitehaven Coal,2.483,5.03,18,6.05,2.69,8.8,f,1.75,2.50,400.0,28.3,17.8,431.8,3.43,2.09,63.7,35.9
86,84,BBG,Billabong Intl,2.468,9.75,-37,12.32,7.93,36,p,3.69,4.48,-15.1,57.2,17.0,-19.5,2.10,0.84,14.9,-13.7
87,89,ITO,Intoll Grp stp,2.42,1.07,3,1.71,1.005,12,,11.21,11.57,-,-16.38,-,58.6,0.58,1.78,-24.1,-28.3
88,87,BOQ,Bank of Qld,2.394,11.10,-9,13.49,8.056,52,f,4.68,6.69,-64.0,92.4,12.0,-25.9,1.13,7.20,29.1,-9.0
89,86,REH,Reece Aust Ltd,2.39,24.00,-40,26.65,17.50,53,f,2.21,3.15,-10.5,109,22.0,-12.3,4.48,5.41,36.2,-2.7
90,91,ATM,Aneka Tambang cdi,2.289,1.20,,1.30,1.00,2.94,,2.45,2.45,-60.5,0.7,171.4,-60.3,2.36,0.10,20.0,-0.1
91,90,SPN,SP AusNet stp,2.245,0.83,-2,0.975,0.725,8,p,9.64,11.12,-30.7,8.09,10.3,-1.5,0.81,0.94,18.2,-7.0
92,92,DJS,David Jones Ltd,2.212,4.33,-7,5.96,3.86,29,f,6.70,9.57,3.7,33,13.1,8.5,3.22,1.22,0.7,-1.6
93,93,UGL,UGL Ltd,2.199,13.25,-19,15.97,9.63,64,f,4.83,6.90,10.3,80.9,16.4,8.4,1.96,-0.43,33.6,-2.9
94,94,ALL,Aristocrat Leisure,2.171,4.07,3,5.75,3.37,4.5,,1.11,1.58,-81.3,-31.3,-,-24.3,14.11,0.07,8.3,-31.6
95,99,ILU,Iluka Res,2.094,5.00,30,5.04,2.70,-,,-,-,-,-26.8,-,-,1.91,2.58,74.8,-2.4
96,96,JBH,JB Hi-Fi Ltd,2.069,19.10,27,23.71,13.33,62,f,3.25,4.64,69.2,103.42,18.5,44.4,9.03,1.71,28.2,23.8
97,101,CMJ,Consolidated Media,2.024,3.26,16,3.44,2.17,16.5,f,5.06,6.44,-38.9,57.44,5.7,-23.1,4.43,0.88,51.4,1.2
98,97,AIA,Auckland Airport,1.985,1.515,,1.654,1.171,6.68,,4.41,4.41,-4.1,5.63,26.9,-5.1,1.34,1.22,21.2,-17.6
99,107,RIV,Riversdale Min,1.975,9.87,64,10.10,4.92,-,,-,-,-,-2.09,-,-96.9,3.90,2.04,86.2,44.2
100,102,APA,APA Grp stp,1.947,3.59,8,3.79,2.60,31.75,,8.84,8.84,5.1,25,14.4,12.6,1.52,-,30.6,2.5
101,98,SVW,Seven Grp Hldgs,1.918,6.28,-19,7.60,6.05,-,,-,-,-,-,-,-26.4,0.61,-,23.0,-14.7
