Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, March 27, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5888.9 at 2015-03-27T16:39:36. Report at Friday, March 27, 2015. Processed Saturday at 2015-03-28T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,152.955,94.34,-198,96.69,73.57,416.00,f,4.41,6.30,10.2,552.40,17.1,12.0,3.165,24.46,30.5,31.1,,
2,2,WBC,Westpac Banking,122.311,39.20,-53,39.89,31.33,182.00,f,4.64,6.63,4.6,243.70,16.1,9.8,2.513,11.57,21.3,29.9,,
3,3,ANZ,ANZ Banking Grp,101.788,36.80,+1,37.19,30.47,178.00,f,4.84,6.91,8.5,267.10,13.8,21.3,2.065,14.65,17.4,23.3,,
4,4,BHP,BHP Billiton,98.760,30.75,+8,39.74,26.50,147.02,f,4.78,6.83,11.2,203.47,15.1,12.2,1.087,18.54,-12.0,-.2,,
5,5,NAB,National Aust Bank,94.012,38.83,-56,39.58,31.33,198.00,f,5.10,7.28,4.2,222.10,17.5,-13.8,1.991,15.15,17.8,24.8,,
6,6,TLS,Telstra Corp,78.000,6.38,+1,6.735,5.02,30.00,f,4.70,6.72,5.4,37.60,17.0,24.3,5.579,.41,31.8,32.0,,
7,7,WES,Wesfarmers,49.524,44.07,-11,46.95,39.61,193.94,f,4.40,6.29,4.5,231.34,19.0,-.7,1.910,4.92,12.3,19.1,,
8,8,CSL,CSL,43.175,91.85,-358,96.60,63.77,139.23,,1.52,1.52,17.9,316.08,29.1,9.0,13.364,5.52,39.5,41.0,,
9,9,WOW,Woolworths,37.415,29.62,+51,38.92,28.53,139.00,f,4.69,6.70,3.0,192.40,15.4,3.6,3.493,3.52,-14.9,8.2,,
10,10,WPL,Woodside Petroleum,28.870,35.04,-66,44.23,31.97,303.22,f,8.65,12.36,43.4,357.23,9.8,54.8,1.448,23.42,-1.0,7.2,,
