Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4507.4 at 16:36 30/7/2010  Report at 22:00 Friday 30/7/2010. Processed 18:50 Saturday 31/7/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,134.646,40.12,44,44.93,35.58,95.15,f,2.37,3.39,45.3,185.29,21.7,-13.5,2.68,8.76,8.6,5.4
2,2,CBA,C'wlth Bank  of Aust ,81.404,52.56,132,60.00,42.96,235,f,4.47,6.39,-14.3,330.4,15.9,-15.0,2.59,-,28.7,4.8
3,3,WBC,Westpac Banking,71.709,23.99,126,28.43,20.56,125,f,5.21,7.44,-18.3,138.5,17.3,-37.4,1.96,8.42,16.6,2.9
4,4,ANZ,ANZ Banking Grp,58.989,23.05,64,26.23,18.72,108,f,4.69,6.69,-25.0,144.8,15.9,12.6,1.82,9.99,30.5,-0.9
5,5,NAB,National Aust Bank,53.608,25.13,76,32.37,22.23,147,f,5.85,8.36,-24.7,199.3,12.6,-53.0,1.42,12.41,9.3,-7.4
6,6,RIO,Rio Tinto Ltd,42.848,70.61,75,81.25,55.20,51.56,f,0.73,1.04,-62.3,307.95,22.9,-56.1,0.84,13.56,17.8,0.4
7,8,TLS,Telstra Corp,40.067,3.22,2,3.71,2.88,28,f,8.70,12.42,-,32.4,9.9,10.5,3.16,0.36,-0.4,-4.3
8,7,NWS,News Corp b voting,39.381,16.37,-23,20.18,14.28,5.14,,0.31,0.39,23.1,74.58,21.9,81.2,0.44,0.45,11.8,-14.2
9,9,WES,Wesfarmers Ltd,35.989,31.09,195,33.21,23.60,115,f,3.70,5.28,-42.1,129.9,23.9,-,1.29,3.47,25.3,0.4
10,10,WPL,Woodside Pet,32.454,41.60,-32,53.869,39.63,110,f,2.64,3.78,-17.8,259,16.1,-36.1,3.13,-,-6.1,1.4
11,11,WOW,Woolworths Ltd,31.752,25.79,12,30.57,25.19,109,f,4.23,6.04,13.0,158.91,16.2,12.1,4.50,1.99,-1.7,1.5
12,12,WDC,Westfield Grp stp,28.178,12.21,-7,14.33,11.27,94,,7.70,7.70,-11.7,-20.41,-,-19.4,1.16,10.47,16.1,-7.6
13,14,CSL,CSL Ltd,18.217,33.14,74,37.56,29.83,75,,2.26,2.26,52.2,213.41,15.5,34.5,3.34,6.11,10.8,5.8
14,13,QBE,QBE Insurance Grp,17.286,16.70,-127,25.70,16.25,128,p,7.66,8.32,1.6,196.5,8.5,-6.2,1.68,5.16,-9.3,-13.2
15,15,NCM,Newcrest Min,15.815,32.71,-51,39.75,28.47,20,,0.61,0.61,50.0,55.4,59.0,-9.5,3.63,9.20,9.7,12.9
16,16,ORG,Origin Energy,13.598,15.44,-10,17.94,13.85,50,f,3.24,4.63,100.0,72.3,21.4,-20.8,1.22,8.48,9.9,20.0
17,18,FMG,Fortescue Metals Grp,13.331,4.29,8,5.57,3.28,-,,-,-,-,-16.13,-,-,12.72,-,1.7,9.1
18,17,MQG,Macq Grp Ltd,12.852,37.20,-223,58.80,35.01,186,,5.00,5.00,0.5,320.2,11.6,2.9,1.09,25.82,-12.0,-19.1
19,21,AXA,AXA Asia Pacific,11.224,5.43,-3,6.72,4.05,18.5,p,3.41,3.81,-,34.89,15.6,-,2.51,1.12,32.4,-6.0
20,19,FGL,Foster's Grp,11.119,5.76,-21,6.01,5.11,27.25,f,4.73,6.76,3.8,19.8,29.1,1.8,2.96,0.52,12.2,3.8
21,20,STO,Santos Ltd,11.073,13.30,-54,16.10,11.24,42,f,3.16,4.51,8.3,52.1,25.5,-67.0,1.59,-,-5.7,5.6
22,22,AMP,AMP Ltd,10.981,5.30,-5,6.97,5.06,30,p,5.66,6.87,-25.0,37.1,14.3,28.9,4.17,0.80,-1.1,-14.6
23,23,SUN,Suncorp-Metway,10.725,8.37,-15,9.59,7.12,35,f,4.18,5.97,-60.4,34.21,24.5,-44.8,0.81,5.43,23.0,-17.8
24,24,LGL,Lihir Gold Ltd,9.641,4.07,-4,4.48,2.41,2.96,,0.73,0.73,-,-10.93,-,8.4,2.67,1.22,48.4,10.3
25,26,ORI,Orica Ltd,9.125,25.20,-22,26.382,20.469,98,p,3.89,4.50,3.2,102.3,24.6,0.7,2.30,1.31,16.6,1.3
26,25,SGP,Stockland stp,9.032,3.79,-10,4.23,2.99,27.8,,7.34,7.35,-22.6,-47.1,-,-16.2,1.03,-,20.3,-15.2
27,27,LEI,Leighton Hldgs,8.867,29.49,-17,41.70,27.61,120,f,4.07,5.81,-19.9,208.2,14.2,-3.5,3.79,7.52,0.9,-5.4
28,28,CCL,Coca-Cola Amatil,8.655,11.47,-24,12.15,9.20,43.5,f,3.79,5.42,11.5,60.5,19.0,10.1,5.41,1.38,28.0,12.2
29,29,CNA,Coal & Allied Ind  ,8.399,97.00,-159,108.50,74.06,800,f,8.25,11.78,-28.2,877.4,11.1,-27.2,5.59,19.26,3.2,14.6
30,30,AMC,Amcor Ltd,8.014,6.56,-28,7.04,4.473,29.5,,4.50,4.50,-,20.9,31.4,0.2,2.61,2.25,48.6,6.4
31,31,BXB,Brambles Ltd,7.68,5.40,-3,8.37,5.22,25,p,4.63,5.03,-13.0,34.45,15.7,6.4,4.36,0.66,-6.9,-18.1
32,32,OSH,Oil Search Ltd,7.64,5.84,-6,6.93,4.97,4.47,,0.77,0.77,-52.7,12.86,45.4,-68.5,2.64,-,4.3,16.5
33,33,IAG,Insurance Aust Grp,7.089,3.41,-9,4.21,3.22,14.5,f,4.25,6.07,-55.6,25.07,13.6,20.1,1.47,1.29,-3.5,-11.7
34,34,AGK,AGL Energy Ltd,6.648,14.77,-14,15.69,13.37,57,f,3.86,5.51,1.9,27,54.7,4.0,1.14,6.21,3.1,2.3
35,35,TCL,Transurban stp,6.338,4.48,-1,5.61,3.909,24,,5.36,5.36,-61.4,1.85,242.2,-85.2,1.65,2.75,8.7,-8.6
36,36,CWN,Crown Ltd,5.998,7.96,-4,9.39,6.95,37,p,4.65,5.84,-31.5,-92.35,-,-27.2,1.75,3.24,10.8,-
37,37,CPU,Computershare Ltd,5.618,10.11,-27,12.90,9.51,25,p,2.47,3.00,4.8,56.84,17.8,19.7,5.06,-1.54,5.2,2.8
38,41,QAN,Qantas Airways,5.595,2.47,7,3.06,2.12,-,,-,-,-82.9,-2.7,-,-82.1,0.97,2.25,6.5,-20.6
39,38,RMD,ResMed Inc cdi,5.594,7.24,,7.97,4.88,-,,-,-,-,25.11,28.8,55.6,4.07,-,46.6,12.6
40,42,WOR,WorleyParsons Ltd,5.543,23.14,65,31.79,19.95,90.5,f,3.91,5.59,8.8,136.3,17.0,13.2,3.35,0.16,-7.3,-9.3
41,40,MAP,MAP Grp forus,5.509,2.96,2,3.38,2.265,19,,6.42,6.42,-21.4,-33.11,-,-,0.91,-0.30,28.4,-2.8
42,39,GPT,GPT Grp stp,5.307,2.86,-11,3.01,0.48,3.6,,1.26,1.26,-70.7,-14.5,-,-69.3,0.80,0.69,13.4,-36.6
43,43,IPL,Incitec Pivot,5.293,3.25,6,3.83,2.51,4.1,,1.26,1.26,-97.8,-10.2,-,-58.7,1.57,0.27,19.4,2.4
44,44,ASX,ASX Ltd,5.016,28.90,19,37.66,28.02,163.6,f,5.66,8.09,-14.3,180.6,16.0,-14.3,1.81,3.19,-19.3,-11.9
45,45,AIO,Asciano Grp stp,4.945,1.69,-1,1.94,1.435,-,,-,-,-100.0,-41.9,-,-70.5,2.24,0.10,5.6,-37.5
46,47,AFI,Aust Foundation,4.932,4.90,12,5.41,4.52,21,f,4.29,6.12,-,18.6,26.3,-14.1,1.22,4.49,5.2,-2.4
47,46,CFX,CFS Retail Prop unt,4.72,1.88,-7.5,2.12,1.695,12.5,,6.65,6.65,4.2,-1.9,-,24.2,0.95,1.99,9.6,-0.2
48,48,MGR,Mirvac Grp stp,4.328,1.325,-3,1.745,1.165,8,,6.04,6.04,-72.6,-11.58,-,-59.1,0.89,-,9.6,-29.9
49,49,BSL,BlueScope Steel,4.321,2.37,-1,3.45,2.03,-,,-,-,-87.3,-61.37,-,-90.7,0.76,2.47,-29.7,-33.1
50,53,TAH,Tabcorp Hldgs Ltd,4.203,6.86,14,7.52,6.28,60,f,8.75,12.49,38.3,86.1,8.0,-5.3,1.28,-1.53,3.4,-18.3
51,52,TOL,Toll Hldgs Ltd,4.175,5.94,-4,9.33,5.34,25,f,4.21,6.01,11.5,31.45,18.9,-17.1,1.61,1.44,-9.8,-20.0
52,51,LLC,Lend Lease Grp stp,4.123,7.29,-15,10.907,7.00,36,f,4.94,7.05,-46.8,43.1,16.9,-35.8,1.69,3.99,-2.3,-22.7
53,58,SHL,Sonic Healthcare,4.001,10.30,23,15.64,9.53,59,p,5.73,6.59,9.6,47.6,21.6,15.9,1.58,-1.48,-8.3,-9.0
54,50,COH,Cochlear Ltd,3.996,70.68,-387,79.11,54.53,190,f,2.69,3.84,16.7,242.2,29.2,12.9,10.97,3.25,31.1,7.5
55,54,OST,OneSteel Ltd,3.981,2.99,-4,4.15,2.76,9,,3.01,3.01,-49.2,5.45,54.9,-49.6,0.92,1.72,2.6,-18.4
56,55,DXS,DEXUS Prop Grp stp,3.929,0.815,-1.5,0.89,0.66,5.1,,6.26,6.26,-35.6,-11.03,-,2.8,0.76,0.95,18.8,-16.1
57,56,GMG,Goodman Grp forus,3.917,0.615,-1,0.75,0.445,1.5,,2.44,2.44,-71.6,-31.3,-,13.3,1.04,0.50,32.8,-48.6
58,57,NHC,New Hope Corp,3.899,4.71,-3,5.50,3.92,9.5,f,2.02,2.88,60.9,29,16.2,189.4,1.42,2.67,5.6,41.7
59,61,OZL,OZ Minerals,3.839,1.23,1.5,1.325,0.945,-,,-,-,-100.0,-16.6,-,258.3,1.50,0.82,9.8,-29.7
60,60,AWC,Alumina Ltd,3.782,1.55,-0.5,2.06,1.45,2,f,1.29,1.84,-80.7,-1.2,-,-88.5,1.16,1.21,-8.2,-34.2
61,59,HVN,Harvey Norman,3.718,3.50,-15,4.85,3.08,13,f,3.71,5.31,-21.4,25.78,13.6,-15.0,1.81,2.10,10.5,-9.7
62,62,FBU,Fletcher Bld,3.702,6.10,-12,7.04,5.69,20.63,,3.38,3.38,-22.8,-14.88,-,-22.1,1.54,2.36,10.1,-14.1
63,63,SGM,Sims Metal Mgmt,3.629,17.80,-6,27.98,15.72,20,f,1.12,1.61,-68.3,-17.7,-,-92.8,1.27,8.87,-35.5,-9.6
64,64,ARG,Argo Invest,3.583,5.92,4,7.05,5.61,25,f,4.22,6.03,-10.0,-11.1,-,-53.1,1.24,5.99,-2.8,-6.5
65,65,EQN,Equinox Min Ltd cdi,3.567,5.04,9,5.11,2.70,-,,-,-,-,-30.1,-,-,5.24,-,72.6,2.4
66,66,FXJ,Fairfax Media Ltd,3.469,1.475,,1.885,1.26,1.1,,0.75,0.75,-89.2,9.3,15.9,-48.1,0.69,-0.31,0.6,-28.4
67,67,AOE,Arrow Energy,3.436,4.68,,5.31,3.26,-,,-,-,-,15.38,30.4,-,2.96,2.13,9.1,18.0
68,68,MTS,Metcash Ltd,3.407,4.45,6,4.74,3.84,26,f,5.84,8.35,8.3,29.74,15.0,8.3,2.47,0.12,10.3,5.5
69,70,ITO,Intoll Grp stp,3.325,1.47,1,1.59,1.005,3,,2.04,2.04,-,-16.38,-,-,0.80,1.78,3.9,-17.5
70,69,MCC,Macarthur Coal,3.179,12.50,-49,17.17,7.32,21,f,1.68,2.40,-23.5,45.3,27.6,183.3,3.15,4.15,62.6,24.5
71,73,TTS,Tatts Grp Ltd,3.141,2.45,7,2.67,2.19,21,f,8.57,12.24,121.1,21.9,11.2,7.6,1.21,-0.51,8.6,-14.6
72,71,SOL,Soul Pattinson,3.107,13.02,2,15.38,10.904,33,f,2.53,3.62,6.7,124.07,10.5,98.6,0.81,11.11,23.4,13.5
73,72,TEL,Telecom Corp,3.073,1.60,,2.30,1.44,16.61,,10.38,10.38,-18.7,20.69,7.7,-30.0,1.41,0.69,-21.5,-19.8
74,77,PTM,Platinum Asset,2.953,5.26,18,6.34,4.31,20,f,3.80,5.43,-16.7,23.41,22.5,-22.0,15.21,-,19.5,-4.8
75,75,BEN,Bendigo & Adelaide,2.903,8.19,-2,10.48,7.66,43,f,5.25,7.50,-33.9,35.53,23.1,-37.9,0.93,5.16,5.9,-15.3
76,74,RHC,Ramsay Health Care,2.857,14.14,-61,15.49,10.20,40,f,2.83,4.04,16.9,64.2,22.0,25.3,3.14,1.70,39.1,13.3
77,79,JHX,James Hardie Ind cdi,2.835,6.51,14,8.86,4.81,-,,-,-,-,-21.4,-,-,-,-0.29,25.4,-3.6
78,78,BLD,Boral Ltd,2.829,4.24,-3,6.40,4.15,12.5,f,2.95,4.21,-61.8,22.7,18.7,-46.7,1.03,4.23,-13.1,-14.8
79,76,CTX,Caltex Aust,2.773,10.27,-33,13.63,8.01,25,f,2.43,3.48,-30.6,116.3,8.8,68.9,0.95,10.48,-19.4,-23.2
80,82,PDN,Paladin Energy,2.761,3.85,19,5.18,3.37,-,,-,-,-,11.67,33.0,-,3.55,1.58,-15.6,-18.8
81,80,WHC,Whitehaven Coal,2.676,5.42,-13,6.05,2.88,8.8,f,1.62,2.32,400.0,28.3,19.2,431.8,3.70,2.09,77.5,47.9
82,81,ERA,Energy Res,2.628,13.78,-24,27.37,12.51,39,f,2.83,4.04,39.3,142.9,9.6,131.0,2.72,5.10,-44.5,-10.6
83,83,CSR,CSR Ltd,2.606,1.72,,2.18,1.585,8.5,f,4.94,7.06,15.9,-8.2,-,6.3,1.43,1.04,-0.3,-13.7
84,84,SEK,Seek Ltd,2.548,7.57,21,8.57,4.22,9.9,f,1.31,1.87,-50.5,18.4,41.1,-28.9,8.83,0.55,80.4,-1.3
85,86,DJS,David Jones Ltd,2.453,4.80,6,5.96,4.10,29,f,6.04,8.63,3.7,33,14.5,8.5,3.57,1.22,-1.2,0.7
86,89,REH,Reece Aust Ltd,2.39,24.00,49,26.65,19.80,53,f,2.21,3.15,-10.5,109,22.0,-12.3,4.48,5.41,22.4,-2.1
87,90,AQA,Aquila Res,2.385,7.40,17,11.38,5.382,-,,-,-,-,-14.8,-,-9.8,15.41,-,34.1,21.1
88,87,CEY,Centennial Coal,2.362,5.98,,6.05,2.94,8,p,1.34,1.60,-47.6,15.8,37.8,30.9,3.58,1.87,105.8,45.5
89,85,RIV,Riversdale Min,2.349,10.23,-36,11.24,5.12,-,,-,-,-,-2.09,-,-96.9,4.64,2.04,55.0,41.1
90,88,UGL,UGL Ltd,2.34,14.10,-3,15.97,11.30,64,f,4.54,6.48,10.3,80.9,17.4,8.4,2.09,-0.43,22.5,-4.4
91,91,BBG,Billabong Intl,2.308,9.12,-1,12.32,8.28,36,p,3.95,4.79,-15.1,57.2,15.9,-19.5,1.96,0.84,2.2,-12.7
92,92,ILU,Iluka Res,2.303,5.50,2,5.59,3.15,-,,-,-,-,-26.8,-,-,2.10,2.58,74.6,1.8
93,93,ATM,Aneka Tambang cdi,2.289,1.20,1.4,1.30,1.00,1.37,,1.14,1.14,-60.5,0.7,171.4,-60.3,2.36,0.10,21.4,-
94,95,BOQ,Bank of Qld,2.239,10.38,7,13.49,9.74,52,f,5.01,7.16,-64.0,92.4,11.2,-25.9,1.06,7.20,-2.5,-11.5
95,94,SPN,SP AusNet stp,2.199,0.80,-1.5,0.975,0.725,8,p,10.00,11.54,-30.7,8.09,9.9,-1.5,0.79,0.94,12.4,-5.8
96,96,AQP,Aquarius Platinum,2.195,4.74,10,7.95,3.89,2.26,,0.48,0.48,-100.0,20.79,22.8,-,2.93,-,-4.3,-22.0
97,98,AIA,Auckland Airport,2.11,1.61,3.5,1.654,1.335,6.68,,4.15,4.15,-4.1,5.63,28.6,-5.1,1.42,1.22,23.6,-15.3
98,97,JBH,JB Hi-Fi Ltd,2.074,19.14,-18,23.71,15.91,62,f,3.24,4.63,69.2,103.42,18.5,44.4,9.05,1.71,17.1,20.4
99,101,ABC,Adelaide Brighton,2.013,3.17,2,3.20,2.31,13.5,f,4.26,6.08,-10.0,20.4,15.5,1.5,2.25,1.21,34.2,4.7
100,100,APA,APA Grp stp,2.012,3.71,,3.83,2.63,31.75,,8.56,8.56,5.1,25,14.8,12.6,1.57,-,31.6,3.9
101,99,MYR,Myer Hldgs Ltd,2.006,3.45,-2,3.98,2.86,-,f,-,-,-,-,-,-,2.72,-0.21,-,-
102,104,CPB,Campbell Brothers,1.96,30.85,85,32.00,21.877,100,p,3.24,3.94,4.2,129.06,23.9,-33.5,3.11,3.76,44.7,10.1
103,105,HSP,Healthscope Ltd,1.904,6.00,1,6.05,4.07,22.5,f,3.75,5.36,10.3,29.78,20.1,12.9,2.10,0.66,44.9,7.6
104,106,SVW,Seven Grp Hldgs,1.872,6.13,-4,7.60,5.41,-,,-,-,-,-,-,-26.4,0.95,-,0.9,-14.5
105,102,CPA,C'wlth Prop ord unt   ,1.862,0.925,-5.5,1.045,0.735,6.85,,7.41,7.41,-4.3,-11.41,-,-10.9,0.87,1.11,9.5,-12.3
106,110,FLT,Flight Centre,1.852,18.56,44,21.43,9.53,26,f,1.40,2.00,-89.5,63.4,29.3,-33.1,3.03,2.56,93.7,4.0
107,107,CMJ,Consolidated Media,1.85,3.10,-4,3.44,2.71,16.5,f,5.32,6.77,-38.9,57.44,5.4,-23.1,4.05,0.88,19.3,1.4
108,108,GFF,Goodman Fielder,1.843,1.335,-0.5,1.78,1.30,11.25,,8.43,8.81,-22.2,14.4,9.3,-17.1,1.14,-0.16,3.5,-13.1
109,103,ALL,Aristocrat Leisure,1.808,3.39,-19,5.75,3.34,4.5,,1.33,1.89,-81.3,-31.3,-,-24.3,11.75,0.07,-20.5,-34.5
110,116,MGX,Mount Gibson Iron,1.792,1.66,7,2.09,0.955,-,,-,-,-,6.56,25.3,-56.7,2.30,0.78,38.9,-3.5
111,112,PRY,Primary Health Care,1.774,3.61,-1,6.56,3.45,22,f,6.09,8.70,-48.1,42.08,8.6,42.2,0.84,-1.15,-32.3,-22.8
112,109,CGF,Challenger FSG Ltd,1.758,3.52,-16,4.50,2.40,13.5,,3.84,3.84,-,35.2,10.0,4.0,1.04,3.36,35.6,-10.1
113,114,TEN,Ten Network Hldgs,1.746,1.67,,1.94,1.185,2,,1.20,1.71,-85.2,4.62,36.1,-47.6,2.17,-0.29,31.0,-12.1
