Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 5007.3 at 16:34 16/4/2010  Report at 19:07 Friday 16/4/2010. Processed 19:50 Friday 16/4/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,146.124,43.54,-36,44.93,31.25,95.15,f,2.19,3.12,45.3,185.29,23.5,-13.5,2.94,8.76,35.1,17.1
2,2,CBA,C'wlth Bank  of Aust ,92.66,59.83,169,59.83,33.95,235,f,3.93,5.61,-14.3,330.4,18.1,-15.0,2.86,-,73.5,9.4
3,3,WBC,Westpac Banking,83.884,28.18,46,28.43,18.27,116,f,4.12,5.88,-18.3,125.3,22.5,-37.4,2.26,7.89,52.4,6.7
4,4,ANZ,ANZ Banking Grp,65.086,25.69,54,26.23,14.90,102,f,3.97,5.67,-25.0,170.4,15.1,12.6,1.97,10.72,66.9,-0.6
5,5,NAB,National Aust Bank,60.175,28.37,77,32.37,20.33,146,f,5.15,7.35,-24.7,262.7,10.8,-53.0,1.55,12.66,41.7,-8.4
6,6,RIO,Rio Tinto Ltd,48.346,79.67,20,81.25,43.008,51.56,f,0.65,0.92,-62.3,307.95,25.9,-56.1,0.94,13.56,57.5,8.6
7,7,NWS,News Corp b voting,45.97,19.31,46,19.94,11.74,5.14,,0.27,0.33,23.1,74.58,25.9,38.4,0.51,0.45,48.9,-13.3
8,8,TLS,Telstra Corp,38.947,3.13,4,3.71,2.88,28,f,8.95,12.78,-,32.4,9.7,10.5,3.03,0.36,1.3,-6.1
9,10,WES,Wesfarmers Ltd,37.478,32.39,49,33.21,20.07,115,f,3.55,5.07,-42.1,129.9,24.9,-,1.32,3.47,46.8,1.1
10,9,WPL,Woodside Pet,36.448,46.72,-78,53.869,36.385,110,f,2.35,3.36,-17.8,259,18.0,-36.1,3.57,-,27.7,9.4
11,11,WOW,Woolworths Ltd,33.827,27.28,-124,30.57,25.19,109,f,4.00,5.71,13.0,158.91,17.2,12.1,5.01,1.99,10.8,3.7
12,12,WDC,Westfield Grp stp,28.963,12.55,55,14.33,9.46,94,,7.49,7.49,-11.7,-20.41,-,-19.4,1.14,10.47,20.5,-11.0
13,13,QBE,QBE Insurance Grp,22.696,22.10,98,25.70,18.56,128,p,5.79,6.29,1.6,196.5,11.2,-6.2,2.11,5.16,2.7,-7.0
14,14,CSL,CSL Ltd,21.479,37.05,105,37.56,28.43,75,,2.02,2.02,52.2,213.41,17.4,34.5,3.82,6.11,6.8,9.5
15,16,MQG,Macq Grp Ltd,17.76,51.59,222,58.80,29.65,126,,2.44,2.64,-46.4,243.2,21.2,-52.8,1.78,23.72,52.0,-12.8
