Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4462.1 at 16:37 20/8/2010  Report at 22:00 Friday 20/8/2010. Processed 11:33 Sunday 22/8/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,127.195,37.90,-250,44.93,35.58,95.15,f,2.51,3.59,45.3,185.29,20.5,-13.5,2.54,8.76,4.1,2.1
2,2,CBA,C'wlth Bank  of Aust ,76.666,49.50,-198,60.00,44.03,290,f,5.86,8.37,27.2,344.5,14.4,22.0,2.16,15.94,13.8,2.4
3,3,WBC,Westpac Banking,67.704,22.65,13,28.43,20.56,125,f,5.52,7.88,-18.3,138.5,16.4,-37.4,1.85,8.42,-2.1,-0.3
4,4,ANZ,ANZ Banking Grp,58.301,22.78,60,26.23,19.33,108,f,4.74,6.77,-25.0,144.8,15.7,12.6,1.80,9.99,12.3,-2.0
5,5,NAB,National Aust Bank,50.942,23.88,1,32.37,22.23,147,f,6.16,8.79,-24.7,199.3,12.0,-53.0,1.35,12.41,-11.3,-10.2
6,6,RIO,Rio Tinto Ltd,43.437,71.58,15,81.25,55.20,100.83,f,1.41,2.01,-62.3,465.33,15.4,-56.1,0.85,15.37,29.4,0.7
7,7,NWS,News Corp b voting,38.642,15.97,-61,20.18,14.66,12.87,,0.81,0.81,6.9,113.81,14.0,-63.3,0.43,1.56,5.8,-15.0
8,9,WES,Wesfarmers Ltd,37.064,31.98,102,33.21,23.60,125,f,3.91,5.58,13.6,135.7,23.6,-20.6,1.30,3.61,32.3,2.4
9,8,TLS,Telstra Corp,36.832,2.96,4,3.55,2.82,28,f,9.46,13.51,-,31.4,9.4,-5.0,2.83,0.38,-0.4,-4.9
10,11,WPL,Woodside Pet,33.718,43.22,171,53.869,39.63,109.68,f,2.54,3.63,-17.8,268.28,16.1,-36.1,3.25,16.79,-8.9,1.2
11,10,WOW,Woolworths Ltd,33.354,27.09,35,30.57,25.19,109,f,4.02,5.75,13.0,158.91,17.0,12.1,4.73,1.99,0.4,-0.3
