Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 19:08 Thursday 1/4/2010. Processed 14:20 Monday 5/4/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
51,51,CFX,CFS Retail Prop unt,4.695,1.87,,2.12,1.415,12.5,,6.68,6.68,4.2,-1.9,-,24.2,0.94,1.99,18.0,-1.9
52,52,LLC,Lend Lease Grp stp,4.532,8.68,,10.907,5.903,36,f,4.15,5.92,-46.8,43.1,20.1,-35.8,1.85,3.99,24.9,-19.9
53,53,SGM,Sims Metal Mgmt,4.506,22.14,,29.15,17.80,20,f,0.90,1.29,-68.3,-17.7,-,-92.8,1.58,8.87,11.8,0.6
54,54,MGR,Mirvac Grp stp,4.377,1.46,,1.745,0.766,6.2,,4.25,4.25,-72.6,-11.58,-,-59.1,0.90,-,59.5,-28.1
55,55,NHC,New Hope Corp,4.31,5.21,,5.24,3.209,9.5,f,1.82,2.60,60.9,29,18.0,189.4,1.57,2.67,47.3,56.0
56,56,AWC,Alumina Ltd,4.307,1.765,,2.06,1.08,2,f,1.13,1.61,-80.7,-1.2,-,-88.5,1.32,1.21,38.8,-30.9
57,57,TAH,Tabcorp Hldgs Ltd,4.245,6.93,,7.70,6.32,60,f,8.66,12.37,38.3,86.1,8.0,-5.3,1.30,-1.53,1.5,-21.0
58,58,FXJ,Fairfax Media Ltd,4.222,1.795,,1.885,0.985,1.1,,0.61,0.61,-89.2,9.3,19.3,-48.1,0.84,-0.31,52.4,-25.6
59,59,COH,Cochlear Ltd,4.097,72.46,,73.90,47.03,190,f,2.62,3.75,16.7,242.2,29.9,12.9,11.25,3.25,50.5,7.5
60,60,GMG,Goodman Grp forus,4.065,0.655,,0.71,0.182,1.5,,2.29,2.29,-71.6,-31.3,-,13.3,1.08,0.50,94.9,-50.0
61,61,FBU,Fletcher Bld,3.94,6.50,,7.04,4.80,20.89,,3.21,3.21,-22.8,-14.88,-,-22.1,1.64,2.36,27.8,-9.6
62,62,DXS,DEXUS Prop Grp stp,3.905,0.81,,0.89,0.655,6.15,,7.59,7.59,-35.6,-11.03,-,2.8,0.76,0.95,19.7,-16.2
63,63,HVN,Harvey Norman,3.877,3.65,,4.85,2.61,13,f,3.56,5.09,-21.4,25.78,14.2,-15.0,1.88,2.10,26.7,-7.6
64,64,MCC,Macarthur Coal,3.782,14.87,,14.92,3.74,21,f,1.41,2.02,-23.5,45.3,32.8,183.3,3.75,4.15,257.6,46.4
65,65,ARG,Argo Invest,3.731,6.35,,7.05,5.37,25,f,3.94,5.62,-10.0,-11.1,-,-53.1,1.29,6.26,18.5,-3.5
66,66,OZL,OZ Minerals,3.714,1.19,,1.325,0.555,-,,-,-,-100.0,-16.6,-,258.3,1.45,0.82,58.7,-25.6
67,67,AOE,Arrow Energy,3.714,5.07,,5.31,2.70,-,,-,-,-,15.38,33.0,-,3.20,2.13,51.8,38.7
68,68,ERA,Energy Res,3.677,19.28,,28.28,17.66,39,f,2.02,2.89,39.3,142.9,13.5,131.0,3.81,5.10,-6.0,-7.2
69,69,SOL,Soul Pattinson,3.556,14.90,,14.90,9.187,33,f,2.21,3.16,6.7,124.07,12.0,98.6,0.92,11.11,61.7,20.6
70,70,BEN,Bendigo & Adelaide,3.52,10.05,,10.48,5.901,43,f,4.28,6.11,-33.9,35.53,28.3,-37.9,1.13,5.16,55.3,-8.9
71,71,AQA,Aquila Res,3.432,10.65,,11.38,2.345,-,,-,-,-,-14.8,-,-9.8,22.18,-,260.4,54.8
72,72,BLD,Boral Ltd,3.366,5.62,,6.40,3.46,12.5,f,2.22,3.18,-61.8,22.7,24.8,-46.7,1.22,4.23,40.5,-9.1
73,73,AQP,Aquarius Platinum,3.341,7.22,,7.95,3.74,2.26,,0.31,0.31,-100.0,20.79,34.7,-,4.46,-,42.0,-14.3
74,74,MTS,Metcash Ltd,3.208,4.19,,4.74,3.92,25,f,5.97,8.52,14.3,30.28,13.8,11.3,2.51,0.11,6.5,-2.3
75,75,TEL,Telecom Corp,3.191,1.665,,2.31,1.63,16.54,,9.93,9.93,-18.7,20.69,8.0,-30.0,1.46,0.69,-17.7,-20.8
76,76,TTS,Tatts Grp Ltd,3.125,2.45,,2.87,2.19,21,f,8.57,12.24,121.1,21.9,11.2,7.6,1.20,-0.51,-4.0,-15.9
77,77,JHX,James Hardie Ind cdi,3.111,7.16,,8.86,3.73,-,,-,-,-100.0,18.89,37.9,42.7,-,-0.40,55.7,-5.2
78,78,CTX,Caltex Aust,3.051,11.30,,14.00,8.01,25,f,2.21,3.16,-30.6,116.3,9.7,68.9,1.04,10.48,16.7,-20.0
79,79,EQN,Equinox Min Ltd cdi,3.021,4.27,,4.78,2.04,-,,-,-,-,-30.1,-,-,3.98,-,80.9,18.1
80,80,PDN,Paladin Energy,3.012,4.20,,5.52,3.41,-,,-,-,-,11.67,36.0,-,3.87,1.58,-8.9,-24.1
