Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Thursday, December 24, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5256.1 at 2015-12-24T15:05:05. Report at Thursday, December 24, 2015. Processed Saturday at 2015-12-26T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,142.273,83.32,+175,96.168,70.15,420.00,f,5.04,7.20,4.7,557.00,15.0,1.1,2.628,25.51,.7,15.4,,
2,2,WBC,Westpac Banking,108.546,32.54,+26,39.579,28.743,187.00,f,5.75,8.21,2.8,256.30,12.7,3.6,1.989,13.08,4.3,14.2,,
3,3,ANZ,ANZ Banking Grp,79.504,27.25,+77,37.25,25.01,181.00,f,6.64,9.49,1.7,271.50,10.0,2.3,1.342,16.86,-12.4,7.7,,
4,4,NAB,National Aust Bank,77.527,29.39,+61,39.15,27.51,198.00,f,6.74,9.62,1.4,252.70,11.6,6.2,1.361,-,-7.6,11.8,,
5,5,TLS,Telstra Corp,66.752,5.46,-2,6.735,5.06,30.50,f,5.59,7.98,3.4,34.50,15.8,-9.3,4.617,.39,-3.5,13.9,,
6,6,BHP,BHP Billiton,58.902,18.34,+147,31.067,16.25,168.60,f,9.19,13.13,36.9,46.74,39.2,-25.4,.590,16.20,-32.4,-16.8,,
7,7,CSL,CSL,47.797,103.25,-28,105.71,81.48,164.37,,1.59,1.59,30.7,380.60,27.1,31.1,13.421,5.10,21.6,26.5,,
8,8,WES,Wesfarmers,45.811,40.68,+76,46.95,36.65,200.00,f,4.92,7.02,5.3,216.10,18.8,12.4,1.814,4.85,.3,7.5,,
9,9,WOW,Woolworths,30.846,24.27,+70,34.71,22.415,139.00,f,5.73,8.18,1.5,170.80,14.2,-.4,2.691,3.62,-19.1,-3.0,,
10,10,MQG,Macquarie Grp,27.476,80.74,+244,86.72,54.81,360.00,p,4.46,5.22,26.9,653.09,12.4,32.4,1.851,40.30,40.3,37.1,,
11,11,WPL,Woodside Petroleum,23.218,28.18,+142,38.58,26.00,276.43,f,9.81,14.01,43.4,323.05,8.7,54.8,1.086,27.02,-23.8,-1.4,,
12,12,SCG,Scentre Grp,22.149,4.16,+2,4.205,3.465,20.65,,4.96,5.26,2.8,44.48,9.4,-68.1,1.342,3.11,24.7,21.2,,
13,13,TCL,Transurban Grp,22.035,10.46,+20,10.68,8.508,43.00,p,4.11,4.40,14.3,-9.50,-,-30.5,3.289,2.89,25.4,25.3,,
14,14,WFD,Westfield Corp,19.887,9.57,-13,10.66,8.83,32.85,,3.43,3.43,32.5,54.27,17.6,-40.6,2.138,4.99,11.2,19.2,,
15,15,RIO,Rio Tinto,19.492,45.95,+349,65.73,40.39,297.89,f,6.48,9.26,16.9,234.66,19.6,-19.4,.271,25.61,-22.7,-10.1,,
16,16,BXB,Brambles,17.620,11.16,+9,11.95,9.34,28.00,p,2.51,2.83,3.7,48.59,23.0,26.8,5.082,.74,6.9,17.1,,
17,18,QBE,QBE Insurance Grp,16.812,12.26,+35,15.00,10.13,42.00,f,3.43,4.89,15.6,83.36,14.7,-,1.209,6.91,9.7,5.6,,
18,17,AMP,AMP,16.800,5.68,+15,6.83,5.24,27.50,p,4.84,6.55,13.0,34.60,16.4,29.2,1.951,1.50,5.2,9.7,,
19,19,AMC,Amcor,15.426,13.32,-4,14.93,12.12,52.95,,3.98,3.98,20.3,73.70,18.1,-2.6,7.488,-.51,2.3,26.7,,
20,20,SUN,Suncorp Grp,15.220,11.83,+35,14.95,11.26,76.00,f,6.42,7.80,1.3,88.61,13.4,52.7,1.093,-,-12.9,11.4,,
21,21,SYD,Sydney Airport,14.224,6.38,+12,6.69,4.68,25.50,,4.00,4.00,4.4,6.17,103.4,-13.8,9.213,2.80,39.1,29.5,,
22,23,IAG,Insurance Aust Grp,13.202,5.43,+11,6.58,4.72,29.00,f,5.34,7.63,-25.6,31.22,17.4,-32.9,1.843,1.34,-10.2,10.7,,
23,22,RHC,Ramsay Health Care,13.192,65.28,+8,69.22,55.90,101.00,f,1.55,2.21,18.8,185.00,35.3,11.9,7.188,.30,16.1,36.1,,
