Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4264.9 at 16:46 2/7/2010  Report at 22:00 Friday 2/7/2010. Processed 13:10 Monday 5/7/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,124.477,37.09,-171,44.93,31.33,95.15,f,2.57,3.66,45.3,185.29,20.0,-13.5,2.48,8.76,0.4,2.7
2,2,CBA,C'wlth Bank  of Aust ,73.921,47.73,-227,60.00,36.20,235,f,4.92,7.03,-14.3,330.4,14.4,-15.0,2.35,-,16.9,1.5
3,3,WBC,Westpac Banking,62.404,20.96,-79,28.43,18.76,125,f,5.96,8.52,-18.3,138.5,15.1,-37.4,1.71,8.42,1.8,-1.6
4,4,ANZ,ANZ Banking Grp,52.854,20.86,-161,26.23,15.68,108,f,5.18,7.40,-25.0,144.8,14.4,12.6,1.63,9.99,18.1,-4.1
5,5,NAB,National Aust Bank,48.919,23.06,-74,32.37,21.53,147,f,6.37,9.11,-24.7,199.3,11.6,-53.0,1.29,12.41,0.3,-10.1
6,6,RIO,Rio Tinto Ltd,39.626,65.30,-430,81.25,46.40,51.56,f,0.79,1.13,-62.3,307.95,21.2,-56.1,0.77,13.56,8.9,-2.2
7,8,TLS,Telstra Corp,38.947,3.13,-17,3.71,2.88,28,f,8.95,12.78,-,32.4,9.7,10.5,3.07,0.36,-3.2,-5.2
8,7,NWS,News Corp b voting,38.68,16.07,-108,20.18,12.01,5.14,,0.32,0.40,23.1,74.58,21.5,38.4,0.43,0.45,9.8,-14.7
9,9,WOW,Woolworths Ltd,32.828,26.64,-76,30.57,25.19,109,f,4.09,5.84,13.0,158.91,16.8,12.1,4.65,1.99,1.5,2.6
10,11,WES,Wesfarmers Ltd,32.561,28.13,-97,33.21,21.92,115,f,4.09,5.84,-42.1,129.9,21.7,-,1.17,3.47,13.4,-2.9
11,10,WPL,Woodside Pet,31.986,41.00,-228,53.869,38.795,110,f,2.68,3.83,-17.8,259,15.8,-36.1,3.08,-,-7.4,0.9
12,12,WDC,Westfield Grp stp,28.201,12.22,-9,14.33,10.61,94,,7.69,7.69,-11.7,-20.41,-,-19.4,1.16,10.47,16.2,-7.5
13,13,QBE,QBE Insurance Grp,18.217,17.60,-75,25.70,17.53,128,p,7.27,7.90,1.6,196.5,9.0,-6.2,1.77,5.16,-4.4,-11.6
14,14,CSL,CSL Ltd,17.86,32.49,-8,37.56,29.27,75,,2.31,2.31,52.2,213.41,15.2,34.5,3.27,6.11,8.6,5.1
15,15,NCM,Newcrest Min,16.555,34.24,-176,39.75,28.47,20,,0.58,0.58,50.0,55.4,61.8,-9.5,3.80,9.20,14.8,14.7
16,18,ORG,Origin Energy,13.06,14.83,-22,17.94,13.32,50,f,3.37,4.82,100.0,72.3,20.5,-20.8,1.17,8.48,5.5,18.4
17,17,FMG,Fortescue Metals Grp,12.677,4.08,-28,5.57,3.25,-,,-,-,-,-16.13,-,-,12.09,-,-3.3,7.3
18,16,MQG,Macq Grp Ltd,12.404,36.00,-350,58.80,35.20,186,,5.17,5.17,0.5,320.2,11.2,2.9,1.05,25.82,-14.8,-20.0
19,19,AXA,AXA Asia Pacific,11.162,5.40,-7,6.72,3.51,18.5,p,3.43,3.83,-,34.89,15.5,-,2.49,1.12,31.7,-6.2
20,21,FGL,Foster's Grp,10.753,5.57,-12,6.01,4.93,27.25,f,4.89,6.99,3.8,19.8,28.1,1.8,2.86,0.52,8.5,2.7
21,20,AMP,AMP Ltd,10.629,5.13,-30,6.97,4.55,30,p,5.85,7.10,-25.0,37.1,13.8,28.9,4.04,0.80,-4.3,-15.6
22,24,SUN,Suncorp-Metway,10.187,7.95,-19,9.59,6.12,35,f,4.40,6.29,-60.4,34.21,23.2,-44.8,0.77,5.43,16.9,-19.2
23,22,STO,Santos Ltd,10.174,12.22,-48,16.10,11.24,42,f,3.44,4.91,8.3,52.1,23.5,-67.0,1.46,-,-13.4,2.6
24,23,LGL,Lihir Gold Ltd,9.949,4.20,-24,4.48,2.41,2.96,,0.70,0.70,-,-10.93,-,8.4,2.76,1.22,53.2,11.5
25,27,ORI,Orica Ltd,8.905,24.66,-45,27.75,18.98,98,p,3.97,4.60,3.2,102.3,24.1,0.7,2.24,1.31,14.1,0.6
