Australian Sharemarket: Top 300 Stocks
"Based on Market Capitalisation at close of trade Friday, September 18, 2015"
"XAO 5194.3 at 2015-09-18T17:03:05. Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:12 PM."



This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,134.193,75.83,+70,96.168,71.26,420.00,f,5.54,7.91,4.7,557.00,13.6,1.1,2.348,25.51,5.7,16.4,
2,2,WBC,Westpac Banking,101.089,31.75,+125,40.07,29.20,185.00,f,5.83,8.32,4.6,243.00,13.1,9.8,1.968,11.84,.6,13.5,
3,3,ANZ,ANZ Banking Grp,82.437,28.40,+88,37.25,26.41,181.00,f,6.37,9.10,8.5,270.70,10.5,21.3,1.606,15.75,-5.8,9.5,
4,4,NAB,National Aust Bank,81.556,31.06,+87,39.15,29.15,198.00,f,6.37,9.11,4.2,244.10,12.7,-13.8,1.655,15.65,-,13.0,
5,5,BHP,BHP Billiton,78.558,24.46,+75,32.208,22.41,168.60,f,6.89,9.85,31.0,46.74,52.3,-35.9,.829,16.20,-17.4,-3.3,
6,6,TLS,Telstra Corp,69.075,5.65,+10,6.735,5.23,30.50,f,5.40,7.71,3.4,34.50,16.4,-9.3,4.676,.39,10.0,18.6,
7,7,WES,Wesfarmers,44.051,39.20,+1,46.95,38.45,200.00,f,5.10,7.29,5.3,216.10,18.1,12.4,1.777,4.85,-2.3,9.5,
8,8,CSL,CSL,42.109,90.57,+164,102.43,71.04,164.37,,1.81,1.81,30.7,380.60,23.8,33.2,11.558,5.10,22.2,26.8,
9,9,WOW,Woolworths,31.437,24.82,+8,36.00,24.36,139.00,f,5.60,8.00,1.5,170.80,14.5,-.4,2.815,3.62,-23.8,-.8,
10,10,MQG,Macquarie Grp,26.252,78.71,+291,86.20,54.65,330.00,p,4.19,4.91,26.9,538.15,14.6,32.4,1.756,38.19,38.1,46.1,
11,11,WPL,Woodside Petroleum,24.462,29.69,+128,41.79,27.43,276.43,f,9.31,13.30,43.4,323.05,9.2,54.8,1.152,27.02,-24.2,1.3,
12,12,RIO,Rio Tinto,21.744,51.26,-74,65.73,46.60,297.89,f,5.81,8.30,16.9,234.66,21.8,-19.4,.331,25.61,-7.5,3.2,
13,14,SCG,Scentre Grp,20.658,3.88,+13,4.07,3.245,20.65,,5.32,5.64,2.8,44.48,8.7,-68.1,1.215,3.11,20.4,19.0,
14,13,WFD,Westfield Corp,20.261,9.75,+12,10.66,7.28,32.85,,3.37,3.37,32.5,54.27,18.0,-40.6,2.122,4.99,33.1,20.4,
15,15,TCL,Transurban Grp,18.720,9.74,+15,10.59,7.54,40.00,p,4.11,4.41,14.3,-9.50,-,-30.5,3.074,2.89,30.2,23.1,
16,16,QBE,QBE Insurance Grp,18.156,13.26,+14,15.00,10.13,42.00,f,3.17,4.52,15.6,83.36,15.9,-,1.330,6.91,16.9,3.0,
17,17,AMP,AMP,17.125,5.79,+4,6.83,5.02,27.50,p,4.75,6.43,13.0,34.60,16.7,29.2,2.028,1.50,10.0,15.1,
