Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, March 22, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4980.8 at 2013-03-22T16:43:36. Report at Friday, March 22, 2013. Processed Saturday at 2013-03-23T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,2,CBA,C'wlth Bank  of Aust,110.438,68.63,-155,70.95,48.55,361.00,f,5.26,7.51,4.4,446.70,15.4,-1.2,2.657,-,45.4,13.5,,
2,1,BHP,BHP Billiton,107.367,33.43,-212,39.34,30.09,110.65,f,3.31,4.73,14.1,176.90,18.9,-13.6,1.631,11.33,-.2,-5.9,,
3,3,WBC,Westpac Banking,94.664,30.50,-39,31.99,20.00,166.00,f,5.44,7.78,6.4,195.80,15.6,4.5,2.048,10.47,49.8,10.4,,
4,4,ANZ,ANZ Banking Grp,78.333,28.55,-58,29.46,20.26,145.00,f,5.08,7.26,3.6,213.40,13.4,4.0,1.900,12.22,30.7,10.6,,
5,5,NAB,National Aust Bank,71.748,30.63,-67,32.24,21.95,180.00,f,5.88,8.40,4.7,175.30,17.5,-2.9,1.638,13.82,34.3,11.1,,
6,6,NWS,News Corp,66.558,28.91,-89,30.34,18.52,14.22,,.49,.49,3.0,165.95,17.4,51.7,.934,2.47,52.6,16.9,,
7,7,TLS,Telstra Corp,56.367,4.53,+2,4.69,3.22,28.00,f,6.18,8.83,-,28.60,15.8,20.8,4.822,.34,47.0,24.9,,
8,8,WES,Wesfarmers,47.098,40.63,-249,43.50,28.43,172.00,f,4.23,6.05,10.0,193.60,21.0,10.6,1.596,4.63,41.7,13.6,,
9,9,WOW,Woolworths,42.293,34.03,-202,36.10,25.146,129.00,f,3.79,5.42,3.3,162.88,20.9,8.8,5.007,2.17,36.5,11.5,,
10,10,WPL,Woodside Petroleum,30.435,36.94,-23,39.21,30.09,126.62,f,3.43,4.90,19.9,352.47,10.5,18.4,1.997,17.71,9.9,-4.9,,
11,11,CSL,CSL,29.091,58.49,-300,61.86,33.97,95.66,,1.64,1.64,3.8,217.08,26.9,8.8,8.486,5.08,66.0,19.7,,
12,12,RIO,Rio Tinto,25.239,57.92,-338,72.30,48.37,160.18,f,2.77,3.95,15.9,-155.72,-,-38.8,.452,19.53,-8.8,-7.7,,
13,13,WDC,Westfield Grp,23.974,10.76,-24,11.40,8.69,49.50,,4.60,4.60,2.3,75.79,14.2,-2.2,1.521,6.90,27.7,10.3,,
14,14,NCM,Newcrest Min,17.080,22.30,+31,30.24,20.89,35.00,,1.57,1.64,16.7,101.70,21.9,-3.8,1.132,14.92,-23.9,-11.0,,
15,15,QBE,QBE Insurance Grp,15.641,13.07,-54,14.71,10.02,50.00,f,3.83,4.35,-42.5,62.69,20.8,-1.7,1.423,4.30,-4.2,-9.3,,
16,16,AMP,AMP,14.799,5.05,-19,5.59,3.71,25.00,p,4.95,6.22,-13.8,24.70,20.4,-2.7,1.965,1.13,23.3,-1.1,,
17,17,SUN,Suncorp Grp,14.642,11.38,-46,11.98,7.329,45.00,f,3.95,5.65,14.3,71.16,16.0,26.3,1.036,6.32,43.7,15.6,,
