Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Thursday, April 2, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5869.7 at 2015-04-02T16:52:36. Report at Thursday, April 2, 2015. Processed Saturday at 2015-04-04T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,153.053,94.40,+6,96.69,73.57,416.00,f,4.41,6.30,10.2,552.40,17.1,12.0,3.165,24.46,30.5,31.1,,
2,2,WBC,Westpac Banking,123.091,39.45,+25,39.89,31.33,182.00,f,4.61,6.59,4.6,243.70,16.2,9.8,2.513,11.57,21.3,29.9,,
3,3,ANZ,ANZ Banking Grp,101.428,36.67,-13,37.19,30.47,178.00,f,4.85,6.93,8.5,267.10,13.7,21.3,2.065,14.65,17.4,23.3,,
4,4,BHP,BHP Billiton,97.057,30.22,-53,39.74,26.50,147.02,f,4.86,6.95,11.2,203.47,14.9,12.2,1.087,18.54,-12.0,-.2,,
5,5,NAB,National Aust Bank,93.673,38.69,-14,39.58,31.33,198.00,f,5.12,7.31,4.2,222.10,17.4,-13.8,1.991,15.15,17.8,24.8,,
6,6,TLS,Telstra Corp,77.266,6.32,-6,6.735,5.02,30.00,f,4.75,6.78,5.4,37.60,16.8,24.3,5.579,.41,31.8,32.0,,
7,7,WES,Wesfarmers,48.894,43.51,-56,46.95,39.61,193.94,f,4.46,6.37,4.5,231.34,18.8,-.7,1.910,4.92,12.3,19.1,,
8,8,CSL,CSL,43.868,93.32,+147,96.60,63.77,139.23,,1.49,1.49,17.9,316.08,29.5,9.0,13.364,5.52,39.5,41.0,,
9,9,WOW,Woolworths,36.619,28.99,-63,38.92,28.53,139.00,f,4.79,6.85,3.0,192.40,15.1,3.6,3.493,3.52,-14.9,8.2,,
10,10,WPL,Woodside Petroleum,28.137,34.15,-89,44.23,31.97,303.22,f,8.88,12.68,43.4,357.23,9.6,54.8,1.448,23.42,-1.0,7.2,,
11,11,MQG,Macquarie Grp,26.183,78.52,+123,78.84,54.65,290.00,p,3.69,4.33,32.2,483.86,16.2,55.7,2.165,32.50,41.1,46.6,,
12,12,RIO,Rio Tinto,24.307,55.78,-77,67.89,52.00,256.07,f,4.59,6.56,16.9,430.50,13.0,-19.4,.384,25.82,-3.8,-.1,,
13,13,WFD,Westfield Corp,20.615,9.92,+1,10.66,6.70,-,,-,-,29.8,-14.18,-,-40.6,2.281,4.54,64.6,28.0,,
14,14,SCG,Scentre Grp,19.913,3.74,-11,4.00,3.07,-,p,-,-,2.8,-,-,-68.1,1.274,3.04,51.7,25.7,,
15,15,AMP,AMP,19.344,6.54,+3,6.83,4.98,26.00,p,3.98,5.26,13.0,30.30,21.6,29.2,2.395,1.42,42.3,21.9,,
16,19,QBE,QBE Insurance Grp,18.318,13.42,+60,13.90,10.13,37.00,f,2.76,3.94,15.6,69.98,19.2,-,1.367,6.46,8.7,1.5,,
17,16,TCL,Transurban Grp,18.245,9.53,-16,9.82,6.965,37.50,p,3.93,4.25,14.4,3.10,307.4,54.5,3.073,3.23,40.0,26.0,,
18,17,BXB,Brambles,18.082,11.54,-,11.73,8.74,27.50,p,2.38,2.69,-,39.67,29.1,-12.2,6.254,.65,29.2,21.8,,
19,18,SUN,Suncorp Grp,17.601,13.68,-6,15.08,12.357,78.00,f,5.70,8.14,36.4,63.58,21.5,48.6,1.289,6.12,15.7,26.3,,
20,20,AMC,Amcor,17.111,14.18,+9,14.78,9.88,47.90,,3.38,3.38,17.3,66.03,21.5,52.1,7.821,-.06,47.2,34.6,,
21,21,IAG,Insurance Aust Grp,14.143,6.04,-6,6.61,5.45,39.00,f,6.46,8.30,8.3,50.08,12.1,11.9,2.123,1.28,17.7,29.3,,
22,22,RHC,Ramsay Health Care,13.446,66.54,-9,69.22,43.70,91.50,f,1.38,1.96,20.6,161.00,41.3,20.5,7.804,-1.69,42.2,54.0,,
23,24,RMD,ResMed Inc,13.196,9.40,+33,9.47,4.72,10.69,,1.14,1.14,43.7,27.95,33.6,13.9,7.055,-,101.0,48.4,,
