Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Wednesday, December 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5369.5 at 2014-12-24T15:10:06. Report at Wednesday, December 24, 2014. Processed Saturday at 2014-12-27T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,CBA,C'wlth Bank  of Aust,137.682,84.92,+121,85.85,72.14,401.00,f,4.72,6.75,10.2,533.80,15.9,12.0,2.743,23.49,12.9,26.0,,
2,2,WBC,Westpac Banking,102.654,32.90,+42,35.99,30.00,182.00,f,5.53,7.90,4.6,243.70,13.5,9.8,2.037,11.57,5.3,25.0,,
3,3,BHP,BHP Billiton,93.043,28.97,-1,39.79,27.29,130.92,f,4.52,6.46,11.2,276.01,10.5,12.2,1.020,15.87,-21.3,-2.5,,
4,4,ANZ,ANZ Banking Grp,88.213,32.00,+32,35.07,28.84,178.00,f,5.56,7.95,8.5,267.10,12.0,23.0,1.764,14.65,3.3,22.1,,
5,5,NAB,National Aust Bank,80.744,33.38,+72,36.00,31.33,198.00,f,5.93,8.47,4.2,222.10,15.0,-13.8,1.645,15.15,-.8,19.2,,
6,6,TLS,Telstra Corp,72.254,5.91,+2,6.05,4.96,29.50,f,4.99,7.13,5.4,34.40,17.2,24.3,5.154,.60,18.4,28.8,,
7,7,WES,Wesfarmers,47.108,41.92,+61,45.756,39.61,189.90,f,4.53,6.47,4.5,234.47,17.9,-.7,1.788,6.14,-1.7,17.3,,
8,8,CSL,CSL,41.507,87.47,+111,88.92,63.77,123.73,,1.41,1.41,17.9,286.73,30.5,9.0,12.216,5.00,27.4,41.8,,
9,9,WOW,Woolworths,38.525,30.50,+50,38.92,29.11,137.00,f,4.49,6.42,3.0,196.50,15.5,3.6,3.584,3.11,-8.3,10.4,,
10,10,WPL,Woodside Petroleum,31.432,38.15,+38,44.23,33.72,233.81,f,6.13,8.76,61.9,266.00,14.3,-5.1,1.735,19.97,2.2,12.4,,
11,11,RIO,Rio Tinto,24.660,56.59,+30,71.30,52.00,223.23,f,3.94,5.64,30.3,374.22,15.1,58.5,.408,23.73,-14.9,.6,,
12,12,SCG,Scentre Grp,19.221,3.61,+6,3.69,3.07,-,,-,-,5.9,205.46,1.8,2.3,1.804,2.80,-18.2,3.5,,
13,14,WFD,Westfield Corp,19.035,9.16,+14,9.37,6.70,-,,-,-,3.0,-39.26,-,9.6,1.225,3.80,47.4,28.0,,
14,13,MQG,Macquarie Grp,18.925,58.35,+53,62.49,52.44,290.00,p,4.97,5.82,32.2,483.86,12.1,55.7,1.568,32.50,9.9,41.7,,
15,15,SUN,Suncorp Grp,17.974,13.97,+7,15.08,11.548,75.00,f,5.37,7.67,36.4,57.11,24.5,48.6,1.291,6.32,14.1,26.3,,
16,16,TCL,Transurban Grp,16.833,8.83,+8,9.03,6.619,37.50,p,4.25,4.58,14.4,18.30,48.3,54.5,2.812,3.00,36.5,22.4,,
17,17,BXB,Brambles,16.679,10.65,+19,10.75,8.61,27.00,p,2.54,2.86,-,86.20,12.4,-12.2,5.593,.82,17.3,17.2,,
18,19,AMC,Amcor,16.290,13.50,+20,13.72,9.88,43.00,,3.19,3.19,17.3,46.80,28.8,52.1,7.072,-.05,31.3,31.9,,
19,18,AMP,AMP,16.179,5.47,-1,5.96,4.11,24.00,p,4.39,5.70,-8.0,22.70,24.1,-33.2,1.969,1.35,30.2,16.2,,
20,20,QBE,QBE Insurance Grp,15.124,11.08,+11,13.23,10.20,27.00,f,2.44,3.48,-36.0,-31.16,-,-,1.283,5.62,-2.9,-2.6,,
21,21,IAG,Insurance Aust Grp,14.588,6.23,-12,6.61,5.32,39.00,f,6.26,8.94,8.3,56.09,11.1,11.9,2.175,1.29,15.7,35.9,,
22,22,ORG,Origin Energy,12.988,11.74,+23,16.21,10.28,50.00,,4.26,4.26,-,48.10,24.4,-7.0,.834,6.56,-16.2,-1.5,,
23,23,OSH,Oil Search,12.029,7.90,+22,9.88,6.87,4.40,,.56,.56,12.9,19.26,41.0,54.9,3.051,3.38,-5.1,7.6,,
24,24,RHC,Ramsay Health Care,11.462,56.72,+56,57.99,41.06,85.00,f,1.50,2.14,20.6,144.10,39.4,20.5,6.496,2.48,31.8,45.8,,
25,25,SYD,Sydney Airport,10.793,4.87,-3,4.95,3.68,23.50,,4.83,4.83,7.1,9.97,48.8,-67.7,2.963,-2.65,35.4,30.1,,
26,26,GMG,Goodman Grp,10.455,5.99,+11,6.05,4.55,20.70,,3.46,3.46,6.7,38.20,15.7,7.0,1.642,2.88,26.4,31.9,,
27,27,SGP,Stockland,9.982,4.25,+4,4.30,3.59,24.00,,5.65,5.65,-100.0,22.80,18.6,6.9,1.189,3.53,23.4,17.0,,
28,28,AZJ,Aurizon Hldgs,9.874,4.62,+1,5.265,4.15,16.50,,3.57,4.16,34.2,11.80,39.2,30.8,1.543,3.00,-2.5,13.5,,
29,29,RMD,ResMed Inc,9.853,7.05,+22,7.07,4.68,9.98,,1.42,1.42,43.7,25.90,27.2,13.9,5.114,-,31.3,42.3,,
30,30,LLC,Lend Lease Grp,9.465,16.33,+44,16.48,10.135,71.00,,4.35,4.35,69.0,150.80,10.8,47.9,1.886,6.14,49.8,36.6,,
31,31,CTX,Caltex Aust,9.450,35.00,+106,35.09,18.50,37.00,f,1.06,1.51,-15.0,184.30,19.0,-29.5,3.523,9.31,71.5,45.4,,
32,32,CWN,Crown Resorts,9.163,12.58,+14,18.22,12.065,37.00,p,2.94,3.57,-,90.03,14.0,30.4,2.276,4.26,-24.3,19.0,,
33,33,AGL,AGL Energy,9.055,13.45,+7,15.590,12.55,63.00,f,4.68,6.69,-,102.20,13.2,-14.2,1.176,7.75,-7.8,1.6,,
34,36,STO,Santos,8.241,8.39,+40,15.32,6.96,35.00,f,4.17,5.96,-,46.30,18.1,15.2,.764,-,-44.4,-11.4,,
35,34,NCM,Newcrest Min,8.010,10.45,-30,12.50,7.75,-,,-,-,-100.0,-289.80,-,-4.3,1.065,9.94,37.3,-28.3,,
36,35,FMG,Fortescue Metals Grp,7.909,2.54,-1,6.22,2.31,20.00,f,7.87,11.25,100.0,93.42,2.7,75.0,.979,2.56,-54.4,-13.6,,
37,37,LEI,Leighton Hldgs,7.769,22.95,+24,23.48,15.39,117.00,p,5.10,5.92,31.3,128.50,17.9,12.8,2.354,7.96,48.3,11.2,,
38,39,GPT,GPT Grp,7.568,4.49,+12,4.51,3.40,20.80,,4.63,4.63,5.7,30.45,14.7,-,1.099,3.82,32.4,18.5,,
39,40,SHL,Sonic Healthcare,7.378,18.38,+42,19.30,15.80,67.00,p,3.65,4.44,8.1,96.20,19.1,13.3,2.321,-2.43,12.7,21.8,,
40,38,APA,APA Grp,7.180,7.32,-33,8.10,5.708,36.25,,4.95,4.95,2.1,41.10,17.8,3.2,2.584,1.41,41.3,28.8,,
41,41,ASX,ASX,7.093,36.64,+17,37.93,34.07,178.10,f,4.86,6.94,4.6,198.50,18.5,-,1.920,6.53,4.0,12.1,,
42,42,ORI,Orica,7.004,18.79,+8,24.85,16.87,96.00,p,5.11,5.93,2.1,163.70,11.5,-2.1,1.587,5.03,-19.9,-5.2,,
43,43,CCL,Coca-Cola Amatil,6.994,9.16,+6,12.35,8.19,52.00,p,5.68,7.50,-,6.10,150.2,-10.2,3.990,1.74,-20.6,-3.2,,
44,44,MGR,Mirvac Grp,6.932,1.875,+4.5,1.91,1.63,9.00,,4.80,4.80,3.5,12.19,15.4,7.3,1.104,1.66,15.4,22.7,,
