Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, January 13, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4255.4 at 2012-01-13T16:55:09. Report at Friday, January 13, 2012. Processed Saturday at 2012-01-14T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton,117.548,36.60,+136,49.81,33.68,97.94,f,2.68,3.82,-3.2,399.57,9.2,39.1,2.186,9.90,-15.2,9.2,,
2,2,CBA,C'wlth Bank  of Aust,79.175,50.07,+56,55.77,42.30,320.00,f,6.39,9.13,10.3,395.10,12.7,18.7,2.123,16.82,1.6,30.6,,
3,3,WBC,Westpac Banking,63.159,20.68,+66,25.60,17.84,156.00,f,7.54,10.78,12.2,233.00,8.9,5.0,1.447,9.96,-3.3,16.9,,
4,4,ANZ,ANZ Banking Grp,56.791,21.20,+75,25.96,17.63,140.00,f,6.60,9.43,11.1,208.20,10.2,7.6,1.496,11.44,-4.3,23.9,,
5,5,NAB,National Aust Bank,53.276,23.80,+40,28.18,19.64,172.00,f,7.23,10.32,13.2,233.60,10.2,16.9,1.263,13.62,3.4,15.0,,
6,6,NWS,News Corp,45.650,18.62,+37,18.62,13.32,14.33,,.77,.77,-5.5,96.84,19.2,-13.4,1.650,2.41,11.2,16.8,,
7,7,TLS,Telstra Corp,40.938,3.29,-4,3.42,2.57,28.00,f,8.51,12.16,-,26.10,12.6,-16.7,3.330,.36,29.1,4.5,,
8,8,WES,Wesfarmers,35.232,30.40,+3,35.26,26.04,150.00,f,4.93,7.05,20.0,166.70,18.2,22.7,1.389,4.12,-6.4,30.9,,
9,9,WOW,Woolworths,31.494,25.67,+34,28.22,23.21,122.00,f,4.75,6.79,6.1,173.60,14.8,5.1,4.014,1.94,.8,1.6,,
10,10,RIO,Rio Tinto,28.416,65.21,+269,89.04,58.52,111.75,f,1.71,2.45,128.8,731.53,8.9,75.2,.442,18.81,-21.3,27.3,,
11,11,WPL,Woodside Petroleum,26.466,32.85,+181,50.85,29.76,106.93,f,3.26,4.65,2.5,161.22,20.4,-5.9,2.265,14.06,-18.9,.4,,
12,12,NCM,Newcrest Min,24.829,32.42,+167,42.680,29.51,30.00,,.93,.93,20.0,126.40,25.6,-6.7,1.789,13.32,-11.1,2.4,,
13,13,WDC,Westfield Grp,19.557,8.47,+14,10.20,7.21,55.76,,6.58,6.58,-13.3,34.66,24.4,19.7,1.164,7.07,-8.5,3.6,,
14,14,CSL,CSL,16.569,31.87,+15,38.07,26.12,80.00,p,2.51,2.53,-,174.01,18.3,6.0,4.546,5.20,-12.2,-3.1,,
15,17,FMG,Fortescue Metals Grp,14.791,4.75,+31,7.34,3.95,7.00,f,1.47,1.83,-,30.60,15.5,89.5,6.525,.73,-24.5,39.6,,
16,16,ORG,Origin Energy,14.587,13.43,+27,17.22,12.00,50.00,f,3.72,5.32,8.8,19.60,68.5,18.8,1.079,6.39,-8.1,4.8,,
17,15,QBE,QBE Insurance Grp,12.271,11.00,-212,19.60,9.88,128.00,p,11.64,12.13,-,130.15,8.5,-39.0,1.200,4.26,-31.9,-17.4,,
18,18,AMP,AMP,12.189,4.27,+9,5.82,3.61,30.00,p,7.03,8.38,-,31.40,13.6,-3.4,4.066,.97,-14.8,-1.2,,
19,19,STO,Santos,12.104,12.85,+62,16.90,10.11,30.00,f,2.33,3.33,-11.9,93.40,13.8,48.3,1.592,-,-2.7,1.7,,
20,20,SUN,Suncorp Grp,10.756,8.36,-6,8.85,6.03,35.00,f,4.19,5.98,-,35.56,23.5,-31.5,.767,6.03,1.1,11.0,,
21,21,BXB,Brambles,10.526,7.11,-13,7.46,5.79,26.00,p,3.66,3.97,4.0,30.63,23.2,-10.1,4.611,.22,2.9,5.8,,
22,25,QRN,QR National,9.174,3.76,+25,3.78,2.71,3.70,,.98,.98,-,14.90,25.2,37.7,1.312,2.86,35.9,-,,
23,22,CCL,Coca-Cola Amatil,9.016,11.87,+31,12.47,10.04,50.00,f,4.21,6.02,11.5,58.00,20.5,11.4,4.918,1.56,10.1,13.7,,
24,23,ORI,Orica,8.997,24.65,+90,28.10,21.34,90.00,f,3.65,4.89,-5.3,173.50,14.2,-9.6,2.322,2.09,.7,28.9,,
25,26,OSH,Oil Search,8.720,6.58,+19,7.64,5.43,3.96,,.60,.60,-8.1,17.31,38.0,13.5,3.167,-,-.6,16.0,,
26,24,AMC,Amcor,8.700,7.21,+10,7.54,5.87,35.00,,4.85,4.85,18.6,29.10,24.8,15.1,2.321,1.37,10.3,18.9,,
27,27,MQG,Macquarie Grp,8.178,23.46,-79,41.95,19.94,165.00,,7.03,7.03,-,256.28,9.2,-13.1,.685,28.14,-38.9,1.1,,
28,28,TCL,Transurban Grp,8.085,5.57,-,5.79,4.54,28.50,p,5.12,5.38,12.5,7.80,71.4,71.1,2.025,2.59,12.4,8.5,,
29,30,SGP,Stockland,7.899,3.41,+10,3.89,2.52,23.70,,6.95,6.95,8.7,31.70,10.8,8.7,.898,3.65,-2.0,5.7,,
30,29,WRT,Westfield Retail Tr,7.880,2.58,+5,2.75,2.18,8.54,,3.31,3.31,-,18.71,13.8,-,-,3.21,.5,-,,
31,32,LEI,Leighton Hldgs,6.920,20.53,+78,31.374,16.79,60.00,,2.92,4.17,-59.1,-133.10,-,-,2.983,6.43,-32.1,11.8,,
32,31,AGK,AGL Energy,6.918,14.89,+19,15.79,12.50,60.00,f,4.03,4.92,1.7,122.40,12.2,38.6,1.091,6.95,4.2,4.5,,
33,33,ILU,Iluka Res,6.833,16.32,+77,19.46,8.32,28.00,,1.72,1.72,-,45.20,36.1,-,6.076,2.91,96.7,57.8,,
34,34,WOR,WorleyParsons,6.401,26.48,+20,33.61,21.13,86.00,p,3.25,4.04,13.9,148.30,17.9,2.7,3.447,.65,-1.3,24.9,,
35,35,IAG,Insurance Aust Grp,6.175,2.97,+4,3.84,2.74,16.00,f,5.39,7.69,23.1,12.08,24.6,141.6,1.348,1.23,-18.2,-5.4,,
36,36,CWN,Crown,5.922,8.13,+17,9.20,7.45,37.00,p,4.55,5.62,-,44.29,18.4,14.9,1.816,3.14,-.9,18.9,,
37,37,GPT,GPT Grp,5.775,3.18,+9,3.27,2.58,17.50,,5.50,5.50,-40.0,49.27,6.5,37.6,.830,3.64,13.6,6.0,,
38,38,ASX,ASX,5.357,30.59,-45,39.18,25.83,183.20,f,5.99,8.56,5.8,201.60,15.2,2.4,1.773,4.01,-13.4,10.0,,
39,39,SYD,SYD Airport,5.137,2.76,+6,3.59,2.62,21.00,,7.61,7.61,-,-10.38,-,-,.952,-,-1.1,16.7,,
40,40,IPL,Incitec Pivot,5.130,3.15,+8,4.72,2.94,11.50,,3.65,3.65,47.4,27.30,11.5,19.3,1.384,.45,-24.2,8.2,,
41,41,CFX,CFS Retail Prop,5.040,1.775,+6,1.91,1.49,12.70,,7.15,7.18,1.6,19.35,9.2,11.3,.864,2.05,1.3,5.4,,
42,43,GMG,Goodman Grp,4.966,.645,+4.5,.76,.52,3.50,,5.43,5.43,2.9,5.90,10.9,-35.8,.991,.49,-.2,3.3,,
43,42,NHC,New Hope Corp,4.684,5.64,-1,6.420,4.397,10.25,f,1.82,2.60,7.9,60.60,9.3,-27.5,1.978,2.79,20.2,29.6,,
44,45,AIO,Asciano,4.526,4.64,+6,4.89,1.33,6.00,f,1.29,1.85,-,18.00,25.8,114.5,1.406,-,-2.5,20.6,,
45,44,SHL,Sonic Healthcare,4.477,11.48,-18,13.14,10.33,59.00,p,5.14,5.76,-,75.80,15.1,.7,1.779,-2.30,1.1,-1.6,,
46,47,MGR,Mirvac Grp,4.408,1.29,+4.5,1.33,.965,8.20,,6.36,6.36,2.5,5.38,24.0,13.8,.788,1.62,9.4,12.3,,
47,50,DXS,DEXUS Prop Grp,4.379,.905,+3.5,.925,.735,5.26,,5.81,5.81,1.6,11.44,7.9,24.2,.825,1.01,15.9,15.2,,
48,46,CPU,Computershare,4.334,7.80,-11,11.37,6.55,28.00,p,3.59,4.51,-,44.26,17.6,-23.4,3.737,-.01,-20.0,5.4,,
49,49,LLC,Lend Lease Grp,4.260,7.45,+5,9.28,6.70,35.00,,4.70,5.27,9.4,91.70,8.1,31.5,1.173,4.05,-11.7,7.9,,
50,48,AFI,Aust Foundation,4.248,4.15,+1,5.05,3.82,21.00,f,5.06,7.23,-,23.02,18.0,23.8,1.003,3.81,-12.1,6.0,,
51,51,RHC,Ramsay Health Care,3.991,19.75,+27,20.08,16.00,52.00,f,2.63,3.76,19.5,99.60,19.8,20.0,3.100,1.94,18.7,29.0,,
52,52,RMD,ResMed Inc,3.922,2.52,+7,3.37,2.36,-,,-,-,-,13.87,18.2,-3.5,2.433,.89,-21.3,-6.7,,
53,55,QAN,Qantas Airways,3.375,1.49,+2.5,2.57,1.35,-,,-,-,-,11.00,13.5,53.3,.549,2.45,-37.9,-14.3,,
54,54,CPB,Campbell Brothers,3.335,49.40,-46,57.00,37.51,170.00,p,3.44,4.18,40.0,250.26,19.7,57.2,4.039,2.51,30.2,54.7,,
55,57,OZL,OZ Minerals,3.302,10.49,+27,16.814,8.70,70.00,,6.67,6.67,-,92.20,11.4,234.3,1.003,8.02,-31.8,27.3,,
56,60,TTS,Tatts Grp,3.285,2.45,+7,2.57,2.08,21.50,f,8.78,12.53,115.0,21.20,11.6,-7.1,1.286,-1.11,8.3,3.1,,
57,56,SOL,Soul Pattinson,3.280,13.70,-,14.74,11.16,40.00,f,2.92,4.17,17.6,152.48,9.0,-11.2,.838,11.37,13.8,21.1,,
58,53,COH,Cochlear,3.278,57.61,-269,85.00,45.11,225.00,p,3.91,5.00,12.5,318.20,18.1,12.5,6.514,5.19,-23.1,2.3,,
59,59,CTX,Caltex Aust,3.275,12.13,+29,16.44,8.76,47.00,f,3.87,5.54,140.0,165.00,7.4,-2.0,1.062,11.73,-6.6,14.5,,
