Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
 XAO 4577.6 at 16:40 3/9/2010  Report at 22:00 Friday 3/9/2010. Processed 11:51 Sunday 5/9/2010.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move ¢,Year High,Year Low,DPS ¢,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS ¢,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton Ltd,128.639,38.33,103,44.93,35.58,98.54,f,2.57,3.67,-9.2,268.22,14.3,6.1,2.16,10.21,2.5,1.6
2,2,CBA,C'wlth Bank  of Aust ,79.873,51.57,236,60.00,45.88,290,f,5.62,8.03,27.2,344.5,15.0,22.0,2.14,15.94,13.1,2.2
3,3,WBC,Westpac Banking,67.256,22.50,75,28.43,20.56,125,f,5.56,7.94,-18.3,138.5,16.2,-37.4,1.78,8.42,-5.9,-1.6
4,4,ANZ,ANZ Banking Grp,59.609,23.29,85,26.23,19.95,108,f,4.64,6.62,-25.0,144.8,16.1,12.6,1.77,9.99,10.6,-2.5
5,5,NAB,National Aust Bank,51.411,24.10,105,32.37,22.23,147,f,6.10,8.71,-24.7,199.3,12.1,-53.0,1.30,12.41,-14.4,-11.3
6,6,RIO,Rio Tinto Ltd,44.778,73.79,449,81.25,55.61,100.83,f,1.37,1.95,-62.3,465.33,15.9,-56.1,0.82,15.37,25.3,-0.4
7,7,NWS,News Corp b voting,39.225,16.20,66,20.18,14.81,14.24,,0.88,0.88,6.9,113.81,14.2,-63.3,0.41,1.56,3.0,-15.8
8,8,WES,Wesfarmers Ltd,38.913,33.60,199,33.75,24.62,125,f,3.72,5.31,13.6,135.7,24.8,-20.6,1.29,3.61,30.8,2.0
9,9,TLS,Telstra Corp,35.089,2.82,6,3.55,2.74,28,f,9.93,14.18,-,31.4,9.0,-5.0,2.64,0.38,-6.9,-7.0
10,10,WOW,Woolworths Ltd,34.942,28.38,53,30.57,25.19,115,f,4.05,5.79,10.6,164.01,17.3,9.0,4.39,2.03,3.2,0.6
11,11,WPL,Woodside Pet,33.842,43.38,128,53.869,39.63,111.34,f,2.57,3.67,-17.8,268.28,16.2,-36.1,3.17,16.79,-11.2,0.4
12,13,NCM,Newcrest Min,29.623,38.72,344,39.75,29.73,25,,0.65,0.65,66.7,115.2,33.6,53.0,3.41,10.19,18.3,16.4
13,12,WDC,Westfield Grp stp,29.54,12.80,41,14.33,11.50,79,,6.17,6.17,-11.7,53.6,23.9,-19.4,1.18,10.49,4.3,-10.0
