Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, September 14, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4410.2 at 2012-09-14T16:42:06. Report at Friday, September 14, 2012. Processed Saturday at 2012-09-15T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
1,1,BHP,BHP Billiton,106.981,33.31,+133,39.21,30.09,106.15,f,3.19,4.55,14.1,284.17,11.7,-13.6,1.625,11.37,-2.0,-1.5,,
2,2,CBA,C'wlth Bank  of Aust,88.014,55.28,+68,58.05,42.30,334.00,f,6.04,8.63,4.4,448.90,12.3,-1.2,2.117,18.73,29.2,8.6,,
3,3,WBC,Westpac Banking,74.262,24.11,+41,24.99,18.61,162.00,f,6.72,9.60,12.2,198.30,12.2,5.0,1.695,10.12,28.1,3.8,,
4,4,ANZ,ANZ Banking Grp,65.840,24.23,+7,25.12,18.60,142.00,f,5.86,8.37,11.1,214.80,11.3,7.6,1.735,-,33.0,5.9,,
5,5,NAB,National Aust Bank,58.373,25.41,+35,26.56,20.92,178.00,f,7.01,10.01,13.2,213.60,11.9,16.9,1.384,13.68,22.6,.2,,
6,6,NWS,News Corp,54.946,23.53,-33,23.94,15.72,14.04,,.60,.60,3.0,46.12,51.0,51.7,.760,2.01,45.3,14.4,,
7,7,TLS,Telstra Corp,47.533,3.82,+1,4.09,3.00,28.00,f,7.33,10.47,-,27.50,13.9,5.0,4.066,.33,33.1,15.1,,
8,8,WES,Wesfarmers,40.151,34.55,-51,35.97,28.25,165.00,f,4.78,6.82,10.0,184.20,18.8,10.6,1.357,4.45,15.1,14.4,,
9,9,WOW,Woolworths,35.619,28.86,-140,30.88,23.21,126.00,f,4.37,6.24,3.3,148.67,19.4,2.5,4.217,2.36,21.5,4.0,,
10,10,WPL,Woodside Petroleum,28.722,34.86,+6,38.16,29.76,114.05,f,3.27,4.67,-6.6,187.44,18.6,14.1,2.198,16.08,10.8,-9.8,,
11,12,RIO,Rio Tinto,24.655,56.58,+420,72.30,48.37,152.71,f,2.70,3.86,21.9,247.68,22.8,13.0,.423,20.97,-6.0,.3,,
12,11,WDC,Westfield Grp,22.664,10.06,-24,10.45,7.21,48.95,,4.87,4.87,-23.8,73.22,13.7,-18.9,1.332,6.79,36.7,3.4,,
13,13,CSL,CSL,21.980,43.50,-51,45.95,26.38,83.00,,1.91,1.91,3.8,189.24,23.0,8.8,6.418,5.08,49.6,11.7,,
14,14,NCM,Newcrest Min,21.695,28.36,+252,38.841,20.89,35.00,p,1.23,1.29,16.7,146.00,19.4,-3.8,1.437,14.70,-15.3,-2.8,,
15,15,QBE,QBE Insurance Grp,15.480,13.10,+71,15.49,9.88,65.00,p,4.96,5.36,-32.0,71.57,18.3,-48.7,1.506,4.45,6.7,-12.8,,
16,17,AMP,AMP,12.882,4.45,+3,4.55,3.71,26.50,p,5.96,7.29,-3.3,25.40,17.5,-5.4,1.868,1.06,19.9,-6.4,,
17,16,ORG,Origin Energy,12.841,11.78,+2,15.08,11.08,50.00,f,4.24,6.06,-,90.60,13.0,16.0,.888,6.54,-8.6,-7.2,,
18,18,SUN,Suncorp Grp,12.158,9.45,+53,9.45,7.329,40.00,f,4.23,6.05,14.3,56.68,16.7,26.3,.861,6.15,25.9,7.1,,
19,19,STO,Santos,11.389,11.95,+23,14.63,10.04,30.00,f,2.51,3.59,-18.9,55.00,21.7,13.4,1.271,-,7.6,-5.2,,
20,20,BXB,Brambles,10.964,7.05,+10,7.551,6.04,26.00,p,3.69,4.08,.5,38.17,18.5,23.3,4.077,.49,13.6,-.7,,
21,21,CCL,Coca-Cola Amatil,10.346,13.59,-17,14.10,11.30,54.50,f,4.01,5.73,8.3,90.30,15.0,4.4,5.086,1.88,18.9,16.2,,
22,23,OSH,Oil Search,10.318,7.75,+33,7.79,5.43,3.87,,.50,.50,-11.2,14.95,51.8,62.0,3.473,-,37.6,7.0,,
23,24,MQG,Macquarie Grp,9.848,28.96,+115,30.17,19.94,140.00,,4.83,4.83,-24.7,210.10,13.8,-26.7,.839,28.12,33.8,-17.0,,
24,22,FMG,Fortescue Metals Grp,9.310,2.99,-32,6.18,2.81,8.00,f,2.68,3.82,14.3,49.13,6.1,-19.4,2.522,.77,-31.1,-6.9,,
25,29,ORI,Orica,9.196,25.15,+150,28.27,21.34,91.00,p,3.62,4.76,-5.3,170.30,14.8,-9.6,2.373,2.05,11.0,7.9,,
26,25,AMC,Amcor,9.171,7.60,-2,7.80,6.41,37.00,,4.87,4.87,5.7,34.00,22.4,12.3,2.714,.96,15.3,17.1,,
27,26,WRT,Westfield Retail Tr,9.101,2.98,+3,3.09,2.32,17.65,,5.92,5.92,3650.0,26.90,11.1,-83.9,.914,3.37,31.4,-,,
28,28,IAG,Insurance Aust Grp,9.085,4.37,+16,4.37,2.775,17.00,f,3.89,5.56,6.3,10.01,43.7,9.0,2.008,1.20,51.1,9.4,,
29,27,TCL,Transurban Grp,8.828,6.04,+2,6.21,5.17,29.50,p,4.88,5.38,9.3,3.80,158.9,-51.7,2.532,2.21,17.3,19.9,,
30,30,QRN,QR National,8.345,3.42,-3,4.03,2.85,8.30,,2.43,2.43,124.3,18.10,18.9,49.5,1.144,2.98,10.7,-,,
31,31,AGK,AGL Energy,8.030,14.71,-43,16.01,13.031,61.00,f,4.15,5.92,5.0,23.80,61.8,-36.7,1.126,7.26,10.6,7.8,,
32,32,SGP,Stockland,7.314,3.32,-3,3.54,2.72,24.00,,7.23,7.23,1.3,21.10,15.7,-32.2,.889,3.68,23.0,-.3,,
33,33,CWN,Crown,6.679,9.17,-10,9.40,7.47,37.00,p,4.03,4.90,-,69.78,13.1,57.6,1.979,3.45,19.9,5.4,,
34,36,WOR,WorleyParsons,6.611,27.30,+180,30.00,23.84,91.00,p,3.33,4.32,5.8,143.70,19.0,15.6,3.339,1.12,7.2,.4,,
35,34,GMG,Goodman Grp,6.527,4.06,-11,4.20,2.60,18.00,,4.43,4.43,-38.3,27.04,15.0,-7.2,1.261,2.54,49.3,12.7,,
