Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4414.5 at 16:35 9/7/2010  Report at 19:05 Friday 9/7/2010. Processed 20:39 Friday 9/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adelaide Brighton,ABC,3.11,2.75,2.86,,,,,,,,
Aust Gold Invest,AGV,0.055,0.037,0.037,,,,,,,,
Cardno Ltd rts26juld,CDDR,0.535,-,-,,,,,,,,
FFI Hldgs,FFI,5.2,4.8,4.5,,,,,,,,
Iluka Res,ILU,5.15,4.8,5.14,,,,,,,,
Lonrho Min Ltd,LOM,0.025,0.019,0.019,,,,,,,,
  opt nov10,LOMOA,0.013,0.008,0.008,,,,,,,,
Mitchell Comms,MCU,1.01,0.94,0.97,,,,,,,,
Range Res Ltd,RRS,0.094,0.09,0.086,,,,,,,,
  opt dec11,RRSO,0.041,0.039,0.035,,,,,,,,
Resource And Invest,RNI,0.3,0.22,0.235,,,,,,,,
Signature Cap Ltd,SGI,0.38,0.355,0.355,,,,,,,,
Silver Chef Ltd,SIV,2.5,2.35,2.43,,,,,,,,
Viagold Capital,VIA,0.6,0.46,0.45,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Challenger Winetr unt,CWT,0.155,0.185,0.18,,,,,,,,
Enerji Ltd,ERJ,0.029,0.031,0.031,,,,,,,,
Enterprise Metals,ENT,0.145,0.15,0.15,,,,,,,,
E-Pay Asia Ltd,EPY,0.1,0.115,0.11,,,,,,,,
General Min Corp,GMM,0.081,0.09,0.09,,,,,,,,
Hastings High Yld unt,HHY,1.085,1.15,1.15,,,,,,,,
India Equities Fund,INE,0.055,0.61,0.58,,,,,,,,
Iron Mountain opt feb12,IRMO,0.015,0.023,0.021,,,,,,,,
Magma Metals Ltd,MMW,0.38,0.4,0.405,,,,,,,,
Peel Explore opt nov10,PEXO,0.001,0.002,0.002,,,,,,,,
Penrice Soda,PSH,0.29,0.31,0.31,,,,,,,,
Phosphate Aus Ltd,POZ,0.095,0.1,0.1,,,,,,,,
Tap Oil Ltd,TAP,0.8,0.84,0.84,,,,,,,,
Tower Aust,TAL,1.955,1.96,1.96,,,,,,,,
Transit Hldgs,TRH,0.13,0.14,0.14,,,,,,,,
