ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5120.4 at 2013-02-28T16:54:35. Report at Thursday, February 28, 2013. Processed Friday at 2013-03-01T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
MYOB Finance sub.nte17,MYBG,98.91,99.30,99.08,,
NAOS Emerging Opp,NCC,.97,-,-,,
Navarre Minerals,NML,.12,.135,.135,,
Norwest Energy,NWE,.038,.039,.046,,
Oakajee Corp,OKJ,.125,.14,.135,,
Opus Grp,OPG,.14,.21,.21,,
Oro Verde,OVL,.019,.02,.021,,
Predictive Discovery,PDI,.043,.046,.05,,
Reward Minerals,RWD,.55,.595,.61,,
Sprint Energy,SPS,.011,.015,.016,,
Straits Resources,SRQ,.047,.05,.07,,
Tangiers Pet opt oct13,TPTOA,.145,.15,.175,,
Tungsten Min,TGN,.16,.20,.20,,
Waratah Res,WGO,.022,.025,.027,,
Zeta Pet cdi,ZTA,.035,.045,.045,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
