Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:34 Thursday 8/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Centennial Coal,CEY,5.97,4.67,4.88,,,,,,,,
Erongo Energy opt jun13,ERNO,0.04,0.03,0.03,,,,,,,,
Ironclad Min rts 22jul,IFER,0.051,0.05,0.05,,,,,,,,
MDS Financial Grp,MWS,0.042,0.032,0.03,,,,,,,,
Quest Pet opt mar11,QPNO,0.003,0.002,0.002,,,,,,,,
Signature Cap Ltd,SGI,0.375,0.355,0.355,,,,,,,,
Symex Hldgs,SYM,0.62,0.555,0.56,,,,,,,,
Viagold Capital,VIA,0.52,0.46,0.45,,,,,,,,
Webfirm Grp Ltd,WFM,0.13,0.094,0.085,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Adacel Tech,ADA,0.3,0.325,0.325,,,,,,,,
Artist & Entertain,AEM,0.007,0.009,0.008,,,,,,,,
Astro Jap Prop stp,AJA,0.29,0.295,0.3,,,,,,,,
ASX Ltd,ASX,28.06,28.3,28.79,,,,,,,,
Aust Renewable,ARW,0.009,0.01,0.01,,,,,,,,
AWE Ltd,AWE,1.575,1.705,1.72,,,,,,,,
Bauxite Resource,BAU,0.13,0.145,0.145,,,,,,,,
Biota Hldgs,BTA,0.855,0.92,1.01,,,,,,,,
Cabcharge Aust,CAB,4.81,4.98,4.96,,,,,,,,
Clarius Grp Ltd,CND,0.55,0.61,0.615,,,,,,,,
Comet Ridge Ltd,COI,0.145,0.15,0.15,,,,,,,,
Crane Grp Ltd,CRG,7.76,7.87,7.92,,,,,,,,
Empire Res,ERL,0.037,0.041,0.041,,,,,,,,
Enerji Ltd,ERJ,0.03,0.031,0.031,,,,,,,,
General Min Corp,GMM,0.089,0.09,0.09,,,,,,,,
Health Corp,HEA,0.017,0.03,0.03,,,,,,,,
Island Sky Aust,ISK,0.027,0.03,0.03,,,,,,,,
Marenica Energy,MEY,0.085,0.087,0.089,,,,,,,,
Mithril Res,MTH,0.11,0.115,0.115,,,,,,,,
Novogen Ltd,NRT,0.135,0.16,0.165,,,,,,,,
Padbury Min Ltd opt may11,PDYOB,0.003,0.004,0.004,,,,,,,,
Panax Geothermal,PAX,0.057,0.076,0.076,,,,,,,,
  opt dec11,PAXO,0.006,0.014,0.013,,,,,,,,
Tectonic Res,TTR,0.042,0.05,0.057,,,,,,,,
Transfield Serv Infr stp,TSI,0.565,0.615,0.615,,,,,,,,
Vision Grp Hldgs,VGH,0.125,0.175,0.205,,,,,,,,
West Wits Min Ltd,WWI,0.05,0.052,0.051,,,,,,,,
YTC Res,YTC,0.17,0.19,0.19,,,,,,,,
