Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4372.7 at 16:36 19/7/2010  Report at 19:05 Monday 19/7/2010. Processed 08:14 Tuesday 20/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Atomic Res,ATQ,0.25,0.23,0.185,,,,,,,,
Globe Intl,GLB,0.56,0.55,0.46,,,,,,,,
Grandbridge Ltd,GBA,0.4,0.3,0.18,,,,,,,,
Healthscope Ltd,HSP,6.01,5.47,5.62,,,,,,,,
Integra Min Ltd,IGR,0.36,0.35,0.32,,,,,,,,
Oohmedia Grp Ltd,OOH,0.19,0.185,0.165,,,,,,,,
Resource And Invest,RNI,0.345,0.295,0.225,,,,,,,,
Sandfire Res,SFR,4.54,4.45,3.48,,,,,,,,
Viagold Capital,VIA,0.86,0.83,0.45,,,,,,,,
XState Res opt jun13,XSTO,0.08,0.075,-,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Aeris Environmental,AEI,0.055,0.06,0.06,,,,,,,,
Aquarius Platinum,AQP,3.89,5.19,5.84,,,,,,,,
Aristocrat Leisure,ALL,3.39,3.41,3.55,,,,,,,,
Augustus Min opt jul10,AUJO,0.005,0.008,0.015,,,,,,,,
Aurora Funds Ltd,AFV,1.75,2,-,,,,,,,,
Cabcharge Aust,CAB,4.55,4.64,4.96,,,,,,,,
Carrick Gold Ltd,CRK,0.39,0.44,0.455,,,,,,,,
Central Pet,CTP,0.059,0.061,0.061,,,,,,,,
Clancy Explore,CLY,0.09,0.095,0.12,,,,,,,,
  rts29juld,CLYR,0.01,0.012,-,,,,,,,,
Devine Ltd,DVN,0.22,0.23,0.225,,,,,,,,
Dominion Min,DOM,2.15,2.21,2.63,,,,,,,,
Enerji Ltd,ERJ,0.026,0.027,0.031,,,,,,,,
Forte Energy NL,FTE,0.095,0.1,0.1,,,,,,,,
Gas2Grid Ltd opt nov10,GGXO,0.005,0.01,0.01,,,,,,,,
Golden State Res,GDN,0.03,0.031,0.034,,,,,,,,
Hexima Ltd,HXL,0.175,0.18,0.2,,,,,,,,
Icon Res Ltd,III,0.07,0.08,0.075,,,,,,,,
Jacka Res Ltd,JKA,0.17,0.18,-,,,,,,,,
Jumbuck Entertain,JMB,0.165,0.19,0.19,,,,,,,,
Malachite Res,MAR,0.033,0.042,0.048,,,,,,,,
Media Grp Int Ltd,MUI,0.005,0.007,0.006,,,,,,,,
Mundo Min,MUN,0.087,0.091,0.1,,,,,,,,
Nufarm Finance (Nz) exc.nov11,NFNG,58,61.5,74.26,,,,,,,,
Nufarm Ltd,NUF,3.2,3.4,5.04,,,,,,,,
Pac Brands,PBG,0.805,0.845,0.85,,,,,,,,
Pan Pacific Pet,PPP,0.15,0.16,0.155,,,,,,,,
Panax Geothermal,PAX,0.054,0.057,0.076,,,,,,,,
Proto Resource & opt dec13,PRWOA,0.003,0.004,0.004,,,,,,,,
Sthn Gold,SAU,0.075,0.076,0.078,,,,,,,,
Sundance Res,SDL,0.105,0.13,0.12,,,,,,,,
