ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5926.3 at 2015-03-02T16:39:36. Report at Monday, March 2, 2015. Processed Tuesday at 2015-03-03T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
Vngd MSCI Au Large Co etf unt,VLC,67.31,67.27,67.27,,
Vngd Aust Shares etf unt,VAS,76.18,75.74,75.74,,
Vngd MSCI Intl Sh etf unt,VGS,59.00,57.99,57.99,,
Webster,WBA,1.42,1.33,1.35,,
Westpac Banking,WBC,38.61,38.14,38.28,,
Whitefield,WHF,4.65,4.62,4.62,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
99 Wuxian cdi,NNW,.245,.305,.305,,
Accent Resources,ACS,.13,.135,.135,,
ADMEDUS,AHZ,.086,.097,.097,,
AEON Metals,AQR,.075,.085,.085,,
Algae.Tec,AEB,.04,.061,.061,,
Amex Resources,AXZ,.60,.65,.625,,
Aurora Funds,AFV,.465,.525,.525,,
BetaShares BearFund,BEAR,16.03,16.12,16.12,,
Byron Energy,BYE,.35,.40,.40,,
Finbar Grp,FRI,1.23,1.265,1.25,,
Greenland Min & Energy,GGG,.061,.062,.062,,
  opt jun16,GGGOA,.003,.012,.012,,
Indochine Min,IDC,.007,.008,.008,,
Paramount Min,PCP,.016,.017,.017,,
RNI NL,RNI,.055,.06,.06,,
Sunbridge Grp,SBB,.049,.061,.059,,
Tap Oil,TAP,.32,.35,.35,,
Yancoal Aust,YAL,.071,.076,.076,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
