Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4652.6 at 16:47 9/12/2009  Report at 19:05 Wednesday 9/12/2009. Processed 19:17 Wednesday 9/12/2009.,,,,,,,,,,,,


,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adelaide Res,ADN,0.395,0.31,0.33,,,,,,,,
Austex Oil Ltd,AOK,0.2,0.19,0.155,,,,,,,,
Beadell Resource,BDR,0.26,0.14,0.185,,,,,,,,
Catalpa Res optoct11d,CAHDC,0.8,0.78,-,,,,,,,,
Challenger Kenedix ord unt,CKT,1,0.74,0.79,,,,,,,,
Dourado Res Ltd,DUO,0.235,0.23,-,,,,,,,,
Greenearth Energy,GER,0.265,0.2,0.205,,,,,,,,
IMX Res Ltd,IXR,0.405,0.4,0.4,,,,,,,,
Logicamms Ltd,LCM,1,0.8,0.85,,,,,,,,
Ludowici Ltd,LDW,2.63,2.5,2.36
Mantle Min Corp,MNM,0.076,0.071,0.049
  opt dec10,MNMOA,0.04,0.025,-
Mermaid Marine,MRM,3.22,3.12,3.01
Phylogica Ltd,PYC,0.145,0.12,0.12
RAM Res,RMR,0.043,0.029,0.037
RTL Corp Ltd,RTL,0.014,0.01,0.007
Trafford Res,TRF,0.355,0.255,0.285
Webspy Ltd,WSY,0.032,0.028,0.03
New Yearly Lows,,,,
Bougainville Copper,BOC,0.46,0.56,0.56
Brumby Res opt jan10,BMYO,0.006,0.01,0.01
CMA Corp Ltd,CMV,0.068,0.073,0.074
Contl Coal Ltd opt feb13,CCCO,0.015,0.021,0.023
Cortona Res rts 09dec,CRCR,0.004,0.012,0.01
Eldorado Gold def,EAU,13.01,-,-
Energy And Min opt jul11,EMAO,0.056,0.057,0.057
Ethan Min Ltd,ETH,0.165,0.185,-
Jackgreen Ltd,JGL,0.046,0.058,0.077
Laconia Res Ltd,LCR,0.17,0.21,0.22
Lonrho Min Ltd opt nov10,LOMOA,0.003,0.004,0.004
Oldfields Hldgs,OLH,0.19,0.245,0.255
Pelican Res,PEL,0.02,0.022,0.032
Promesa Ltd,PRA,0.08,0.125,0.13
Reverse Corp Ltd,REF,0.425,0.475,0.46
