Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4479.0 at 16:37 28/5/2010  Report at 19:05 Friday 28/5/2010. Processed 07:17 Saturday 29/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Altera Res Ltd opt jan12,AEAO,0.16,0.095,0.12,,,,,,,,
Ammtec Ltd,AEC,3.36,3.27,2.94,,,,,,,,
Austex Oil Ltd opt dec11,AOKO,0.034,-,-,,,,,,,,
Genesis Res,GES,0.2,0.145,0.175,,,,,,,,
iShares S&P Asia 50,IAA,46.22,45.3,45.8,,,,,,,,
OceanaGold Corp cdi,OGC,3.72,3.15,2.76,,,,,,,,
PharmAust Ltd opt mar12,PAAO,0.02,-,-,,,,,,,,
Wattyl Ltd,WYL,1.25,0.79,0.945,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Acuvax Ltd,ACU,0.004,0.005,0.008,,,,,,,,
Arafura Pearls,APB,0.01,0.012,0.018,,,,,,,,
Ausenco Ltd,AAX,2.34,3.02,4.3,,,,,,,,
Bauxite Resource,BAU,0.3,0.34,0.31,,,,,,,,
Benitec Ltd opt apr11,BLTOA,0.001,0.003,0.003,,,,,,,,
Challenger Infra stp,CIF,1.3,1.395,1.455,,,,,,,,
Eromanga Hydro,ERH,0.058,0.065,0.08,,,,,,,,
Excela Ltd,EXA,0.26,0.3,0.485,,,,,,,,
Geodynamics Ltd,GDY,0.43,0.5,0.555,,,,,,,,
Green Invest Ltd,GNV,0.04,0.05,0.05,,,,,,,,
India Res,IRL,0.017,0.019,0.022,,,,,,,,
Medical Aus Ltd,MLA,0.019,0.02,0.02,,,,,,,,
Panax Geothermal opt dec11,PAXO,0.015,0.021,0.023,,,,,,,,
Panorama Synergy,PSY,0.15,0.17,0.25,,,,,,,,
Primary Health Care,PRY,3.63,3.71,4.06,,,,,,,,
Qmastor Ltd,QML,0.21,0.225,0.245,,,,,,,,
Raisama Ltd,RAI,0.28,0.29,0.34,,,,,,,,
Red Emperor Res,RMP,0.07,0.1,0.1,,,,,,,,
Redbank Copper,RCP,0.032,0.036,0.046,,,,,,,,
Republic Gold Ltd opt jun11,RAUOA,0.002,0.003,0.003,,,,,,,,
Strategic Pooled,SPD,0.089,0.11,0.1,,,,,,,,
Swish Grp Ltd,SWG,0.002,0.003,0.003,,,,,,,,
Telecom Corp,TEL,1.5,1.56,1.635,,,,,,,,
Transfield Serv Infr stp,TSI,0.66,0.69,0.794,,,,,,,,
Triton Gold Ltd,TON,0.12,0.125,0.17,,,,,,,,
Vision Grp Hldgs,VGH,0.35,0.405,0.52,,,,,,,,
