Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 5017.9 at 16:36 14/4/2010  Report at 19:06 Wednesday 14/4/2010. Processed 19:16 Wednesday 14/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Activex Ltd,AIV,0.13,0.12,0.115,,,,,,,,
AGL Energy Ltd,AGK,15.69,15.36,15.3,,,,,,,,
Amcom Telecomm,AMM,0.355,0.335,0.32,,,,,,,,
ANZ Banking Grp,ANZ,25.94,25.64,25.72,,,,,,,,
  pref,ANZPA,103.4,103.15,101.75,,,,,,,,
APA Grp stp,APA,3.78,3.6,3.61,,,,,,,,
ARB Corp,ARP,6.09,5.65,5.78,,,,,,,,
Athena Res opt apr12,AHNOA,0.031,0.029,0.03,,,,,,,,
Austereo Grp Ltd,AEO,1.9,1.79,1.71,,,,,,,,
Australand Assets assets,AAZPB,88.5,87,87.3,,,,,,,,
Berkeley Res opt may13,BKYO,0.85,0.7,0.65,,,,,,,,
Bow Energy Ltd,BOW,1.605,1.51,1.49,,,,,,,,
Castle Min,CDT,0.51,0.475,0.43,,,,,,,,
Cazaly Res,CAZ,0.62,0.545,0.49,,,,,,,,
  opt feb11,CAZO,0.41,0.315,0.285,,,,,,,,
Coca-Cola Amatil,CCL,11.81,11.62,11.48,,,,,,,,
Comet Res,CRL,0.065,0.06,0.055,,,,,,,,
C'wlth Bank  of Aust ,CBA,59.28,58.26,57.45,,,,,,,,
  perls iv,CBAPB,196.6,196,194,,,,,,,,
CSL Ltd,CSL,37.41,36.43,36.82,,,,,,,,
Decmil Grp Ltd,DCG,1.76,1.62,1.65,,,,,,,,
DMC Min Ltd,DMM,0.48,0.415,0.42,,,,,,,,
FFI Hldgs,FFI,4.45,4.3,4.2,,,,,,,,
Firstfolio Ltd,FFF,0.089,0.08,0.08,,,,,,,,
Grange Res,GRR,0.77,0.69,0.585,,,,,,,,
Greater Bendigo Gold,GBM,0.043,0.037,0.037,,,,,,,,
Gujarat Nre Coal,GNM,0.77,0.755,0.725,,,,,,,,
Hills Ind Ltd,HIL,2.93,2.7,2.85,,,,,,,,
Hunnu Coal Ltd,HUN,0.695,0.54,0.6,,,,,,,,
IOOF Hldgs Ltd,IFL,7.31,7.16,7.11,,,,,,,,
Iron Road Ltd,IRD,1.05,0.8,0.775,,,,,,,,
  opt sep10,IRDO,0.8,0.58,0.56,,,,,,,,
iShares Russell 2000  1:1,IRU,76.46,75.97,75.86,,,,,,,,
iShares S&P SCap 600  1:1,IJR,66.97,66.62,66.77,,,,,,,,
Kimberley Metals,KBL,0.23,0.19,0.21,,,,,,,,
Legacy Iron Ore opt jan12,LCYO,0.052,0.045,0.045,,,,,,,,
Medusa Min Ltd,MML,4.39,4.2,4.05,,,,,,,,
Mineral Res,MIN,8.09,7.84,7.47,,,,,,,,
Murchison Metals,MMX,3.02,2.76,2.79,,,,,,,,
News Corp b voting,NWS,19.7,18.99,18.97,,,,,,,,
  a nonvote,NWSLV,16.87,16.04,16.13,,,,,,,,
Oil Basins Ltd opt jun12,OBLOA,0.044,0.032,0.027,,,,,,,,
OM Hldgs Ltd,OMH,2.09,1.97,1.87,,,,,,,,
Orocobre Ltd,ORE,2.83,2.62,2.392,,,,,,,,
Peet Ltd,PPC,2.41,2.39,2.39,,,,,,,,
Quest Pet,QPN,0.013,0.011,0.011,,,,,,,,
Ramsay Health Care,RHC,14.38,14.34,14.19,,,,,,,,
Rialto Energy,RIA,0.395,0.38,0.18,,,,,,,,
Sino Gas Energy rts27aprd,SEHR,0.004,0.003,-,,,,,,,,
SPDR 200 Fd etf unt,STW,47.42,47.15,46.68,,,,,,,,
SPDR 50 Fd etf unt,SFY,49.68,49.5,49.59,,,,,,,,
Sphere Min Ltd,SPH,2.04,1.855,1.86,,,,,,,,
Sth Boulder Mines,STB,0.89,0.72,0.475,,,,,,,,
Victory West Moly opt feb12,VWMOA,0.07,0.045,0.045,,,,,,,,
Vngd US Total Market  1:1,VTS,66.2,65.85,66.03,,,,,,,,
Westside Corp,WCL,0.7,0.66,0.454,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Aii300metals&Min etf unt,MAM,4.72,-,-,,,,,,,,
Alcoa Inc cdi,AAI,35,44,45.19,,,,,,,,
Ausdrill Ltd new,ASLNA,2.18,-,-,,,,,,,,
Becton Prop Grp stp,BEC,0.077,0.087,0.08,,,,,,,,
Biotron Ltd opt dec11,BITO,0.021,0.024,0.022,,,,,,,,
Capral Ltd,CAA,0.225,0.235,0.23,,,,,,,,
Central Pet rts 15apr,CTPRA,0.002,0.003,0.01,,,,,,,,
Integrated Legal,IAW,0.1,0.105,0.11,,,,,,,,
Minerals Corp 10.5%db11,MSCHF,0.51,0.64,0.64,,,,,,,,
Nufarm Ltd,NUF,7.35,8.19,8.12,,,,,,,,
Phoslock Water,PHK,0.095,0.105,0.1,,,,,,,,
Pro Medicus Ltd   ,PME,0.6,0.61,0.67,,,,,,,,
Rivercity Motorway stp,RCY,0.084,0.094,0.15,,,,,,,,
