Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4544.8 at 16:34 1/2/2010  Report at 19:05 Monday 1/2/2010. Processed 19:17 Monday 1/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Aneka Tambang cdi 1:5,ATM,1.14,1.06,1.06,,,,,,,,
Biotech Capital,BTC,0.31,0.305,0.305,,,,,,,,
Charter Hall Grp forus,CHC,0.75,0.68,0.745,,,,,,,,
Eldore Min,EDM,0.025,0.022,0.022,,,,,,,,
Hansen Tech,HSN,0.77,0.765,0.765,,,,,,,,
Heartware Int Inc cdi 35:1,HIN,1.22,1.18,1.18,,,,,,,,
Macq Atlas Roads Grp def,MQA,0.97,0.96,0.96,,,,,,,,
Navitas Ltd,NVT,4.65,4.53,4.59,,,,,,,,
Ramsay Health Care,RHC,12.34,11.76,11.96,,,,,,,,
Regional Express,REX,1.41,1.37,1.375,,,,,,,,
Starpharma Hldgs,SPL,0.78,0.735,0.735,,,,,,,,
Sthn Cross Air skies,SAKHA,95,91.55,92,,,,,,,,
Tamawood Ltd,TWD,2.76,2.65,2.65,,,,,,,,
Vesture Ltd,VES,0.085,0.08,0.08,,,,,,,,
Webjet Ltd,WEB,2.44,2.38,2.38,,,,,,,,
World Reach Ltd,WRR,0.008,0.005,0.005,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Agri Energy Ltd,AAE,0.01,-,-,,,,,,,,
Apollo Cons,AOP,0.008,0.009,0.009,,,,,,,,
Aurora Sandringham ,AOD,1.005,1.02,1.02,,,,,,,,
Aust Oil Co opt dec11,AOCOA,0.012,0.015,0.015,,,,,,,,
Elders Ltd,ELD,1.32,1.425,1.425,,,,,,,,
Energy And Min opt jul11,EMAO,0.038,0.044,0.042,,,,,,,,
Ferrum Crescent opt dec13,FCRO,0.01,0.011,0.011,,,,,,,,
Forest Enterprises,FEA,0.06,0.064,0.064,,,,,,,,
Gascoyne Res Ltd,GCY,0.12,0.14,0.14,,,,,,,,
Geodynamics Ltd,GDY,0.78,0.8,0.8,,,,,,,,
Hawthorn Res,HAW,0.006,0.007,0.007,,,,,,,,
iShares Glb Telco cdi 1:1,IXP,57.9,58.28,58.28,,,,,,,,
LBT Innovations optjun13c,LBTOA,0.02,0.025,0.025,,,,,,,,
Luiri Gold Ltd cdi 1:1,LGM,0.325,0.355,0.33,,,,,,,,
Minemakers Ltd opt may10,MAKO,0.024,0.028,0.028,,,,,,,,
Nexus Energy Ltd,NXS,0.225,0.265,0.265,,,,,,,,
Oilex Ltd,OEX,0.1,0.105,0.105,,,,,,,,
Orion Pet Ltd opt sep10,OIPO,0.003,0.004,0.004,,,,,,,,
Powerlan Ltd rts 08feb,PWRR,0.001,0.003,0.003,,,,,,,,
Raisama Ltd,RAI,0.4,0.43,0.43,,,,,,,,
Strategic Min,SMC,0.018,0.02,0.02,,,,,,,,
Sumatra Copper cdi 1:1,SUM,0.21,0.24,0.235,,,,,,,,
Tatts Grp Ltd,TTS,2.28,2.3,2.3,,,,,,,,
Torrens Energy opt mar10,TEYO,0.01,0.03,0.025,,,,,,,,
