Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 5011.6 at 16:37 12/4/2010  Report at 19:05 Monday 12/4/2010. Processed 21:06 Monday 12/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Air New Zealand,AIZ,1.145,1.11,1.035,,,,,,,,
Altera Res Ltd,AEA,0.33,0.31,0.26,,,,,,,,
  opt jan12,AEAO,0.12,0.08,0.08,,,,,,,,
Anvil Min cdi,AVM,4.45,4.3,4.43,,,,,,,,
Apollo Gas Ltd,AZO,0.8,0.725,0.575,,,,,,,,
Aspire Min Ltd,AKM,0.145,0.13,0.115,,,,,,,,
Atlas Iron Ltd,AGO,3,2.93,2.55,,,,,,,,
Augustus Min,AUJ,0.45,0.41,0.37,,,,,,,,
Aura Energy,AEE,0.33,0.295,0.25,,,,,,,,
Aurox Res,AXO,0.96,0.93,0.81,,,,,,,,
  7%cnjun10,AXOG,0.96,0.955,0.95,,,,,,,,
Aust Power,APK,0.47,0.44,0.44,,,,,,,,
Austin Engineer,ANG,3.6,3.5,3.26,,,,,,,,
Azumah Res,AZM,0.53,0.5,0.39,,,,,,,,
BC Iron Ltd,BCI,2.05,1.93,1.65,,,,,,,,
Berkeley Res,BKY,1.54,1.49,1.37,,,,,,,,
Blackmores Ltd,BKL,23.6,23.25,22.35,,,,,,,,
Bradken Ltd,BKN,8.14,7.95,7.97,,,,,,,,
Bunnings Warehouse unt,BWP,2,1.98,1.975,,,,,,,,
Burey Gold Ltd,BYR,0.075,0.062,0.064,,,,,,,,
Burleson Energy opt aug10,BURO,0.018,0.017,0.015,,,,,,,,
Capitol Health,CAJ,0.065,0.053,0.055,,,,,,,,
Carbine Res,CRB,0.385,0.37,0.32,,,,,,,,
Cazaly Res,CAZ,0.56,0.545,0.49,,,,,,,,
  opt feb11,CAZO,0.35,0.315,0.285,,,,,,,,
CBH Res Ltd 7.25%cn12,CBHGA,880,850,855,,,,,,,,
Chesser Res,CHZ,0.3,0.295,0.21,,,,,,,,
Coalspur Mines,CPL,0.615,0.585,0.54,,,,,,,,
  opt jun11,CPLO,0.52,0.48,0.45,,,,,,,,
Coalworks Ltd,CWK,0.565,0.5,0.37,,,,,,,,
Cochlear Ltd,COH,75.63,74.36,73.9,,,,,,,,
Cockatoo Coal,COK,0.605,0.495,0.395,,,,,,,,
C'wlth Bank  of Aust  perls v,CBAPA,210.49,209.9,209.5,,,,,,,,
Cooper Energy Ltd,COE,0.58,0.575,0.57,,,,,,,,
Cortona Res,CRC,0.28,0.155,0.15,,,,,,,,
  opt jan12,CRCO,0.12,0.078,0.08,,,,,,,,
CTI Logistics,CLX,1.14,1.135,0.94,,,,,,,,
Dyesol Ltd,DYE,1.3,1.18,1.07,,,,,,,,
ETFS Metals etfs pd,ETPMPD,55.92,54.3,52.56,,,,,,,,
  etfs pm,ETPMPM,104.34,101.67,101.5,,,,,,,,
Falcon Min Ltd,FCN,0.32,0.305,0.255,,,,,,,,
FFI Hldgs,FFI,4.4,4.3,4.2,,,,,,,,
Finbar Grp Ltd,FRI,1.24,1.12,1.13,,,,,,,,
Fleetwood Corp,FWD,9.67,9.5,9.1,,,,,,,,
Gazal Corp,GZL,1.575,1.43,1.45,,,,,,,,
Gindalbie Metals,GBG,1.405,1.39,1.28,,,,,,,,
Gryphon Min Ltd,GRY,0.78,0.76,0.585,,,,,,,,
Halcyon Sec hlcnte10,HLCHA,98.5,98.25,98.2,,,,,,,,
Hazelwood Res,HAZ,0.275,0.24,0.24,,,,,,,,
Hemisphere Res,HEM,0.86,0.75,0.81,,,,,,,,
Hunnu Coal Ltd,HUN,0.68,0.54,0.6,,,,,,,,
Iluka Res,ILU,5.04,4.94,4.52,,,,,,,,
IOOF Hldgs Ltd,IFL,7.24,7.16,7.11,,,,,,,,
Ironclad Min,IFE,1.66,1.57,1.5,,,,,,,,
iShares MSCI SKorea  1:1,IKO,57.2,56.66,54.58,,,,,,,,
Kingsrose Min Ltd opt dec12,KRMO,0.6,0.58,0.58,,,,,,,,
Konekt Ltd,KKT,0.21,0.18,0.155,,,,,,,,
Macarthur Coal,MCC,17.17,16.03,14.5,,,,,,,,
Midas Res,MDS,0.12,0.088,0.08,,,,,,,,
  opt may11,MDSOB,0.03,0.02,0.015,,,,,,,,
  opt nov12,MDSOC,0.074,0.05,0.044,,,,,,,,
Mineral Res,MIN,7.85,7.84,7.47,,,,,,,,
Mount Gibson Iron,MGX,2.09,2.03,1.985,,,,,,,,
Murchison Metals,MMX,2.95,2.76,2.79,,,,,,,,
New Hope Corp,NHC,5.5,5.4,5.24,,,,,,,,
News Corp b voting,NWS,19.21,18.99,18.97,,,,,,,,
  a nonvote,NWSLV,16.49,16.04,16.13,,,,,,,,
Nexus Bonds Ltd nexus4,NXBHD,62.5,61,61,,,,,,,,
Northern Energy,NEC,1.665,1.6,1.33,,,,,,,,
Nucoal Res NL,NCR,0.35,0.325,0.27,,,,,,,,
Nyota Min Ltd,NYO,0.25,0.2,0.2,,,,,,,,
Oohmedia Grp Ltd,OOH,0.135,0.13,0.115,,,,,,,,
Orocobre Ltd,ORE,2.64,2.62,2.392,,,,,,,,
Overseas & Gen cdi,OGL,0.155,0.135,0.11,,,,,,,,
Pac Niugini Ltd,PNR,0.175,0.17,0.17,,,,,,,,
PaperlinX Ltd,PPX,0.775,0.715,0.72,,,,,,,,
Paragon Care Ltd,PGC,0.039,0.038,0.035,,,,,,,,
PharmAust Ltd,PAA,0.086,0.085,0.053,,,,,,,,
