Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4650.0 at 16:38 16/9/2010  Report at 19:05 Thursday 16/9/2010. Processed 19:42 Thursday 16/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
AGL Energy Ltd,AGK,16.07,15.7,15.6,,,,,,,,
Aurora Oil & Gas,AUT,1.25,1.1,1.17,,,,,,,,
Austin Engineer,ANG,4.1,3.98,3.69,,,,,,,,
Auzex Res,AZX,0.34,0.295,0.25,,,,,,,,
  opt feb12,AZXOA,0.155,0.13,-,,,,,,,,
Bank of Qld reset prf,BOQPA,104.51,103.95,102.91,,,,,,,,
Blackmores Ltd,BKL,26.6,26.3,24.92,,,,,,,,
Cedar Woods Prop,CWP,2.88,2.75,2.71,,,,,,,,
CGA Min Ltd,CGX,2.8,2.51,2.3,,,,,,,,
Coca-Cola Amatil,CCL,12.27,12.22,12,,,,,,,,
Dampier Gold Ltd,DAU,0.615,0.575,0.61,,,,,,,,
Dart Energy Ltd,DTE,1.05,0.915,0.84,,,,,,,,
Data#3 Ltd,DTL,10,9.65,9.23,,,,,,,,
Elemental Min,ELM,0.58,0.47,0.45,,,,,,,,
  opt jan12,ELMO,0.4,0.25,0.25,,,,,,,,
Emeco Hldgs,EHL,1.1,0.865,0.8,,,,,,,,
Equatorial Res,EQX,0.83,0.66,0.5,,,,,,,,
European Gas,EPG,0.35,0.295,0.25,,,,,,,,
Fleetwood Corp,FWD,10.39,10.2,10.13,,,,,,,,
Gale Pacific Ltd,GAP,0.25,0.24,0.23,,,,,,,,
Global Prop,GPB,1.7,1.395,1.5,,,,,,,,
Gryphon Min Ltd,GRY,1.355,1.18,0.97,,,,,,,,
Guildford Coal,GUF,0.395,0.355,0.345,,,,,,,,
Healthscope Ltd,HSP,6.23,6.16,6.2,,,,,,,,
Ideas Intl,IDE,0.69,0.62,0.57,,,,,,,,
iShares MSCI HK,IHK,18.45,18.41,18.23,,,,,,,,
Kingsgate Cons,KCN,11.68,11.5,10.22,,,,,,,,
Lynas Corp,LYC,1.395,1.275,1.05,,,,,,,,
Macarthurcook Ind Pr unt,MIF,0.425,0.42,0.415,,,,,,,,
Macq Atlas Roads stp,MQA,1.475,1.445,1.335,,,,,,,,
Macq Radio,MRN,0.99,0.95,0.81,,,,,,,,
Mako Energy Ltd,MKE,0.24,0.22,0.22,,,,,,,,
Medic Vision Ltd,MVH,0.083,0.075,0.064,,,,,,,,
Mosaic Oil NL,MOS,0.165,0.16,0.155,,,,,,,,
Myer Hldgs Ltd,MYR,4,3.92,3.81,,,,,,,,
Newcrest Min,NCM,40.26,39.82,37.25,,,,,,,,
  def x lgl,NCMN,40.28,39.8,36.7,,,,,,,,
Nexus Bonds Ltd nexus4,NXBHD,66,65.5,65.5,,,,,,,,
Noble Min Res opt jul11,NMGO,0.095,0.065,0.045,,,,,,,,
North Queensland,NQM,0.4,0.345,0.335,,,,,,,,
Northern Star,NST,0.18,0.12,0.11,,,,,,,,
Orion Metals Ltd,ORM,0.3,0.15,0.06,,,,,,,,
  opt feb11,ORMO,0.15,0.045,0.01,,,,,,,,
OZ Minerals,OZL,1.49,1.425,1.275,,,,,,,,
Prosperity Res,PSP,0.245,0.22,0.15,,,,,,,,
Provet Hldgs Ltd,PVT,1.65,1.52,1.45,,,,,,,,
Renaissance Min,RNS,0.28,0.205,0.215,,,,,,,,
Resolute Min,RSG,1.31,1.235,0.92,,,,,,,,
  12% cn12,RSGG,1.34,1.21,0.9,,,,,,,,
Resource Generation,RES,0.75,0.59,0.715,,,,,,,,
Silver Mines Ltd,SVL,0.195,0.17,0.17,,,,,,,,
Tawana Res NL,TAW,0.039,0.028,0.022,,,,,,,,
Technology One,TNE,0.945,0.89,0.895,,,,,,,,
The Reject Shop,TRS,17.75,17.25,16.95,,,,,,,,
Western Areas NL,WSA,5.86,5.73,5.28,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Allied Brands Ltd,ABQ,0.018,0.027,0.027,,,,,,,,
ASK Funding Ltd,AKF,0.14,0.2,0.21,,,,,,,,
Austex Oil Ltd opt dec11,AOKO,0.02,0.028,0.025,,,,,,,,
Boss Energy Ltd,BOE,0.027,0.03,0.03,,,,,,,,
Centrex Metals,CXM,0.35,0.36,0.355,,,,,,,,
Challenger Winetr unt,CWT,0.15,0.165,0.17,,,,,,,,
Cyclopharm Ltd,CYC,0.065,0.07,0.071,,,,,,,,
Digislide Hldgs,DGI,0.12,0.13,0.14,,,,,,,,
ECO Quest opt mar11,ECQO,0.005,0.01,0.01,,,,,,,,
Emergent Res,EMG,0.23,0.245,0.27,,,,,,,,
Greater Bendigo Gold opt mar12,GBMOA,0.006,0.007,0.007,,,,,,,,
Island Sky Aust,ISK,0.019,0.02,0.022,,,,,,,,
Meridian Min opt feb11,MIIO,0.002,0.005,0.005,,,,,,,,
Panorama Synergy,PSY,0.091,0.11,0.1,,,,,,,,
Patrys Ltd,PAB,0.075,0.085,0.091,,,,,,,,
Phylogica Ltd,PYC,0.051,0.054,0.056,,,,,,,,
