Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4299.7 at 16:36 6/7/2010  Report at 19:05 Tuesday 6/7/2010. Processed 19:29 Tuesday 6/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Austral Africa Res def,AAFDA,0.13,0.12,-,,,,,,,,
CBH Res Ltd,CBH,0.245,0.24,0.24,,,,,,,,
Erongo Energy opt jun13,ERNO,0.031,0.03,0.03,,,,,,,,
FFI Hldgs,FFI,5.1,4.8,4.5,,,,,,,,
Ideas Intl,IDE,0.45,0.44,0.44,,,,,,,,
Lonrho Min Ltd opt nov10,LOMOA,0.011,0.008,0.008,,,,,,,,
MDS Financial Grp,MWS,0.034,0.032,0.03,,,,,,,,
Nexus Bonds Ltd nexus4,NXBHD,63,62.5,62.5,,,,,,,,
Symex Hldgs,SYM,0.57,0.555,0.56,,,,,,,,
Viagold Capital,VIA,0.5,0.46,0.45,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Abra Min Ltd,AII,0.086,0.095,0.095,,,,,,,,
Aii200financials etf unt,FIN,4.18,4.24,4.24,,,,,,,,
Alesco Corp,ALS,2.25,2.3,2.31,,,,,,,,
ASX Ltd,ASX,28.14,28.3,28.79,,,,,,,,
Aurora Sandringham ,AOD,0.965,0.975,0.98,,,,,,,,
Bauxite Resource,BAU,0.14,0.145,0.145,,,,,,,,
Biota Hldgs,BTA,0.87,0.92,1.01,,,,,,,,
Century Aust,CYA,0.74,0.755,0.755,,,,,,,,
Cougar Energy,CXY,0.072,0.073,0.08,,,,,,,,
iShares Global 100,IOO,59.89,59.96,60,,,,,,,,
Key Pet,KEY,0.054,0.055,0.061,,,,,,,,
Macq Grp Ltd,MQG,35.01,35.7,36.31,,,,,,,,
Mint Wireless,MNW,0.02,0.021,0.021,,,,,,,,
NZ Oil & Gas ,NZO,0.96,0.98,1,,,,,,,,
Oldfields Hldgs,OLH,0.08,0.085,0.085,,,,,,,,
Paladin Energy,PDN,3.37,3.42,3.52,,,,,,,,
Panax Geothermal,PAX,0.058,0.076,0.076,,,,,,,,
Penrice Soda,PSH,0.3,0.31,0.31,,,,,,,,
Prairie Downs Metals,PDZ,0.09,0.1,0.1,,,,,,,,
QBE Insurance Grp,QBE,17.11,17.53,17.91,,,,,,,,
Renaissance Min,RNS,0.18,0.19,0.19,,,,,,,,
Republic Gold Ltd,RAU,0.011,0.012,0.012,,,,,,,,
Rimfire Pacific,RIM,0.009,0.01,0.01,,,,,,,,
Scandinavian Res opt oct11,SCRO,0.012,0.026,0.026,,,,,,,,
Seven Grp Hldgs pref,SVWPA,75.2,76,76,,,,,,,,
Sims Metal Mgmt,SGM,15.72,16.25,16.34,,,,,,,,
Sino Gas Energy opt dec12,SEHOC,0.003,0.004,0.004,,,,,,,,
Sth American Cor,SAY,0.03,0.037,0.035,,,,,,,,
Terrain Min,TMX,0.024,0.025,0.025,,,,,,,,
Transfield Serv Infr stp,TSI,0.59,0.615,0.615,,,,,,,,
Transpacific Indust,TPI,0.92,0.95,0.95,,,,,,,,
Vision Grp Hldgs,VGH,0.15,0.175,0.205,,,,,,,,
WDS Ltd,WDS,0.315,0.34,0.345,,,,,,,,
WorleyParsons Ltd,WOR,20.21,20.8,21.36,,,,,,,,
