Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4429.5 at 16:36 12/7/2010  Report at 19:05 Monday 12/7/2010. Processed 19:34 Monday 12/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adelaide Brighton,ABC,3.15,3.11,2.86,,,,,,,,
Advanced Share,ASW,0.695,0.54,0.51,,,,,,,,
Amcbf Two,AKT,102.69,101.94,101.94,,,,,,,,
ASG Grp Ltd,ASZ,1.54,1.465,1.475,,,,,,,,
Cardno Ltd rts26juld,CDDR,0.55,0.535,-,,,,,,,,
Cordlife Ltd rts 12jul,CBBR,0.005,0.004,-,,,,,,,,
CVC Ltd,CVC,0.835,0.825,0.82,,,,,,,,
Equinox Min Ltd cdi,EQN,4.87,4.66,4.63,,,,,,,,
European Nickel cdi,ENK,0.4,0.3,0.3,,,,,,,,
GoConnect Ltd,GCN,0.03,0.029,0.029,,,,,,,,
Iluka Res,ILU,5.38,5.15,5.14,,,,,,,,
Intec Ltd def,INLDA,0.03,0.004,-,,,,,,,,
Mitchell Comms,MCU,1.04,1.01,0.97,,,,,,,,
Oohmedia Grp Ltd,OOH,0.17,0.16,0.165,,,,,,,,
Range Res Ltd,RRS,0.115,0.094,0.086,,,,,,,,
  opt dec11,RRSO,0.057,0.041,0.035,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Amcbf Two,AKT,101,101.94,101.94,,,,,,,,
Aristocrat Leisure,ALL,3.49,3.55,3.55,,,,,,,,
Belmont Hldgs,BET,1,1.15,1.15,,,,,,,,
Challenger Infra stp,CIF,1.28,1.285,1.285,,,,,,,,
Dominion Min,DOM,2.29,2.42,2.63,,,,,,,,
Enerji Ltd,ERJ,0.027,0.029,0.031,,,,,,,,
Golden Cross opt mar11,GCRO,0.001,0.002,0.002,,,,,,,,
Jacka Res Ltd,JKA,0.18,0.2,-,,,,,,,,
Mithril Res opt sep11,MTHO,0.035,0.042,0.042,,,,,,,,
Norton Gold Fields opt oct10,NGFO,0.021,0.035,0.034,,,,,,,,
Sino Strategic Intl,SSI,0.2,0.235,0.23,,,,,,,,
Staging Connections,STG,0.02,0.021,0.021,,,,,,,,
Sthn Gold,SAU,0.077,0.078,0.078,,,,,,,,
YTC Res,YTC,0.165,0.17,0.19,,,,,,,,
