Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4400.0 at 16:36 13/7/2010  Report at 19:05 Tuesday 13/7/2010. Processed 20:55 Tuesday 13/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
1300 Smiles Ltd,ONT,3.21,3.15,3.2,,,,,,,,
ASG Grp Ltd,ASZ,1.545,1.465,1.475,,,,,,,,
Austral Africa Res def,AAFDA,0.15,0.13,-,,,,,,,,
CVC Ltd,CVC,0.84,0.825,0.82,,,,,,,,
GPT Grp stp,GPT,3.01,2.93,2.99,,,,,,,,
Grand Gulf Energy,GGE,0.018,0.016,0.014,,,,,,,,
Ideas Intl,IDE,0.47,0.45,0.44,,,,,,,,
Iluka Res,ILU,5.4,5.15,5.14,,,,,,,,
Range Res Ltd,RRS,0.12,0.094,0.086,,,,,,,,
  opt dec11,RRSO,0.065,0.041,0.035,,,,,,,,
Royal Res opt oct13,ROYOA,0.091,0.08,0.072,,,,,,,,
Samson Oil & Gas,SSN,0.059,0.052,0.044,,,,,,,,
  opt dec12,SSNO,0.044,0.036,0.029,,,,,,,,
Sundance Energy,SEA,0.215,0.21,0.185,,,,,,,,
Talga Gold Ltd,TLG,0.24,0.22,-,,,,,,,,
Trafalgar Corp stp,TGP,0.88,0.86,0.85,,,,,,,,
Viagold Capital,VIA,0.65,0.6,0.45,,,,,,,,
XState Res,XST,0.35,0.1,0.1,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Aristocrat Leisure,ALL,3.41,3.55,3.55,,,,,,,,
AXG Min Ltd,AXC,0.012,0.014,0.014,,,,,,,,
Biotron Ltd opt dec11,BITO,0.01,0.011,0.013,,,,,,,,
Black Range Min,BLR,0.022,0.023,0.023,,,,,,,,
Brambles Ltd,BXB,5.24,5.31,5.36,,,,,,,,
Cabcharge Aust,CAB,4.66,4.81,4.96,,,,,,,,
Charter Pacific,CHF,0.037,0.04,0.04,,,,,,,,
Clancy Explore,CLY,0.11,0.13,0.13,,,,,,,,
Cool or Cosy Ltd,COS,0.04,0.065,0.065,,,,,,,,
Coonawarra Aust unt,CNR,0.07,0.079,0.079,,,,,,,,
Dominion Min,DOM,2.21,2.42,2.63,,,,,,,,
Enterprise Metals,ENT,0.13,0.145,0.15,,,,,,,,
Fission Energy,FIS,0.073,0.08,0.078,,,,,,,,
Golden State Res opt nov10,GDNOA,0.002,0.003,0.003,,,,,,,,
Hexima Ltd,HXL,0.19,0.21,0.2,,,,,,,,
Hill End Gold,HEG,0.092,0.094,0.095,,,,,,,,
Ironclad Min rts 22jul,IFER,0.031,0.05,0.05,,,,,,,,
New Age Exploration opt mar12,NAEO,0.016,0.02,0.02,,,,,,,,
NT Res Ltd,NTR,0.15,0.19,0.16,,,,,,,,
Prairie Downs Metals,PDZ,0.087,0.09,0.1,,,,,,,,
Progen Pharmaceutic,PGL,0.35,0.38,0.38,,,,,,,,
Sirius Corp Ltd,SIU,0.03,0.04,0.04,,,,,,,,
Sthn Gold,SAU,0.076,0.078,0.078,,,,,,,,
Triausmin Ltd,TRO,0.059,0.069,0.069,,,,,,,,
West Wits Min Ltd,WWI,0.047,0.05,0.051,,,,,,,,
