Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4816.1 at 16:36 29/4/2010  Report at 19:05 Thursday 29/4/2010. Processed 19:07 Thursday 29/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Augur Res Ltd,AUK,0.25,0.2,0.19,,,,,,,,
  opt jun10,AUKO,0.045,0.025,0.03,,,,,,,,
Carpentaria Exp,CAP,0.685,0.63,0.165,,,,,,,,
  opt jun10,CAPO,0.32,0.22,0.014,,,,,,,,
Centro Retail stp,CER,0.265,0.23,0.18,,,,,,,,
Challenger Div Pro stp,CDI,0.58,0.535,0.56,,,,,,,,
Chesser Res,CHZ,0.38,0.35,0.21,,,,,,,,
CSG Ltd,CSV,2.3,2.16,2.05,,,,,,,,
Latrobe Magnesium,LMG,0.02,0.019,0.018,,,,,,,,
Midas Res,MDS,0.165,0.135,0.08,,,,,,,,
  opt may11,MDSOB,0.09,0.04,0.015,,,,,,,,
Midwinter Resourc,MWN,0.17,0.135,0.135,,,,,,,,
MobileActive Ltd,MBA,0.062,0.033,0.018,,,,,,,,
Nkwe Platinum opt aug11,NKPO,0.425,0.345,0.315,,,,,,,,
SAI Global Ltd,SAI,4.53,4.34,4,,,,,,,,
Sierra Min,SRM,0.125,0.12,0.05,,,,,,,,
Westpac Office Tr unt,WOT,0.85,0.825,0.78,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Allied Brands Ltd,ABQ,0.093,0.1,0.115,,,,,,,,
AMP Capital China unt,AGF,0.76,0.83,0.845,,,,,,,,
Aust Leaders opt nov10,ALFO,0.03,0.031,0.031,,,,,,,,
Becton Prop Grp stp,BEC,0.072,0.074,0.08,,,,,,,,
Carnarvon Pet,CVN,0.415,0.45,0.435,,,,,,,,
Elders Ltd,ELD,1.18,1.245,1.255,,,,,,,,
Eldore Min opt dec12,EDMOA,0.006,0.007,-,,,,,,,,
Energia Min Ltd,EMX,0.1,0.11,0.11,,,,,,,,
Energy And Min,EMA,0.175,0.21,0.2,,,,,,,,
Energy Res,ERA,15.33,16.71,17.66,,,,,,,,
Envirogold Ltd opt dec11,EVGO,0.009,0.012,0.012,,,,,,,,
Excalibur Min,EXM,0.008,0.01,0.01,,,,,,,,
Geodynamics Ltd,GDY,0.555,0.62,0.575,,,,,,,,
Green Rock Energy,GRK,0.027,0.03,0.031,,,,,,,,
Helix Res opt may11,HLXOA,0.018,0.03,0.024,,,,,,,,
Hexima Ltd,HXL,0.29,0.32,0.39,,,,,,,,
Hill End Gold,HEG,0.125,0.135,0.15,,,,,,,,
Miclyn Exp Offshr,MIO,1.66,1.73,1.75,,,,,,,,
Neptune Marine,NMS,0.335,0.395,0.41,,,,,,,,
  opt dec10,NMSO,0.16,0.22,0.22,,,,,,,,
Northern Uranium,NTU,0.092,0.097,0.11,,,,,,,,
Orbital Corp Ltd,OEC,0.038,0.04,0.039,,,,,,,,
Pac Environment,PEH,0.13,0.19,0.15,,,,,,,,
Penrice Soda,PSH,0.56,0.75,0.77,,,,,,,,
Pharmanet Grp opt jun11,PNOO,0.002,0.003,-,,,,,,,,
Po Valley Energy,PVE,0.35,0.73,1.22,,,,,,,,
Prime Retirement unt,PTN,0.074,0.084,0.09,,,,,,,,
Red Sky Energy opt sep11,ROGOA,0.008,0.009,0.009,,,,,,,,
Sumatra Copper cdi  1:1,SUM,0.175,0.2,0.19,,,,,,,,
Viterra Inc cdi  1:1,VTA,8.99,9.18,9.85,,,,,,,,
White Canyon Uranium,WCU,0.125,0.155,0.15,,,,,,,,
Yellow Rock,YRR,0.03,0.039,0.036,,,,,,,,
  opt sep12,YRROA,0.006,0.01,0.009,,,,,,,,
