Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4409.7 at 17:32 28/6/2010  Report at 19:05 Monday 28/6/2010. Processed 19:42 Monday 28/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Advanced Share,ASW,0.5,0.49,0.405,,,,,,,,
ADX Energy Ltd opt mar11,ADXO,0.09,0.08,-,,,,,,,,
Avoca Res,AVO,2.74,2.64,2.36,,,,,,,,
Buru Energy,BRU,0.41,0.4,0.345,,,,,,,,
Carnavale Res opt feb13,CAVO,0.195,0.185,0.17,,,,,,,,
Crusader Res,CAS,0.545,0.42,0.31,,,,,,,,
Dragon Min Ltd 10% cn11,DRAG,1.055,1.05,1.03,,,,,,,,
Gazal Corp,GZL,1.62,1.6,1.51,,,,,,,,
GoConnect Ltd,GCN,0.029,0.028,0.027,,,,,,,,
Lihir Gold Ltd,LGL,4.48,4.47,4.18,,,,,,,,
PharmAust Ltd,PAA,0.092,0.09,0.071,,,,,,,,
Redstone Res,RDS,0.265,0.21,0.09,,,,,,,,
Riviera Res,RVE,0.22,0.205,0.2,,,,,,,,
Royal Res opt oct13,ROYOA,0.072,0.07,-,,,,,,,,
Viagold Capital,VIA,0.42,0.4,0.36,,,,,,,,
Wattyl Ltd,WYL,1.62,1.27,1.31,,,,,,,,
Westpac Banking pref ii,WBCPB,115,107.29,108.5,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Acuvax Ltd,ACU,0.003,0.004,0.004,,,,,,,,
AED Oil Ltd,AED,0.475,0.49,0.485,,,,,,,,
Aii200finxareit etf unt,FIX,4.97,5.27,5.08,,,,,,,,
AMP Grp Finance frn apr19,AQNHA,106.1,107.1,107,,,,,,,,
APN European Retail stp,AEZ,0.027,0.028,0.03,,,,,,,,
Barra Res,BAR,0.052,0.054,0.065,,,,,,,,
Bauxite Resource,BAU,0.15,0.19,0.265,,,,,,,,
bioMD Ltd opt dec11,BODOA,0.003,0.004,0.006,,,,,,,,
Black Range Min,BLR,0.025,0.026,0.032,,,,,,,,
  opt feb11,BLRO,0.003,0.007,0.012,,,,,,,,
Bone Medical Ltd,BNE,0.08,0.11,0.12,,,,,,,,
Bowen Energy Ltd,BWN,0.05,0.058,0.052,,,,,,,,
Brambles Ltd,BXB,5.5,5.54,6.36,,,,,,,,
CEC Grp Ltd,CEG,0.05,0.065,0.085,,,,,,,,
Coffey Intl,COF,0.875,0.9,1.01,,,,,,,,
Contango Microcap,CTN,0.755,0.78,0.8,,,,,,,,
Copper Strike Ltd,CSE,0.06,0.065,0.072,,,,,,,,
Crane Grp Ltd,CRG,8.08,8.17,8.45,,,,,,,,
Cullen Res,CUL,0.035,0.036,0.037,,,,,,,,
Deep Yellow Ltd,DYL,0.13,0.135,0.145,,,,,,,,
EDT Retail Tr unt,EDT,0.048,0.049,0.049,,,,,,,,
Empire Res,ERL,0.041,0.043,0.045,,,,,,,,
ERO Min Ltd,ERO,0.015,0.016,0.022,,,,,,,,
EVZ Ltd,EVZ,0.063,0.067,0.085,,,,,,,,
Fantastic Hldgs,FAN,2.03,2.2,2.36,,,,,,,,
Fox Res,FXR,0.084,0.092,0.091,,,,,,,,
Frankland River,FLR,0.005,0.01,0.013,,,,,,,,
Galilee Energy,GLL,0.21,0.215,0.215,,,,,,,,
Geodynamics Ltd,GDY,0.35,0.36,0.43,,,,,,,,
Gleneagle Gold,GLN,0.013,0.016,0.019,,,,,,,,
Golden Cross,GCR,0.012,0.013,0.014,,,,,,,,
Goldminex Res,GMX,0.17,0.19,0.215,,,,,,,,
Gondwana Res,GDA,0.008,0.009,0.011,,,,,,,,
Greenvale Min NL opt dec11,GRVO,0.005,0.02,0.02,,,,,,,,
GTI Res,GTR,0.042,0.043,0.05,,,,,,,,
Gunson Res,GUN,0.058,0.07,0.065,,,,,,,,
Havilah Res NL,HAV,0.33,0.36,0.35,,,,,,,,
Hawthorn Res,HAW,0.004,0.005,0.006,,,,,,,,
Hexima Ltd,HXL,0.2,0.23,0.275,,,,,,,,
Hydrotech Inter,HTI,0.003,0.004,0.005,,,,,,,,
Innamincka Pet,INP,0.063,0.065,0.07,,,,,,,,
Investorfirst Ltd,INQ,0.052,0.057,0.07,,,,,,,,
iShares Global 100,IOO,60.34,61.1,61.5,,,,,,,,
Island Sky Aust,ISK,0.031,0.035,0.035,,,,,,,,
Jameson Res,JAL,0.04,0.044,0.044,,,,,,,,
Key Pet,KEY,0.064,0.07,0.082,,,,,,,,
Legacy Iron Ore opt dec12,LCYOA,0.036,0.037,0.065,,,,,,,,
Marathon Res,MTN,0.31,0.35,0.43,,,,,,,,
Marenica Energy,MEY,0.093,0.095,0.12,,,,,,,,
Maximus Res,MXR,0.012,0.013,0.016,,,,,,,,
Mindax Ltd opt dec11,MDXO,0.02,0.04,0.04,,,,,,,,
Mint Wireless,MNW,0.022,0.028,0.034,,,,,,,,
Mithril Res,MTH,0.115,0.125,0.125,,,,,,,,
Nufarm Ltd,NUF,5.04,5.31,5.63,,,,,,,,
Oceania Capital,OCP,1.56,1.575,2.4,,,,,,,,
Oncard Intl,ONC,0.093,0.096,0.095,,,,,,,,
Orbital Corp Ltd,OEC,0.025,0.026,0.03,,,,,,,,
Panax Geothermal,PAX,0.089,0.091,0.099,,,,,,,,
Penrice Soda,PSH,0.32,0.325,0.38,,,,,,,,
Petsec Energy,PSA,0.165,0.17,0.205,,,,,,,,
Poseidon Nick Ltd,POS,0.19,0.2,0.2,,,,,,,,
Primary Health Care,PRY,3.57,3.79,3.63,,,,,,,,
Pro Medicus Ltd   ,PME,0.46,0.47,0.545,,,,,,,,
Programmed Maint,PRG,2.41,2.44,2.5,,,,,,,,
Proto Resource &,PRW,0.014,0.015,0.023,,,,,,,,
Q Ltd,QXQ,0.045,0.046,0.047,,,,,,,,
QLD Min Corp opt may12,QMNO,0.02,0.026,0.023,,,,,,,,
