Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4866.9 at 16:34 17/3/2010  Report at 19:05 Wednesday 17/3/2010. Processed 19:19 Wednesday 17/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Ampella Min opt jul10,AMXO,0.89,0.82,0.82,,,,,,,,
Andean Res Ltd,AND,2.9,2.77,2.64,,,,,,,,
Augustus Min,AUJ,0.3,0.255,0.25,,,,,,,,
Bradken Ltd,BKN,7.71,7.47,6.95,,,,,,,,
CBH Res Ltd 7.25%cn12,CBHGA,850,780,780,,,,,,,,
China Century Capitl 12%  cn10,CCYG,0.95,0.9,0.825,,,,,,,,
Computershare Ltd,CPU,12.74,12.45,12.42,,,,,,,,
Corporate Express,CXP,5.71,4.58,4.46,,,,,,,,
Frontier Res,FNT,0.081,0.052,0.03,,,,,,,,
  opt dec10,FNTO,0.035,0.02,0.009,,,,,,,,
Gladiator Res,GLA,0.48,0.4,0.245,,,,,,,,
Heritage Bld Soc 10%3mth19,HBSHA,108,105.6,105.49,,,,,,,,
Indophil Res,IRN,1.265,1.26,1.26,,,,,,,,
IOOF Hldgs Ltd,IFL,6.84,6.69,6.19,,,,,,,,
Iron Ore Hldgs opt apr11,IOHO,1.64,1.6,1.45,,,,,,,,
Kresta Hldgs,KRS,0.43,0.41,0.385,,,,,,,,
Legacy Iron Ore opt jan12,LCYO,0.045,0.04,0.015,,,,,,,,
Lodestar Min,LSR,0.14,0.13,0.12,,,,,,,,
Lycopodium Ltd,LYL,3.74,3.58,3.18,,,,,,,,
Macarthurcook Ind Pr unt,MIF,0.325,0.305,0.265,,,,,,,,
Navitas Ltd,NVT,5.4,5.27,5.1,,,,,,,,
Newport Min Ltd,NMN,0.4,0.325,0.25,,,,,,,,
Nexus Bonds Ltd nexus4,NXBHD,60.5,59,60,,,,,,,,
OneSteel Ltd,OST,3.85,3.73,3.5,,,,,,,,
Paragon Care Ltd,PGC,0.034,0.031,0.033,,,,,,,,
Scott Corp,SCC,0.385,0.34,0.32,,,,,,,,
Seek Ltd,SEK,8.18,7.72,7.54,,,,,,,,
Skywest Airlines cdi  1:1,SXR,0.345,0.3,0.3,,,,,,,,
Taps Tr taps,TTXPA,100.15,100.049,99.749,,,,,,,,
The Reject Shop,TRS,16.41,16.29,16.17,,,,,,,,
Waratah Gold Ltd,WGO,0.25,0.2,0.175,,,,,,,,
Western Plains Res,WPG,0.85,0.8,0.685,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
BCD Res NL,BCD,0.089,0.1,0.1,,,,,,,,
CO2 Grp Ltd opt nov11,COZO,0.04,0.05,0.05,,,,,,,,
Desert Energy opt apr10,DSNO,0.004,0.01,0.009,,,,,,,,
Fairstar Res opt aug11,FASOA,0.012,0.015,0.014,,,,,,,,
Flat Glass Ind,FGI,0.205,0.23,0.25,,,,,,,,
Innamincka Pet,INP,0.098,0.11,0.12,,,,,,,,
Island Sky Aust,ISK,0.07,0.087,0.08,,,,,,,,
Luiri Gold Ltd cdi  1:1,LGM,0.29,0.3,0.3,,,,,,,,
Mnet Grp Ltd,MNZ,0.048,0.049,0.057,,,,,,,,
Northern Uranium rts 24mar,NTURA,0.014,0.017,-,,,,,,,,
Phosphate Aus Ltd,POZ,0.195,0.205,0.23,,,,,,,,
Progen Pharmaceutic,PGL,0.49,0.5,0.5,,,,,,,,
Ramelius Res opt jun10,RMSOC,0.002,0.012,0.012,,,,,,,,
Redbank Copper def,RCPDA,0.062,-,-,,,,,,,,
Sth American Cor,SAY,0.045,0.05,0.065,,,,,,,,
Telecom Corp,TEL,1.65,1.685,1.695,,,,,,,,
Thomas & Coffey,THO,0.42,0.47,0.445,,,,,,,,
Viridis Clean stp,VIR,0.135,0.15,0.155,,,,,,,,
World Wide Ent Grp,WWG,0.08,0.09,0.09,,,,,,,,
Xiaoxiao Education,XXL,0.195,0.2,0.245,,,,,,,,
