Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4731.0 at 16:37 23/2/2010  Report at 19:05 Tuesday 23/2/2010. Processed 19:22 Tuesday 23/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adelphi Energy,ADI,0.335,0.28,0.185,,,,,,,,
Ampella Min,AMX,1.04,0.95,0.765,,,,,,,,
  opt jul10,AMXO,0.82,0.7,0.595,,,,,,,,
Buxton Res Ltd,BUX,0.1,0.09,0.09,,,,,,,,
Chandler Macleod,CMG,0.3,0.285,0.25,,,,,,,,
Clover Corp,CLV,0.32,0.315,0.31,,,,,,,,
Eureka Energy Ltd,EKA,0.17,0.145,0.135,,,,,,,,
FFI Hldgs,FFI,4.2,4.1,3.9,,,,,,,,
Finbar Grp Ltd,FRI,1.08,1.07,1.04,,,,,,,,
GUD Hldgs,GUD,9.88,9.39,9.6,,,,,,,,
Hills Ind Ltd,HIL,2.53,2.43,2.19,,,,,,,,
Kresta Hldgs,KRS,0.385,0.34,0.33,,,,,,,,
Little World Bev,LWB,2.3,2.17,2.19,,,,,,,,
Marbletrend Grp,MBD,0.095,0.085,0.072,,,,,,,,
Nuplex Ind fpo nz,NPX,2.7,2.58,2.67,,,,,,,,
Quickflix Ltd,QFX,0.085,0.072,0.069,,,,,,,,
Regis Res,RRL,0.89,0.8,0.8,,,,,,,,
Silver Chef Ltd,SIV,1.93,1.77,1.6,,,,,,,,
SMS Management,SMX,6.51,6.5,6.29,,,,,,,,
Trojan Equity,TJN,0.47,0.45,0.465,,,,,,,,
Virax Hldgs,VHL,0.13,0.11,0.076,,,,,,,,
  cn dec11,VHLG,0.23,0.2,0.14,,,,,,,,
Western Plains Res,WPG,0.685,0.6,0.53,,,,,,,,
Wilson Htm Invest,WIG,2.26,2.15,2.05,,,,,,,,
Wotif Com Hldgs,WTF,7.56,7.21,7.45,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Arafura Pearls,APB,0.022,0.029,0.027,,,,,,,,
Carnegie Wave Energy,CWE,0.11,0.12,0.13,,,,,,,,
Circadian Tech,CIR,0.56,0.57,0.65,,,,,,,,
Clean Seas Tuna,CSS,0.23,0.24,0.26,,,,,,,,
Devine Ltd,DVN,0.355,0.395,0.395,,,,,,,,
Eromanga Hydro,ERH,0.093,0.096,0.11,,,,,,,,
Forest Enterprises,FEA,0.043,0.045,0.064,,,,,,,,
Gascoyne Res Ltd,GCY,0.105,0.13,0.14,,,,,,,,
Intl Equities,IEQ,0.033,0.05,0.04,,,,,,,,
Laserbond Ltd,LBL,0.071,0.086,0.091,,,,,,,,
Midwinter Resourc opt nov11,MWNOA,0.03,0.04,0.04,,,,,,,,
Minemakers Ltd opt may10,MAKO,0.017,0.02,0.028,,,,,,,,
Odin Energy Ltd,ODN,0.017,0.021,0.022,,,,,,,,
Range River Gold rts11mard,RNGR,0.001,0.002,-,,,,,,,,
Red Sky Energy opt sep11,ROGOA,0.01,0.014,0.016,,,,,,,,
Telecom Corp fpo nz,TEL,1.735,1.79,1.855,,,,,,,,
Yellow Rock opt sep12,YRROA,0.015,0.022,0.02,,,,,,,,
