Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4547.0 at 16:38 17/6/2010  Report at 19:05 Thursday 17/6/2010. Processed 22:34 Thursday 17/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
ARB Corp,ARP,6.4,5.96,6.19,,,,,,,,
GPT Grp stp,GPT,2.99,2.89,2.84,,,,,,,,
Heartware Int Inc cdi,HIN,2.25,2.1,1.925,,,,,,,,
India Equities Fund,INE,0.62,0.61,0.605,,,,,,,,
Kingsrose Min Ltd,KRM,0.91,0.825,0.9,,,,,,,,
Korab Res,KOR,0.475,0.43,0.45,,,,,,,,
Lihir Gold Ltd,LGL,4.28,4.22,4.18,,,,,,,,
McMillan Shakespeare,MMS,5,4.63,4.62,,,,,,,,
Ramsay Health Care,RHC,15.24,14.79,14.67,,,,,,,,
Riversdale Min,RIV,10.82,10.39,9.56,,,,,,,,
West African Res,WAF,0.255,0.245,-,,,,,,,,
White Energy Co,WEC,3.83,3.7,3.48,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Alcyone Res Ltd,AYN,0.02,0.022,0.022,,,,,,,,
Alkane Res Ltd,ALK,0.245,0.26,0.26,,,,,,,,
Aust Oil Co opt dec11,AOCOA,0.01,0.019,0.019,,,,,,,,
Biotron Ltd opt dec11,BITO,0.015,0.017,0.016,,,,,,,,
Buderim Ginger,BUG,0.24,0.25,0.26,,,,,,,,
Byte Power Grp,BPG,0.003,0.004,0.004,,,,,,,,
Central Asia Res,CVR,0.028,0.03,0.033,,,,,,,,
China Yunnan Copper,CYU,0.13,0.145,0.15,,,,,,,,
Dourado Res Ltd,DUO,0.15,0.17,0.175,,,,,,,,
Downer EDI Ltd,DOW,4.11,4.44,5.98,,,,,,,,
East Coast Min,ECM,0.016,0.027,0.026,,,,,,,,
Energy And Min opt jul11,EMAO,0.02,0.03,0.029,,,,,,,,
Engin Ltd,ENG,0.3,0.35,0.5,,,,,,,,
Enterprise Metals opt jun12,ENTO,0.03,0.05,0.05,,,,,,,,
ERO Min Ltd,ERO,0.019,0.021,0.022,,,,,,,,
Golden Cross,GCR,0.013,0.014,0.014,,,,,,,,
Green Rock Energy,GRK,0.014,0.018,0.016,,,,,,,,
Hawthorn Res opt feb13,HAWOB,0.001,0.002,0.003,,,,,,,,
IDT Aust Ltd,IDT,0.63,0.65,0.64,,,,,,,,
ING Real Est Ente unt,IEF,0.09,0.091,0.1,,,,,,,,
Innamincka Pet,INP,0.066,0.071,0.07,,,,,,,,
Key Pet,KEY,0.075,0.076,0.082,,,,,,,,
Malagasy Min,MGY,0.029,0.033,0.03,,,,,,,,
Manas Res Ltd opt sep11,MSRO,0.013,0.02,0.015,,,,,,,,
Maximus Res,MXR,0.013,0.016,0.016,,,,,,,,
Medical Aus Ltd,MLA,0.012,0.016,0.019,,,,,,,,
Northern Uranium,NTU,0.067,0.072,0.071,,,,,,,,
Oceania Capital,OCP,1.6,1.75,2.4,,,,,,,,
Oilex Ltd,OEX,0.08,0.082,0.085,,,,,,,,
Pac Energy,PEA,0.19,0.25,0.27,,,,,,,,
Pearl Healthcare,PHL,0.06,0.07,0.065,,,,,,,,
PharmAust Ltd opt mar12,PAAO,0.01,0.012,0.011,,,,,,,,
Proto Resource &,PRW,0.019,0.023,0.023,,,,,,,,
Redbank Copper,RCP,0.025,0.03,0.029,,,,,,,,
Rivercity Motorway stp,RCY,0.027,0.034,0.045,,,,,,,,
Stirling Res,SRE,0.085,0.093,0.095,,,,,,,,
  opt jun12,SREOB,0.019,0.025,0.025,,,,,,,,
Synergy Plus Ltd,SNR,0.025,0.026,0.034,,,,,,,,
Telesso Tech Ltd,TEO,0.011,0.031,0.032,,,,,,,,
Trinity Grp stp,TCQ,0.06,0.07,0.069,,,,,,,,
Vector Res Ltd,VEC,0.052,0.063,0.059,,,,,,,,
Viking Ash,VKA,0.24,0.265,0.25,,,,,,,,
West Wits Min Ltd,WWI,0.051,0.057,0.057,,,,,,,,
Westralian Gas & Pwr opt oct11,WGPOA,0.002,0.003,0.003,,,,,,,,
Xanadu Res Ltd,XNU,0.03,0.08,0.064,,,,,,,,
