Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4402.6 at 16:39 9/6/2010  Report at 19:05 Wednesday 9/6/2010. Processed 19:18 Wednesday 9/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Aurora Oil & Gas,AUT,0.88,0.875,0.83,,,,,,,,
Austex Oil Ltd opt dec11,AOKO,0.04,0.038,0.034,,,,,,,,
Benitec Ltd opt apr14,BLTO,0.037,0.013,0.014,,,,,,,,
Ecsi Ltd,ECS,0.028,0.019,0.018,,,,,,,,
Global Nickel Invest ctg,GNICA,0.016,-,-,,,,,,,,
HFA Accelerator Plus,HAP,0.34,0.31,0.33,,,,,,,,
Lodestar Min,LSR,0.175,0.085,0.11,,,,,,,,
MDS Financial Grp,MWS,0.03,0.024,0.026,,,,,,,,
Melbourne IT Ltd,MLB,2.15,2.1,1.92,,,,,,,,
Ramsay Health Care,RHC,14.7,14.59,14.67,,,,,,,,
Royalco Res,RCO,0.565,0.52,0.55,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Admiralty Res,ADY,0.007,0.008,0.009,,,,,,,,
ARC Explore Ltd opt jan11,ARXOA,0.004,0.006,0.005,,,,,,,,
Aurium Res,AGU,0.019,0.02,0.02,,,,,,,,
Becton Prop Grp stp,BEC,0.046,0.05,0.048,,,,,,,,
Bremer Park Ltd,BPK,0.008,0.01,0.01,,,,,,,,
Caledon Res cdi,CCD,0.57,0.65,0.6,,,,,,,,
CEC Grp Ltd,CEG,0.081,0.09,0.085,,,,,,,,
Coffey Intl,COF,1.005,1.105,1.01,,,,,,,,
Copper Strike Ltd,CSE,0.07,0.075,0.072,,,,,,,,
Dourado Res Ltd,DUO,0.17,0.175,0.175,,,,,,,,
  opt nov14,DUOO,0.025,0.031,0.03,,,,,,,,
ECO Quest opt mar11,ECQO,0.018,0.045,0.045,,,,,,,,
Elders Ltd,ELD,0.74,0.975,0.955,,,,,,,,
ERO Min Ltd,ERO,0.021,0.025,0.022,,,,,,,,
Eromanga Hydro,ERH,0.054,0.059,0.058,,,,,,,,
Excelsior Gold,EXG,0.034,0.037,0.038,,,,,,,,
Eyecare Partners,EPL,0.068,0.07,0.07,,,,,,,,
Future Corp,FUT,0.001,0.002,0.002,,,,,,,,
Geodynamics Ltd,GDY,0.36,0.375,0.43,,,,,,,,
Gerard Lighting,GLG,0.8,0.84,0.82,,,,,,,,
Hexima Ltd,HXL,0.25,0.27,0.275,,,,,,,,
India Res,IRL,0.015,0.016,0.017,,,,,,,,
ING Real Est Ente unt,IEF,0.091,0.1,0.1,,,,,,,,
iSOFT Group Ltd,ISF,0.245,0.325,0.465,,,,,,,,
Lefroy Res Ltd,LEF,0.041,0.05,0.05,,,,,,,,
Legacy Iron Ore opt dec12,LCYOA,0.037,0.065,0.065,,,,,,,,
Liberty Resource,LBY,0.048,0.051,0.06,,,,,,,,
Luminus Systems,LSL,0.008,0.012,0.012,,,,,,,,
Modena Res Ltd opt dec13,MDAOA,0.008,0.009,0.01,,,,,,,,
Multiplex Acumen unt,MPF,0.048,0.051,0.05,,,,,,,,
Neptune Marine,NMS,0.18,0.2,0.235,,,,,,,,
  opt dec10,NMSO,0.06,0.085,0.091,,,,,,,,
Nufarm Ltd,NUF,5.54,5.84,5.63,,,,,,,,
Octanex NL opt dec10,OXXO,0.06,0.08,0.08,,,,,,,,
Oilex Ltd,OEX,0.082,0.083,0.085,,,,,,,,
Paradigm Metals,PDM,0.021,0.026,0.025,,,,,,,,
Pulse Health Ltd,PHG,0.04,0.045,0.045,,,,,,,,
Rimfire Pacific,RIM,0.012,0.013,0.013,,,,,,,,
  rts 11jun,RIMR,0.001,0.002,0.002,,,,,,,,
Sims Metal Mgmt,SGM,18.06,19,18.55,,,,,,,,
Skilled Grp Ltd,SKE,1.14,1.18,1.19,,,,,,,,
Stratatel Ltd,STE,0.04,0.044,0.045,,,,,,,,
Structural Systems,STS,0.46,0.5,0.5,,,,,,,,
Telecom Corp,TEL,1.44,1.475,1.5,,,,,,,,
Transfield Serv Infr stp,TSI,0.655,0.68,0.66,,,,,,,,
Uranex NL,UNX,0.15,0.165,0.16,,,,,,,,
