ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5202.5 at 2013-05-14T16:51:05. Report at Tuesday, May 14, 2013. Processed Wednesday at 2013-05-15T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
Exalt Res,ERD,.044,.047,.10,,
Global Construct,GCS,.51,.55,.65,,
Global Geoscience,GSC,.038,.041,.046,,
Greenpower Energy,GPP,.03,.034,.033,,
Hawthorn Res def,HAWDA,.092,.10,-,,
Horseshoe Metals,HOR,.085,.105,.11,,
Indo Mines,IDO,.067,.085,.08,,
Kalnorth Gold,KGM,.155,.16,.19,,
Lion Selection Grp opt dec14,LSXO,.02,.03,.055,,
Malagasy Min,MGY,.03,.031,.035,,
Mantle Min Corp,MNM,.034,.036,.040,,
Mastermyne Grp,MYE,1.00,1.085,1.05,,
Metminco,MNC,.022,.023,.025,,
Mighty River Power def,MYT,2.08,2.16,-,,
Minera Gold opt may14,MIZO,.001,.002,.003,,
Niuminco Grp,NIU,.016,.018,.02,,
Northern Iron,NFE,.205,.23,.29,,
Paringa Res,PNL,.075,.095,.10,,
RHG,RHG,.305,.37,.39,,
Rialto Energy,RIA,.034,.038,.042,,
Rumble Res opt jul14,RTRO,.005,.012,.012,,
Starpharma Hldgs,SPL,.85,.855,.97,,
Sthn Crown Res,SWR,.054,.065,.075,,
Swala Energy,SWE,.115,.12,.135,,
TUC Resources,TUC,.052,.053,.079,,
Waratah Res,WGO,.02,.028,.029,,
Zeus Res,ZEU,.039,.04,.041,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
