Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4946.8 at 18:52 6/1/2010  Report at 19:05 Wednesday 6/1/2010. Processed 20:02 Wednesday 6/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
APA Grp stpld,APA,3.67,3.59,3.59,,,,,,,,
Aquarius Platinum,AQP,7.7,7.45,7.45,,,,,,,,
ARB Corp,ARP,5.3,5.14,5.14,,,,,,,,
Asciano Grp stpld,AIO,1.94,1.885,1.885,,,,,,,,
Atlas Iron Ltd,AGO,2.15,1.89,1.945,,,,,,,,
Augur Res Ltd opt jun10,AUKO,0.02,0.012,0.012,,,,,,,,
Aurora Min Ltd,ARM,0.97,0.74,0.79,,,,,,,,
Aurox Res 7%cnjun10,AXOG,0.825,0.805,0.82,,,,,,,,
Aussie Q Res,AQR,0.23,0.085,0.09,,,,,,,,
Austin Explore opt nov11,AKKO,0.028,0.017,0.024,,,,,,,,
AWE Ltd,AWE,3.15,2.82,2.82,,,,,,,,
AXA Asia Pacific,AXA,6.71,6.58,6.58,,,,,,,,
Beach Energy Ltd,BPT,1.02,0.925,0.925,,,,,,,,
BHP Billiton Ltd,BHP,43.85,43.32,43.32,,,,,,,,
Boart Longyear,BLY,0.405,0.365,0.365,,,,,,,,
Brockman Res,BRM,2.6,2.5,2.5,,,,,,,,
BSA Ltd,BSA,0.34,0.3,0.325,,,,,,,,
Buxton Res Ltd,BUX,0.085,0.069,0.07,,,,,,,,
Campbell Brothers,CPB,31.25,30.09,30.09,,,,,,,,
Capitol Health opt apr12,CAJO,0.01,0.006,0.006,,,,,,,,
Centennial Coal,CEY,4.15,4.11,4.11,,,,,,,,
CMI Ltd,CMI,0.7,0.66,0.66,,,,,,,,
C'wlth Bank  of Aust  perls v,CBAPA,208,207.4,207.4,,,,,,,,
Cortona Res opt jan12,CRCO,0.064,0.04,0.04,,,,,,,,
Coventry Grp,CYG,2.4,2.25,2.3,,,,,,,,
Dioro Explore NL,DIO,1.275,1.25,1.25,,,,,,,,
Discovery Metals,DML,0.71,0.61,0.62,,,,,,,,
Diversified United,DUI,3.35,3.25,3.25,,,,,,,,
Djerriwarrh Invest,DJW,4.78,4.65,4.65,,,,,,,,
Elders Ltd hybrids,ELDPA,63.75,58,58,,,,,,,,
Entek Energy Ltd,ETE,0.27,0.24,0.25,,,,,,,,
Equinox Min Ltd cdi,EQN,4.54,4.45,4.48,,,,,,,,
