Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4669.1 at 16:36 14/9/2010  Report at 19:05 Tuesday 14/9/2010. Processed 19:08 Tuesday 14/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Accent Res NL,ACS,0.285,0.26,0.25,,,,,,,,
Advanced Share,ASW,0.9,0.86,0.78,,,,,,,,
Alkane Res Ltd,ALK,0.73,0.71,0.54,,,,,,,,
Ammtec Ltd,AEC,4.03,3.9,3.82,,,,,,,,
Aust Education unt,AEU,0.735,0.68,0.69,,,,,,,,
Bank of Qld reset prf,BOQPA,104.01,103.95,102.91,,,,,,,,
Bathurst Res opt dec10,BTUO,0.135,0.08,0.05,,,,,,,,
Bendigo & Adelaide pref,BENPC,95.2,94.95,93.2,,,,,,,,
Bougainville Copper,BOC,1.3,1.1,0.93,,,,,,,,
Bradken Ltd,BKN,8.24,7.89,8,,,,,,,,
Canyon Res Ltd,CAY,0.42,0.415,0.31,,,,,,,,
Catalpa Res,CAH,1.97,1.96,1.635,,,,,,,,
Chandler Macleod,CMG,0.38,0.37,0.37,,,,,,,,
C'wlth Bank  of Aust  perls v,CBAPA,211.5,209.95,209.1,,,,,,,,
CUE Energy Resource,CUE,0.375,0.35,0.31,,,,,,,,
Dart Energy Ltd,DTE,1,0.915,0.84,,,,,,,,
Elemental Min opt jan12,ELMO,0.31,0.25,0.25,,,,,,,,
Equatorial Res,EQX,0.8,0.66,0.5,,,,,,,,
Equinox Min Ltd cdi,EQN,5.69,5.56,5.31,,,,,,,,
European Gas,EPG,0.31,0.295,0.25,,,,,,,,
Fleetwood Corp,FWD,10.25,10.2,10.13,,,,,,,,
Flight Centre,FLT,22.99,22.94,19.92,,,,,,,,
Forge Grp Ltd,FGE,4.05,3.82,3.5,,,,,,,,
Giralia Res NL,GIR,2.71,2.7,2.52,,,,,,,,
Gloucester Coal,GCLN,9.7,9.6,9.45,,,,,,,,
Golden Deeps,GED,0.08,0.075,0.075,,,,,,,,
Gryphon Min Ltd,GRY,1.335,1.18,0.97,,,,,,,,
Guildford Coal,GUF,0.39,0.355,0.345,,,,,,,,
Ideas Intl,IDE,0.65,0.62,0.57,,,,,,,,
Imdex Ltd,IMD,0.97,0.92,0.89,,,,,,,,
Intrepid Mines,IAU,1.26,1.06,0.83,,,,,,,,
Ivanhoe Aust opt sep11,IVAO,0.3,-,-,,,,,,,,
Kasbah Res,KAS,0.155,0.135,0.135,,,,,,,,
Ludowici Ltd,LDW,3.5,3.4,3.3,,,,,,,,
Lynas Corp,LYC,1.38,1.275,1.05,,,,,,,,
Macq Atlas Roads stp,MQA,1.46,1.445,1.335,,,,,,,,
Macq Radio,MRN,0.96,0.95,0.81,,,,,,,,
Mastermyne Grp,MYE,1.22,1.19,1.165,,,,,,,,
McMillan Shakespeare,MMS,7.14,6.97,6.45,,,,,,,,
Medic Vision Ltd,MVH,0.082,0.075,0.064,,,,,,,,
  opt jan12,MVHOA,0.023,0.006,0.001,,,,,,,,
Metals X Ltd,MLX,0.21,0.2,0.165,,,,,,,,
Metminco Ltd,MNC,0.28,0.27,0.25,,,,,,,,
  opt dec12,MNCO,0.12,0.09,0.09,,,,,,,,
Mineral Res,MIN,10.6,10.04,8.99,,,,,,,,
Multiplex Prime Ppty ctg,MAFCB,1.4,1.3,0.98,,,,,,,,
Navigator Res,NAV,0.24,0.225,0.18,,,,,,,,
  opt nov11,NAVO,0.075,0.065,0.055,,,,,,,,
Noble Min Res opt jul11,NMGO,0.072,0.065,0.045,,,,,,,,
