Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4480.9 at 16:36 13/8/2010  Report at 19:05 Friday 13/8/2010. Processed 20:52 Friday 13/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
3D Res Ltd,DDD,0.032,0.029,0.029,,,,,,,,
Adultshop Com,ASC,0.019,0.016,0.014,,,,,,,,
Andean Res Ltd,AND,4.42,3.98,3.88,,,,,,,,
Aurora Oil & Gas,AUT,1.06,0.92,0.87,,,,,,,,
Burey Gold Ltd opt jun11,BYRO,0.021,0.015,0.013,,,,,,,,
Elixir Pet Ltd,EXR,0.066,0.06,0.053,,,,,,,,
Eureka Energy Ltd,EKA,0.32,0.24,0.22,,,,,,,,
Exco Res Ltd,EXS,0.41,0.355,0.295,,,,,,,,
Ferrowest Ltd opt jun12,FWLOA,0.02,0.013,0.013,,,,,,,,
Heemskirk Cons 8% cn11,HSKG,2.7,2.65,2.6,,,,,,,,
Kasbah Res,KAS,0.115,0.085,0.085,,,,,,,,
Matrix C & E Ltd,MCE,3.72,2.93,2.85,,,,,,,,
Pac Niugini Ltd,PNR,0.225,0.21,0.19,,,,,,,,
Papillon Res Ltd,PIR,0.205,0.145,0.15,,,,,,,,
  opt dec12,PIROA,0.08,0.049,0.057,,,,,,,,
Regis Res,RRL,1.15,1.11,1.025,,,,,,,,
  opt jan14,RRLO,0.77,0.68,0.66,,,,,,,,
  opt oct12,RRLOB,0.21,0.15,0.2,,,,,,,,
Ross Human Direction,RHD,0.62,0.605,0.605,,,,,,,,
Shree Min Ltd opt jun11,SHHO,0.012,-,-,,,,,,,,
Viagold Capital,VIA,1.02,1,0.95,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
A1 Min Ltd,AAM,0.105,0.15,0.15,,,,,,,,
Adavale Resource,ADD,0.023,0.024,0.025,,,,,,,,
Ardent Leisure stp,AAD,0.935,0.98,0.94,,,,,,,,
Aruma Res Ltd,AAJ,0.155,0.16,0.16,,,,,,,,
Cabcharge Aust,CAB,4.25,4.43,4.35,,,,,,,,
Clancy Explore,CLY,0.078,0.095,0.079,,,,,,,,
Emerald Oil & Gas,EMR,0.017,0.019,0.02,,,,,,,,
Eneabba Gas Ltd,ENB,0.09,0.091,0.099,,,,,,,,
Fisher & Paykel H,FPH,2.26,2.3,2.36,,,,,,,,
Fox Res opt nov10,FXRO,0.005,0.006,0.006,,,,,,,,
James Hardie Ind cdi,JHX,5.45,6.2,5.99,,,,,,,,
Kairiki Energy,KIK,0.086,0.099,0.095,,,,,,,,
Lend Lease Grp stp,LLC,6.97,7.28,7.04,,,,,,,,
Meridian Min,MII,0.052,0.072,0.07,,,,,,,,
Mirabela Nickel,MBN,1.825,2.1,1.955,,,,,,,,
Modena Res Ltd,MDA,0.02,0.025,0.028,,,,,,,,
Nagambie Min Ltd,NAG,0.021,0.025,0.025,,,,,,,,
Norton Gold Fields opt oct10,NGFO,0.015,0.025,0.021,,,,,,,,
Ocean Capital,OCE,0.24,0.25,0.25,,,,,,,,
Primary Health Care,PRY,3.39,3.47,3.46,,,,,,,,
Progen Pharmaceutic,PGL,0.31,0.34,0.33,,,,,,,,
ResMed Inc bns def,RMDBN,3.44,-,-,,,,,,,,
Scotgold Res,SGZ,0.047,0.081,0.079,,,,,,,,
Tabcorp Hldgs Ltd,TAH,6.22,6.62,6.29,,,,,,,,
Telstra Corp,TLS,2.82,3.24,3.09,,,,,,,,
XState Res opt jun13,XSTO,0.04,0.06,0.045,,,,,,,,
