Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4519.2 at 16:47 5/11/2009  Report at 19:05 Thursday 5/11/2009. Processed 19:28 Thursday 5/11/2009.,,,,,,,,,,,,


,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adtrans Grp,ADG,3.22,3.2,3.2,,,,,,,,
Centamin Egypt,CNT,2.4,2.38,2.38,,,,,,,,
Chalice Gold Mines,CHN,0.55,0.5,0.5,,,,,,,,
Chemgenex Pharmac,CXS,0.855,0.795,0.81,,,,,,,,
Cobar Cons,CCU,0.25,0.245,0.245,,,,,,,,
Enviromission Ltd,EVM,0.095,0.093,0.093,,,,,,,,
Forge Grp Ltd,FGE,2.07,1.56,1.615,,,,,,,,
Gage Roads Brewing,GRB,0.13,0.063,0.069,,,,,,,,
Heritage Bld Soc 10%3mth19,HBSHA,105.65,105,105,,,,,,,,
Highlands Pacific,HIG,0.38,0.315,0.315
IAG Finance (Nz) exch.note,IANG,98.9,98.6,98.6
Ipernica Ltd,IPR,0.14,0.1,0.125
Matsa Res,MAT,0.27,0.225,0.245
McPherson's Ltd,MCP,3.36,3.09,3.09
Mutiny Gold Ltd opt jun11,MYGO,0.027,0.025,0.025
Navitas Ltd,NVT,3.94,3.86,3.86
Norseman Gold cdi 1:1,NGX,1.045,0.94,0.94
North Aust Ltd,NAD,0.058,0.056,0.056
OBJ Ltd,OBJ,0.044,0.033,0.033
  opt dec10,OBJO,0.035,0.017,0.017
RCG Corp Ltd,RCG,0.5,0.49,0.49
Riviera Res,RVE,0.15,0.083,0.083
Sth Boulder Mines,STB,0.285,0.24,0.24
Terrain Min opt jul10,TMXO,0.008,0.006,0.006
TPL Corp Ltd,TPL,0.02,0.014,0.014
Washington Res opt dec13,WRLO,0.04,-,-
WCP Res Ltd,WCP,0.16,0.125,0.125
  opt jun10,WCPO,0.105,0.08,0.08
Wentworth Hldgs,WWM,0.1,0.08,0.08
Westpac Banking pref,WBCPA,103.5,100.5,100.5
New Yearly Lows,,,,
ETFS Metals etfs pm,ETPMPM,74.51,89.23,89.23
Geodynamics Ltd opt dec09,GDYO,0.003,0.005,0.005
Laconia Res Ltd,LCR,0.225,0.235,0.23
Northern Uranium opt sep12,NTUOA,0.068,0.075,0.071
Oldfields Hldgs,OLH,0.265,0.28,0.27
ORH Ltd,ORH,0.039,0.05,0.04
Transol Corp opt may11,TNCOA,0.001,0.002,0.002
Washington Res opt dec13,WRLO,0.015,-,-
Westralian Gas & Pwr opt oct11,WGPOA,0.004,0.008,0.006
