ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4056.7 at 2011-08-08T16:36:02. Report at Monday, August 8, 2011. Processed Tuesday at 2011-08-09T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
Energy Res,ERA,3.36,4.37,4.05,,
Engenco,EGN,.086,.11,.10,,
Equity Trustees,EQT,12.70,13.70,13.45,,
EVZ,EVZ,.045,.055,.055,,
Exalt Res Ltd,ERD,.16,.18,.18,,
Excalibur Min,EXM,.001,.002,.002,,
Exchange Traded Sec ets at&t,ETSATT,27.48,29.45,29.45,,
  ets amex,ETSAXP,44.53,48.78,46.508,,
  ets boa,ETSBAC,7.68,8.81,8.81,,
  ets berk,ETSBRK,67.28,67.98,67.98,,
  ets ge,ETSGEL,15.61,17.50,17.50,,
  ets j&j,ETSJNJ,59.18,62.85,62.85,,
  ets 3m,ETSMMM,78.33,88.90,88.90,,
  ets walm,ETSWMT,47.98,50.05,49.70,,
Fairfax Media,FXJ,.77,.865,.855,,
FAR,FAR,.031,.04,.04,,
Fisher & Paykel Health,FPH,1.86,1.94,1.94,,
FKP Prop Grp stp,FKP,.50,.62,.62,,
Flat Glass Ind,FGI,.09,.105,.095,,
Galaxy Res,GXY,.58,.675,.645,,
Genera Biosystems,GBI,.11,.14,.14,,
Gippsland,GIP,.024,.027,.027,,
GLG Corp,GLE,.20,.24,.24,,
Global Min,GMI,1.05,1.15,1.135,,
Golden West Res,GWR,.40,.53,.53,,
Goodman Fielder,GFF,.785,.89,.89,,
Gowing Bros,GOW,2.15,2.32,2.25,,
GPT Grp stp,GPT,2.67,2.98,2.98,,
Green Rock Energy,GRK,.013,.017,.014,,
Greencap,GCG,.044,.052,.052,,
Growthpoint Prop stp,GOZ,1.70,1.89,1.88,,
GWA Grp,GWA,2.31,2.58,2.57,,
Harvey Norman,HVN,1.86,2.16,2.16,,
Hastie Grp,HST,.13,.145,.14,,
Hastings High Yld unt,HHY,1.00,1.095,1.095,,
HealthLinx,HTX,.021,.027,.025,,
Healthscope Notes 11.25% cn,HLNG,95.00,98.35,98.35,,
Hemisphere Res,HEM,.185,.215,.215,,
HGL,HNG,1.06,1.22,1.21,,
Hills Hldgs,HIL,1.02,1.155,1.155,,
Horseshoe Metals,HOR,.145,.20,.18,,
Hunter Hall Global,HHV,.71,.77,.77,,
Hunter Hall Int'l,HHL,4.55,5.16,5.05,,
Hutchison,HTA,.059,.069,.068,,
IAG Finance (NZ) exch.note,IANG,98.01,102.00,101.50,,
IDT Aust,IDT,.30,.375,.34,,
Ikwezi Mining,IKW,.17,.225,.215,,
Image Res,IMA,.31,.44,.43,,
IMF (Aust) 10.25% cn,IMFG,1.65,1.70,1.70,,
IMX Res,IXR,.38,.49,.44,,
Indophil Res,IRN,.295,.37,.34,,
Infigen Energy stp,IFN,.26,.325,.325,,
ING Real Est Hlth unt,IHF,.705,.75,.75,,
Insurance Aust Grp,IAG,2.93,3.25,3.21,,
International Coal,ICX,.185,.22,.22,,
Invictus Gold,IVG,.07,.105,.086,,
IOOF Hldgs,IFL,5.53,6.46,6.38,,
Ironclad Min,IFE,.53,.62,.60,,
iShares China 25 cdi,IZZ,35.92,38.03,38.02,,
iShares Glb Telco cdi,IXP,53.80,56.05,55.533,,
iShares Global 100 cdi,IOO,54.00,57.35,57.35,,
iShares MSCI Aus 200,IOZ,17.09,18.96,18.96,,
iShares MSCI BRIC cdi,IBK,39.00,42.15,42.15,,
iShares MSCI EAFE cdi,IVE,50.38,52.80,52.80,,
iShares MSCI Em Mkt cdi,IEM,39.00,41.93,41.93,,
iShares MSCI Hong Kong cdi,IHK,16.00,16.92,16.85,,
