Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4651.5 at 16:42 24/9/2010  Report at 19:06 Friday 24/9/2010. Processed 22:14 Sunday 26/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Altera Res Ltd,AEA,0.41,0.34,0.32,,,,,,,,
Aurora Oil & Gas,AUT,1.41,1.295,1.17,,,,,,,,
Azimuth Res Ltd,AZH,0.15,0.125,0.081,,,,,,,,
Beadell Resource,BDR,0.42,0.405,0.295,,,,,,,,
Carbine Res opt jul11,CRBO,0.255,0.2,0.16,,,,,,,,
Clover Corp,CLV,0.35,0.305,0.29,,,,,,,,
D'aguilar Gold,DGR,0.125,0.079,0.064,,,,,,,,
Domino Pizza Enterpr,DMP,6,5.5,5.565,,,,,,,,
Dragon Mountain Gold,DMG,0.28,0.255,0.265,,,,,,,,
Fairfax Media Ltd pref,FXJPB,97.8,97.35,96.5,,,,,,,,
Forge Res Ltd,FRG,0.4,-,-,,,,,,,,
  opt jul14,FRGO,0.2,-,-,,,,,,,,
G8 Education Ltd,GEM,0.725,0.69,0.69,,,,,,,,
Giralia Res NL,GIR,2.8,2.71,2.52,,,,,,,,
Gryphon Min Ltd,GRY,1.59,1.45,0.97,,,,,,,,
Ideas Intl,IDE,0.755,0.69,0.57,,,,,,,,
iShares MSCI HK,IHK,18.7,18.45,18.23,,,,,,,,
Kasbah Res,KAS,0.27,0.155,0.135,,,,,,,,
Liontown Res,LTR,0.11,0.083,0.07,,,,,,,,
Macarthurcook Ind Pr unt,MIF,0.435,0.425,0.415,,,,,,,,
Macq Harbour,MHM,0.455,0.305,0.23,,,,,,,,
  opt aug12,MHMO,0.35,0.18,0.12,,,,,,,,
Magellan Fin Grp opt jun16,MFGOC,0.225,0.17,0.17,,,,,,,,
Malagasy Min,MGY,0.28,0.245,0.089,,,,,,,,
Mesoblast Ltd,MSB,2.75,2.46,1.99,,,,,,,,
Metals X Ltd,MLX,0.255,0.235,0.165,,,,,,,,
Pac Niugini Ltd,PNR,0.36,0.3,0.25,,,,,,,,
Pelican Res,PEL,0.17,0.15,0.145,,,,,,,,
Richmond Min,RHM,0.38,0.375,0.35,,,,,,,,
Sth American Cor,SAY,0.096,0.061,0.04,,,,,,,,
Sthn Cross Air skies,SAKHA,97.35,95.5,94.75,,,,,,,,
Venture Min,VMS,0.53,0.5,0.435,,,,,,,,
Western Areas NL,WSA,6.22,6.02,5.28,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Adelaide Managed unt,AYT,0.22,1.54,1.4,,,,,,,,
Adv Braking Tech,ABV,0.014,0.016,0.016,,,,,,,,
Avenue Res Ltd,AVY,0.215,0.22,-,,,,,,,,
BioProspect Ltd,BPO,0.01,0.011,0.012,,,,,,,,
GBM Rsources Ltd opt jun13,GBZOA,0.017,0.019,-,,,,,,,,
Henderson Grp cdi,HGG,1.98,2.19,2.11,,,,,,,,
Mikoh Corp,MIK,0.046,0.051,0.054,,,,,,,,
Mobilarm Ltd,MBO,0.1,-,-,,,,,,,,
PaperlinX Ltd,PPX,0.465,0.52,0.515,,,,,,,,
Programmed Maint,PRG,1.875,2.01,1.96,,,,,,,,
Qld Trustees Invest,QTI,0.3,0.305,0.33,,,,,,,,
Real Estate Cap unt,RCU,0.085,0.1,0.1,,,,,,,,
Select Harvests,SHV,3.02,3.09,3.13,,,,,,,,
Siburan Res Ltd,SBU,0.16,0.21,0.205,,,,,,,,
Southerncross Gold opt nov10,SXGO,0.004,0.005,0.01,,,,,,,,
Spark Infrastructure stp,SKI,1.035,1.115,1.15,,,,,,,,
Telstra Corp,TLS,2.63,2.75,2.74,,,,,,,,
