Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4724.4 at 16:34 22/12/2009  Report at 19:05 Tuesday 22/12/2009. Processed 19:25 Tuesday 22/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Advanced Share,ASW,0.43,0.35,0.36,,,,,,,,
Antares Energy,AZZ,0.49,0.45,0.485,,,,,,,,
Ausmelt Ltd,AET,1.44,0.98,0.77,,,,,,,,
Blackham Res opt oct11,BLKO,0.105,0.095,-,,,,,,,,
Carbine Res,CRB,0.13,0.1,0.1,,,,,,,,
Carsales Com Ltd,CRZ,5.4,5.1,4.65,,,,,,,,
Cedar Woods Prop,CWP,2.65,2.6,2.6,,,,,,,,
Centennial Coal,CEY,3.88,3.73,3.62,,,,,,,,
Challenger Kenedix ord unt,CKT,1.005,1,0.79,,,,,,,,
Charter Hall Grp forus,CHC,0.715,0.69,0.65,,,,,,,,
Cochlear Ltd,COH,68.74,67.48,64.41,,,,,,,,
Colonial Res,CLN,0.21,0.19,0.091,,,,,,,,
Discovery Metals,DML,0.62,0.56,0.515,,,,,,,,
Early Learning Serv,ELY,0.3,0.145,0.135,,,,,,,,
General Min Corp,GMM,0.185,-,-,,,,,,,,
GWA Intl,GWT,3.28,3.17,2.94,,,,,,,,
Hillgrove Res Ltd,HGO,0.405,0.4,0.355,,,,,,,,
Incitec Pivot,IPL,3.49,3.36,3.01,,,,,,,,
Inventis Ltd,IVT,0.071,0.065,0.045,,,,,,,,
iShares S&P Mcap 400 cdi 1:1,IJH,82.8,79.83,76.28,,,,,,,,
Macq Telecom Gp,MAQ,5,4.75,4.1,,,,,,,,
Monax Min Ltd opt nov11,MOXO,0.03,-,-,,,,,,,,
Money3 Corp,MNY,0.5,0.45,0.45,,,,,,,,
Multiplex Sites sites,MXUPA,82.5,77.49,76.5,,,,,,,,
Murchison Metals,MMX,2.3,2.12,1.83,,,,,,,,
News Corp b voting,NWS,18.18,17.49,16.16,,,,,,,,
  a nonvote,NWSLV,15.48,14.92,13.79,,,,,,,,
Norfolk Grp,NFK,0.975,0.91,0.9,,,,,,,,
PaperlinX Sps Tr pref,PXUPA,55.5,52.5,48,,,,,,,,
Perilya Ltd,PEM,0.625,0.61,0.53,,,,,,,,
Powerlan Ltd,PWR,0.084,0.075,0.074,,,,,,,,
Qld Trustees Invest,QTI,0.5,0.47,0.47,,,,,,,,
SAI Global Ltd,SAI,3.9,3.83,3.7,,,,,,,,
Stanmore Coal Ltd,SMR,0.495,0.46,-,,,,,,,,
Vngd US Total Market cdi 1:1,VTS,64.78,63.37,60.72,,,,,,,,
Whitehaven Coal,WHC,4.88,4.7,4.55,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Anteo Diagnostics opt sep10,ADOO,0.001,0.002,0.002,,,,,,,,
Apex Min NL,AXM,0.029,0.032,0.039,,,,,,,,
ARK Fund Ltd (The),ARJ,0.42,0.52,0.57,,,,,,,,
Ausgold Ltd,AUC,0.2,0.22,-,,,,,,,,
Cheviot Kirribilly stpld,CKP,0.15,0.235,0.175,,,,,,,,
Cityview Corp,CVI,0.002,0.003,0.004,,,,,,,,
CMA Corp Ltd,CMV,0.058,0.059,0.074,,,,,,,,
Ethan Min Ltd,ETH,0.145,0.15,-,,,,,,,,
Fairstar Res opt aug11,FASOA,0.019,0.023,0.02,,,,,,,,
General Min Corp,GMM,0.165,-,-,,,,,,,,
Gleneagle Gold,GLN,0.02,0.022,0.026,,,,,,,,
IDT Aust Ltd,IDT,1.31,1.33,1.39,,,,,,,,
Modena Res Ltd opt jun10,MDAO,0.001,0.003,0.003,,,,,,,,
Reverse Corp Ltd,REF,0.35,0.415,0.46,,,,,,,,
Sino Gas Energy,SEH,0.145,0.15,0.18,,,,,,,,
