Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4849.6 at 16:33 21/1/2010  Report at 19:05 Thursday 21/1/2010. Processed 19:16 Thursday 21/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Ampella Min,AMX,0.765,0.675,0.62,,,,,,,,
  opt jul10,AMXO,0.595,0.49,0.46,,,,,,,,
Capitol Health opt apr12,CAJO,0.012,0.01,0.006,,,,,,,,
CBH Res Ltd,CBH,0.185,0.15,0.105,,,,,,,,
Computronics,CPS,0.049,0.04,0.035,,,,,,,,
Dourado Res Ltd,DUO,0.25,0.205,0.235,,,,,,,,
ETFS Metals etfs pd,ETPMPD,51.91,48.28,41.69,,,,,,,,
Gale Pacific Ltd,GAP,0.185,0.14,0.15,,,,,,,,
Lodestar Min,LSR,0.11,0.1,0.095,,,,,,,,
PaperlinX Sps Tr pref,PXUPA,59.75,57.653,58.75,,,,,,,,
Powerlan Ltd,PWR,0.098,0.093,0.059,,,,,,,,
Range Res Ltd,RRS,0.094,0.064,0.084,,,,,,,,
Reckon Ltd,RKN,2.01,1.95,1.88,,,,,,,,
Tiger Res,TGS,0.285,0.275,0.205,,,,,,,,
Treasury Grp,TRG,6.29,5.55,5.59,,,,,,,,
Union Res Ltd opt dec10,UCLO,0.002,0.001,0.001,,,,,,,,
Virgin Blue Hldgs,VBA,0.655,0.59,0.59,,,,,,,,
Webjet Ltd,WEB,2.35,2.24,2,,,,,,,,
Wide Bay Aust Ltd,WBB,10.61,10.15,9.55,,,,,,,,
Zimplats Hldgs,ZIM,12.5,12.2,11.6,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Aurora Sandringham ,AOD,1.04,1.045,1.045,,,,,,,,
Energia Min Ltd,EMX,0.16,0.19,0.2,,,,,,,,
Gascoyne Res Ltd,GCY,0.155,0.165,0.16,,,,,,,,
Media Grp Int Ltd,MUI,0.013,0.017,0.015,,,,,,,,
Palamedia Ltd,PMX,0.004,0.006,0.006,,,,,,,,
United Orogen opt aug10,UOGO,0.003,0.004,0.004,,,,,,,,
White Canyon Uranium opt jan10,WCUO,0.001,0.006,0.01,,,,,,,,
