ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5849.5 at 2015-02-16T16:42:36. Report at Monday, February 16, 2015. Processed Tuesday at 2015-02-17T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
Centaurus Metals,CTM,.041,.048,.05,,
E & A,EAL,.25,.32,.355,,
ETFS Natural Gas,ETPGAS,.10,.105,.11,,
Gage Roads Brewing,GRB,.076,.079,.14,,
Intra Energy,IEC,.01,.011,.015,,
Laramide Res cdi,LAM,.25,.30,.42,,
Managed Accts Hldgs,MGP,.15,.16,.165,,
Mantle Min Corp,MNM,.01,.011,.012,,
Metgasco,MEL,.022,.023,.03,,
Pine Capital,PCD,.14,.145,.155,,
Red Metal,RDM,.052,.058,.063,,
Redflex Hldgs,RDF,.65,.67,.90,,
Stonewall Res,SWJ,.027,.036,.037,,
Tabcorp Hldgs rtsforusd,TAHR,.74,.765,-,,
Watpac,WTP,.705,.725,.765,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
