Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4942.2 at 16:42 8/1/2010  Report at 19:05 Friday 8/1/2010. Processed 19:28 Friday 8/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Antares Energy,AZZ,0.7,0.65,0.65,,,,,,,,
Augur Res Ltd,AUK,0.18,0.12,0.12,,,,,,,,
Aussie Q Res,AQR,0.335,0.085,0.09,,,,,,,,
Brockman Res,BRM,2.84,2.5,2.5,,,,,,,,
Burey Gold Ltd,BYR,0.045,0.027,0.033,,,,,,,,
Campbell Brothers,CPB,31.91,30.09,30.09,,,,,,,,
Centennial Coal,CEY,4.17,4.11,4.11,,,,,,,,
Clover Corp,CLV,0.29,0.245,0.26,,,,,,,,
Codan Ltd,CDA,1.15,1.025,1.03,,,,,,,,
Colonial Res,CLN,0.35,0.24,0.26,,,,,,,,
  opt dec10,CLNO,0.07,0.055,0.06,,,,,,,,
Cortona Res opt jan12,CRCO,0.07,0.04,0.04,,,,,,,,
Dioro Explore NL,DIO,1.3,1.25,1.25,,,,,,,,
ETFS Metals etfs pd,ETPMPD,46.25,40.16,41.69,,,,,,,,
Fleetwood Corp,FWD,8.9,8.08,8.08,,,,,,,,
Giralia Res NL,GIR,1.73,1.46,1.475,,,,,,,,
Global Iron Ltd,GFE,0.32,0.205,0.22,,,,,,,,
Global Resource,GRF,1.69,1.64,1.64,,,,,,,,
Gunson Res,GUN,0.165,0.105,0.105,,,,,,,,
Hampton Hill Min,HHM,0.43,0.32,0.32,,,,,,,,
Heritage Bld Soc 10%3mth19,HBSHA,106,105,105,,,,,,,,
Hunter Hall Intl,HHL,7.23,6.8,6.99,,,,,,,,
IOOF Hldgs Ltd,IFL,6.35,6.12,6.2,,,,,,,,
IOR Grp Ltd,IOR,1.3,1.25,1.25,,,,,,,,
ITX Grp Ltd,ITX,1.28,1.17,1.2,,,,,,,,
Kingsrose Min Ltd,KRM,0.78,0.665,0.75,,,,,,,,
  opt dec12,KRMO,0.56,0.5,0.52,,,,,,,,
L&M Pet fpo nz,LMP,0.16,0.14,0.14,,,,,,,,
Magnetic Res,MAU,0.335,0.2,0.2,,,,,,,,
Matsa Res,MAT,0.405,0.35,0.35,,,,,,,,
Merchant House,MHI,0.175,0.155,0.17,,,,,,,,
Mesoblast Ltd,MSB,1.79,1.4,1.49,,,,,,,,
Milton Corp,MLT,18.97,18.29,18.29,,,,,,,,
Mineral Res,MIN,7.84,7.05,7.1,,,,,,,,
Monadelphous Grp,MND,15.17,14.49,14.49,,,,,,,,
Nkwe Platinum opt aug11,NKPO,0.295,0.27,0.29,,,,,,,,
Origin Energy,ORG,17.94,16.84,16.84,,,,,,,,
Payce Cons,PAY,1.5,0.72,0.72,,,,,,,,
Perseus Min Ltd,PRU,2.1,1.8,1.8,,,,,,,,
PPK Grp Ltd,PPK,0.46,0.41,0.415,,,,,,,,
Prime Financial,PFG,0.28,0.235,0.235,,,,,,,,
Reed Res Ltd,RDR,0.765,0.67,0.67,,,,,,,,
Reedy Lagoon Corp,RLC,0.06,0.046,0.052,,,,,,,,
Rivercity Motorway stpld,RCY,0.31,0.25,0.25,,,,,,,,
RTL Corp Ltd,RTL,0.027,0.019,0.019,,,,,,,,
Samson Oil & Gas opt dec12,SSNO,0.008,0.006,0.006,,,,,,,,
Stanmore Coal Ltd,SMR,0.815,0.8,0.8,,,,,,,,
Sthn Hem Min cdi 1:1,SUH,0.45,-,-,,,,,,,,
Summit Res,SMM,2.36,2.24,2.24,,,,,,,,
Tower Ltd fpo nz,TWR,1.75,1.625,1.625,,,,,,,,
TPL Corp Ltd,TPL,0.028,0.027,0.027,,,,,,,,
TTA Hldgs Ltd,TTA,0.091,0.072,0.072,,,,,,,,
United Min,UMC,1.295,1.28,1.28,,,,,,,,
United Overseas Aust,UOS,0.295,0.29,0.29,,,,,,,,
Verus Invest,VIL,0.046,0.038,0.04,,,,,,,,
Village Roadshow,VRL,2.04,1.88,1.88,,,,,,,,
  'a' pref,VRLPA,1.93,1.86,1.86,,,,,,,,
WHK Grp Ltd,WHG,1.2,1.07,1.07,,,,,,,,
Windy Knob Res,WKR,0.071,0.057,0.057,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Enterprise Metals opt jun12,ENTO,0.08,0.1,0.1,,,,,,,,
Indago Res Ltd opt oct14,IDGOA,0.051,0.079,0.07,,,,,,,,
Legacy Iron Ore opt dec12,LCYOA,0.06,0.07,0.069,,,,,,,,
