Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4439.4 at 16:38 25/6/2010  Report at 19:05 Friday 25/6/2010. Processed 21:30 Friday 25/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
ADX Energy Ltd,ADX,0.265,0.195,0.197,,,,,,,,
Buru Energy,BRU,0.4,0.38,0.345,,,,,,,,
Coalspur Mines,CPL,0.995,0.99,0.87,,,,,,,,
Coca-Cola Amatil,CCL,12.15,12.07,11.38,,,,,,,,
Crusader Res,CAS,0.42,0.365,0.31,,,,,,,,
Dragon Min Ltd 10% cn11,DRAG,1.05,1.045,1.03,,,,,,,,
Halcyon Sec hlcnte10,HLCHA,99.75,99.25,99,,,,,,,,
Kingsrose Min Ltd opt dec12,KRMO,0.85,0.68,0.65,,,,,,,,
Lihir Gold Ltd,LGL,4.47,4.38,4.18,,,,,,,,
Multiplex Prime Ppty ctg def,MAFDA,1.1,-,-,,,,,,,,
Oohmedia Grp Ltd,OOH,0.165,0.16,0.15,,,,,,,,
PharmAust Ltd,PAA,0.09,0.064,0.071,,,,,,,,
Riviera Res,RVE,0.205,0.19,0.2,,,,,,,,
Samson Oil & Gas opt dec12,SSNO,0.026,0.02,0.022,,,,,,,,
Viagold Capital,VIA,0.4,0.385,0.36,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Abra Min Ltd,AII,0.1,0.12,0.11,,,,,,,,
Admiralty Res,ADY,0.006,0.007,0.009,,,,,,,,
Advance Energy,AVD,0.007,0.01,0.025,,,,,,,,
Allied Brands Ltd,ABQ,0.024,0.032,0.071,,,,,,,,
APN European Retail stp,AEZ,0.028,0.029,0.03,,,,,,,,
Aurium Res,AGU,0.016,0.018,0.02,,,,,,,,
Aust Pharmaceutical,API,0.39,0.445,0.44,,,,,,,,
AWE Ltd,AWE,1.795,2.03,1.915,,,,,,,,
Bannerman Res,BMN,0.255,0.305,0.305,,,,,,,,
Bauxite Resource,BAU,0.19,0.24,0.265,,,,,,,,
Becton Prop Grp stp,BEC,0.04,0.046,0.048,,,,,,,,
  9.5% cn12,BECG,0.3,0.36,0.35,,,,,,,,
bioMD Ltd opt dec11,BODOA,0.004,0.006,0.006,,,,,,,,
Coffey Intl,COF,0.9,0.93,1.01,,,,,,,,
Comet Ridge Ltd,COI,0.15,0.18,0.19,,,,,,,,
Crane Grp Ltd,CRG,8.17,8.36,8.45,,,,,,,,
Deep Yellow Ltd,DYL,0.135,0.145,0.145,,,,,,,,
Devine Ltd,DVN,0.225,0.25,0.25,,,,,,,,
Elders Ltd,ELD,0.315,0.815,0.955,,,,,,,,
Emerson Stewart Grp,ESW,0.085,0.095,0.094,,,,,,,,
Endocoal Ltd,EOC,0.37,0.45,0.4,,,,,,,,
EVZ Ltd,EVZ,0.067,0.068,0.085,,,,,,,,
Gascoyne Res Ltd,GCY,0.087,0.092,0.093,,,,,,,,
General Min Corp,GMM,0.09,0.11,0.1,,,,,,,,
Greater Bendigo Gold,GBM,0.019,0.021,0.02,,,,,,,,
Hexima Ltd,HXL,0.23,0.25,0.275,,,,,,,,
Humanis Grp Ltd,HUM,0.011,0.012,0.015,,,,,,,,
Imugene Ltd,IMU,0.035,0.039,0.038,,,,,,,,
Investorfirst Ltd,INQ,0.057,0.07,0.07,,,,,,,,
iSOFT Group Ltd,ISF,0.135,0.245,0.465,,,,,,,,
ISS Grp Ltd,ISS,0.145,0.155,0.155,,,,,,,,
Jatoil Ltd,JAT,0.02,0.027,0.026,,,,,,,,
Luiri Gold Ltd cdi,LGM,0.16,0.2,0.25,,,,,,,,
Magma Metals Ltd,MMW,0.405,0.485,0.48,,,,,,,,
Malagasy Min,MGY,0.025,0.029,0.03,,,,,,,,
Marenica Energy,MEY,0.095,0.097,0.12,,,,,,,,
Media Grp Int Ltd,MUI,0.006,0.008,0.008,,,,,,,,
Modena Res Ltd opt dec13,MDAOA,0.005,0.006,0.01,,,,,,,,
NZ Oil & Gas ,NZO,1.015,1.05,1.07,,,,,,,,
Nufarm Ltd,NUF,5.31,5.77,5.63,,,,,,,,
Oceania Capital,OCP,1.575,1.6,2.4,,,,,,,,
Panax Geothermal,PAX,0.091,0.095,0.099,,,,,,,,
Penrice Soda,PSH,0.325,0.4,0.38,,,,,,,,
Petsec Energy,PSA,0.17,0.2,0.205,,,,,,,,
Pilbara Min Ltd,PLS,0.095,0.105,-,,,,,,,,
Proto Resource &,PRW,0.015,0.019,0.023,,,,,,,,
QBE Insurance Grp,QBE,18.22,18.63,19.13,,,,,,,,
Renaissance Min,RNS,0.2,0.23,-,,,,,,,,
Republic Gold Ltd,RAU,0.012,0.013,0.015,,,,,,,,
Rivercity Motorway stp,RCY,0.02,0.025,0.045,,,,,,,,
Senetas Corp,SEN,0.032,0.035,0.037,,,,,,,,
Servcorp Ltd,SRV,2.75,2.76,3.1,,,,,,,,
Seven Grp Hldgs,SVW,5.78,6.03,6.05,,,,,,,,
Sims Metal Mgmt,SGM,17.94,18.45,18.55,,,,,,,,
Stirling Min opt dec13,SMZOA,0.015,0.039,0.039,,,,,,,,
Strzelecki Metals,STZ,0.021,0.029,0.028,,,,,,,,
Sun Res NL,SUR,0.049,0.052,0.051,,,,,,,,
Toro Energy Ltd,TOE,0.067,0.076,0.08,,,,,,,,
Torrens Energy,TEY,0.086,0.098,0.095,,,,,,,,
Transfield Serv Infr stp,TSI,0.645,0.675,0.66,,,,,,,,
Transpacific Indust,TPI,1.025,1.11,1.135,,,,,,,,
TWT Grp Ltd,TWT,0.061,0.075,0.07,,,,,,,,
Vision Grp Hldgs,VGH,0.26,0.34,0.35,,,,,,,,
Viterra Inc cdi,VTA,7.95,8.44,8.39,,,,,,,,
Voyager Res opt sep11,VORO,0.004,0.005,0.006,,,,,,,,
WHL Energy Ltd,WHN,0.022,0.025,0.028,,,,,,,,
Yellow Rock,YRR,0.017,0.018,0.021,,,,,,,,
