Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4401.2 at 16:37 8/6/2010  Report at 19:05 Tuesday 8/6/2010. Processed 21:03 Tuesday 8/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
1300 Smiles Ltd,ONT,3.15,3.07,3.05,,,,,,,,
Anglogold Ashanti,AGG,10.5,10.2,10.3,,,,,,,,
Corporate Express,CXP,5.78,5.7,5.65,,,,,,,,
Ecsi Ltd,ECS,0.022,0.019,0.018,,,,,,,,
Eldorado Gold cdi,EAU,21.48,20.78,20.4,,,,,,,,
Erongo Energy,ERN,0.15,0.085,0.135,,,,,,,,
ETFS Metals etfs ag,ETPMAG,22.61,22.04,22.17,,,,,,,,
  etfs pm,ETPMPM,116.51,114.85,114.32,,,,,,,,
ETFS Metals etfs gold,GOLD,150,144.2,143.9,,,,,,,,
Global Nickel Invest ctg,GNICA,0.012,-,-,,,,,,,,
Gloucester Coal,GCL,12.45,12.39,12.17,,,,,,,,
Heartware Int Inc cdi,HIN,2.09,2.08,1.925,,,,,,,,
Iluka Res,ILU,5.1,5.04,4.85,,,,,,,,
MDS Financial Grp,MWS,0.029,0.024,0.026,,,,,,,,
Nido Pet,NDO,0.235,0.2,0.175,,,,,,,,
Sihayo Gold Ltd,SIH,0.115,0.11,0.099,,,,,,,,
Silver Lake Resource,SLR,1.94,1.75,1.44,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
A-Cap Res,ACB,0.29,0.305,0.3,,,,,,,,
Aii200industrials etf unt,IDD,3.36,3.48,3.48,,,,,,,,
APN European Retail stp,AEZ,0.029,0.031,0.03,,,,,,,,
Atlantic Gold NL,ATV,0.038,0.04,0.04,,,,,,,,
Axiom Prop,AXI,0.021,0.022,0.025,,,,,,,,
Barra Res,BAR,0.06,0.063,0.065,,,,,,,,
Becton Prop Grp stp,BEC,0.047,0.05,0.048,,,,,,,,
Black Range Min,BLR,0.03,0.031,0.032,,,,,,,,
Capital Min,CMY,0.026,0.03,0.03,,,,,,,,
Carrick Gold Ltd,CRK,0.48,0.53,0.515,,,,,,,,
Crane Grp Ltd,CRG,8.23,8.52,8.45,,,,,,,,
De Grey Min,DEG,0.022,0.024,0.027,,,,,,,,
Elders Ltd,ELD,0.85,0.975,0.955,,,,,,,,
Engin Ltd,ENG,0.4,0.41,0.5,,,,,,,,
Enviromission Ltd,EVM,0.032,0.037,0.037,,,,,,,,
Eromanga Hydro,ERH,0.057,0.059,0.058,,,,,,,,
  opt jul12,ERHOA,0.022,0.04,0.04,,,,,,,,
Fisher & Paykel App,FPA,0.425,0.435,0.435,,,,,,,,
Gerard Lighting,GLG,0.815,0.84,0.82,,,,,,,,
Goldminex Res,GMX,0.195,0.205,0.215,,,,,,,,
Greenearth Energy,GER,0.085,0.088,0.086,,,,,,,,
iSOFT Group Ltd,ISF,0.28,0.325,0.465,,,,,,,,
Karmelsonix Ltd,KSX,0.019,0.021,0.02,,,,,,,,
Krucible Metals,KRB,0.25,0.33,0.33,,,,,,,,
LBT Innovations,LBT,0.07,0.071,0.077,,,,,,,,
Lodestone Energy,LOD,0.076,0.09,0.08,,,,,,,,
Minotaur Explore,MEP,0.165,0.18,0.18,,,,,,,,
Morning Star,MSH,0.095,0.1,0.1,,,,,,,,
Nomad Bld,NOD,0.098,0.105,0.15,,,,,,,,
Oceania Capital,OCP,1.82,2.05,2.4,,,,,,,,
Paradigm Metals,PDM,0.022,0.026,0.025,,,,,,,,
Quest Min Ltd,QNL,0.025,0.03,0.03,,,,,,,,
Seven Grp Hldgs pref,SVWPA,76,77,76.25,,,,,,,,
Telecom Corp,TEL,1.46,1.475,1.5,,,,,,,,
Toll Hldgs Ltd,TOL,5.39,5.85,5.94,,,,,,,,
Tower Aust rts17jund,TALR,0.3,0.32,0.55,,,,,,,,
Tyrian Diagnostics,TDX,0.008,0.01,0.009,,,,,,,,
Universal Res,URL,0.095,0.1,0.1,,,,,,,,
Uranex NL,UNX,0.155,0.165,0.16,,,,,,,,
Uranium Explore,UXA,0.031,0.035,0.037,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.007,0.01,0.01,,,,,,,,
Willmott Forests pref,WFLPA,55,56.25,55.101,,,,,,,,
World Wide Ent Grp,WWG,0.045,0.055,0.055,,,,,,,,
Xiaoxiao Education,XXL,0.13,0.15,0.15,,,,,,,,
Yellow Rock,YRR,0.018,0.02,0.021,,,,,,,,
