Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4887.9 at 16:40 23/3/2010  Report at 19:05 Tuesday 23/3/2010. Processed 19:11 Tuesday 23/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Antares Energy,AZZ,0.885,0.82,0.76,,,,,,,,
ANZ Banking Grp,ANZ,25.46,25.11,23.14,,,,,,,,
Aspire Min Ltd,AKM,0.115,0.1,0.095,,,,,,,,
Aust Enhanced unt,AYF,6.53,6.49,6.4,,,,,,,,
Authorised Invest opt feb13,AIYO,0.016,-,-,,,,,,,,
Brumby Res opt sep11,BMYOA,0.085,-,-,,,,,,,,
Bunnings Warehouse unt,BWP,1.955,1.945,1.875,,,,,,,,
Carbine Res,CRB,0.265,0.24,0.17,,,,,,,,
Castle Min,CDT,0.42,0.38,0.35,,,,,,,,
Cochlear Ltd,COH,70.78,69.49,64.9,,,,,,,,
Fairfax Media Ltd pref,FXJPB,92,91.501,89.3,,,,,,,,
Firstfolio Ltd,FFF,0.076,0.075,0.066,,,,,,,,
Forge Grp Ltd,FGE,2.92,2.88,2.35,,,,,,,,
Generator Income gennote2,GINHA,66.66,65,65,,,,,,,,
Groote Res Ltd,GOT,1.12,0.9,0.895,,,,,,,,
  opt jun10,GOTO,0.9,0.69,0.55,,,,,,,,
GWA Intl,GWT,3.5,3.48,3.27,,,,,,,,
Hemisphere Res opt mar10,HEMO,0.58,0.55,0.35,,,,,,,,
iiNet Ltd,IIN,2.48,2.46,2.29,,,,,,,,
Mantra Res,MRU,6.42,6.14,5.75,,,,,,,,
Medusa Min Ltd,MML,4.05,3.98,3.436,,,,,,,,
Mooter Media Ltd,MMZ,0.036,0.025,0.019,,,,,,,,
Mystate Ltd,MYS,3.75,3.7,3.14,,,,,,,,
Paragon Care Ltd opt may12,PGCOA,0.013,0.011,0.01,,,,,,,,
PharmAust Ltd,PAA,0.052,0.05,0.041,,,,,,,,
Pienets Ltd,PIE,0.035,0.029,0.012,,,,,,,,
Rabinov Prop Tr unt,RBV,0.61,0.6,0.6,,,,,,,,
Riversdale Min,RIV,9.11,8.88,8.69,,,,,,,,
Scott Corp,SCC,0.39,0.385,0.32,,,,,,,,
The Reject Shop,TRS,17.39,16.8,16.17,,,,,,,,
TPG Telecom Ltd,TPM,2.32,2.15,1.71,,,,,,,,
Tribune Res NL,TBR,0.92,0.9,0.79,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Alliance Res,AGS,0.44,0.45,0.5,,,,,,,,
Calliden Grp,CIX,0.24,0.26,0.255,,,,,,,,
Capital Min,CMY,0.033,0.037,0.038,,,,,,,,
Careers Multilist,CGR,0.15,0.2,0.21,,,,,,,,
CathRx Ltd,CXD,0.165,0.21,0.25,,,,,,,,
Central Pet opt jun10,CTPOA,0.002,0.003,0.009,,,,,,,,
Chemgenex Pharmac,CXS,0.265,0.685,0.63,,,,,,,,
  opt feb12,CXSOA,0.035,0.35,0.29,,,,,,,,
Digislide Hldgs,DGI,0.18,0.23,0.23,,,,,,,,
Eastern Iron opt dec10,EFEO,0.01,0.02,0.02,,,,,,,,
General Min Corp,GMM,0.135,0.145,0.15,,,,,,,,
Gleneagle Gold,GLN,0.018,0.019,0.02,,,,,,,,
Global Pet,GBP,0.105,0.11,0.11,,,,,,,,
Icon Energy Ltd,ICN,0.21,0.22,0.215,,,,,,,,
Magnetic Res ctg,MAUCA,0.15,0.21,0.19,,,,,,,,
Manas Res Ltd opt sep11,MSRO,0.025,0.026,0.03,,,,,,,,
Telezon Ltd,TLZ,0.07,0.1,0.1,,,,,,,,
Torrens Energy opt mar10,TEYO,0.001,0.002,0.004,,,,,,,,
Triton Gold Ltd,TON,0.17,0.18,0.175,,,,,,,,
USCOM Ltd,UCM,0.5,0.51,0.64,,,,,,,,
WAM Active Ltd opt apr11,WAAO,0.022,0.026,-,,,,,,,,
World Wide Ent Grp,WWG,0.055,0.08,0.09,,,,,,,,
