Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4621.3 at 16:39 9/9/2010  Report at 19:05 Thursday 9/9/2010. Processed 19:14 Thursday 9/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
1300 Smiles Ltd,ONT,3.55,3.35,3.3,,,,,,,,
Adelaide Managed unt,AYT,1.56,1.54,1.465,,,,,,,,
Aevum Ltd,AVE,1.83,1.705,1.77,,,,,,,,
Ammtec Ltd,AEC,3.9,3.84,3.82,,,,,,,,
ARB Corp,ARP,7,6.85,6.85,,,,,,,,
Argent Min,ARD,0.25,0.225,0.235,,,,,,,,
Argonaut Res,ARE,0.16,0.084,0.073,,,,,,,,
Austin Engineer,ANG,3.97,3.85,3.69,,,,,,,,
Australand Assets assets,AAZPB,90.75,90,90.45,,,,,,,,
Auzex Res,AZX,0.265,0.195,0.25,,,,,,,,
Base Res Ltd,BSE,0.19,0.13,0.14,,,,,,,,
Blackmores Ltd,BKL,25.72,25.39,24.92,,,,,,,,
Bougainville Copper,BOC,1.1,0.9,0.93,,,,,,,,
Breville Grp Ltd,BRG,2.57,2.5,2.5,,,,,,,,
Burey Gold Ltd,BYR,0.11,0.079,0.084,,,,,,,,
  opt jun11,BYRO,0.055,0.032,0.031,,,,,,,,
Chesser Res,CHZ,0.52,0.42,0.44,,,,,,,,
Coal & Allied Ind  ,CNA,105,100.33,100.98,,,,,,,,
Condor Nickel,CNK,0.28,0.22,0.2,,,,,,,,
Dart Energy Ltd,DTE,0.915,0.825,0.84,,,,,,,,
Decmil Grp Ltd,DCG,2.06,1.79,1.78,,,,,,,,
Equatorial Res,EQX,0.65,0.475,0.5,,,,,,,,
Equinox Min Ltd cdi,EQN,5.56,5.52,5.31,,,,,,,,
Generator Income gennote2,GINHA,83,82,81,,,,,,,,
Giralia Res NL,GIR,2.7,2.48,2.52,,,,,,,,
Gloucester Coal,GCLN,9.6,9.24,9.45,,,,,,,,
Ideas Intl,IDE,0.6,0.565,0.57,,,,,,,,
Iluka Res,ILU,6.32,6.01,5.66,,,,,,,,
Integra Min Ltd,IGR,0.535,0.47,0.45,,,,,,,,
Intrepid Mines,IAU,1.06,0.91,0.83,,,,,,,,
Jacka Res Ltd,JKA,0.22,0.195,0.195,,,,,,,,
Keycorp Ltd,KYC,0.575,0.515,0.55,,,,,,,,
Kingsgate Cons,KCN,10.99,10.59,10.22,,,,,,,,
Macq Telecom Gp,MAQ,7.5,6.97,6.32,,,,,,,,
Maverick Drilling,MAD,0.235,-,-,,,,,,,,
Mineral Res,MIN,10.04,9.49,8.99,,,,,,,,
National Can Ind,NCI,1.27,1.26,1.26,,,,,,,,
Newcrest Min,NCM,39.82,38.91,37.25,,,,,,,,
  def x lgl,NCMN,39.8,38.8,36.7,,,,,,,,
Noble Min Res opt jul11,NMGO,0.065,0.045,0.045,,,,,,,,
Norfolk Grp,NFK,1.15,1.04,1.025,,,,,,,,
Northern Star,NST,0.12,0.1,0.11,,,,,,,,
Orion Metals Ltd,ORM,0.15,0.066,0.06,,,,,,,,
