Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4829.3 at 16:33 9/3/2010  Report at 19:05 Tuesday 9/3/2010. Processed 19:21 Tuesday 9/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Analytica Ltd,ALT,0.115,0.04,0.042,,,,,,,,
Athena Res,AHN,0.12,0.095,0.07,,,,,,,,
Aussie Q Res,AQR,0.67,0.54,0.47,,,,,,,,
Carbine Res,CRB,0.25,0.21,0.17,,,,,,,,
  opt jul11,CRBO,0.1,0.08,-,,,,,,,,
Centrebet Internat,CIL,1.89,1.51,1.53,,,,,,,,
Coalspur Mines,CPL,0.495,0.45,0.42,,,,,,,,
Codan Ltd,CDA,1.35,1.34,1.3,,,,,,,,
Cougar Energy,CXY,0.15,0.14,0.125,,,,,,,,
CPI Grp Ltd,CPI,0.32,0.31,0.315,,,,,,,,
CSL Ltd,CSL,36.74,35.86,35.15,,,,,,,,
Fairfax Media Ltd pref,FXJPB,90.5,90,89.3,,,,,,,,
FerrAus Ltd,FRS,1.1,1,0.81,,,,,,,,
Global Masters Fund,GFL,0.85,0.8,0.75,,,,,,,,
Golden Tiger Min,GTX,0.034,0.026,0.033,,,,,,,,
GWA Intl,GWT,3.32,3.31,3.27,,,,,,,,
Headline Grp Ltd,HLD,0.24,0.23,0.235,,,,,,,,
Impedimed Ltd,IPD,0.88,0.73,0.74,,,,,,,,
  opt oct12,IPDO,0.35,0.2,0.2,,,,,,,,
iShares Russell 2000  1:1,IRU,73.82,72.29,70.76,,,,,,,,
Karmelsonix Ltd opt jul11,KSXO,0.005,0.004,0.004,,,,,,,,
Little World Bev,LWB,2.7,2.6,2.35,,,,,,,,
Logicamms Ltd,LCM,1.09,1.05,1.07,,,,,,,,
MAC Services (The),MSL,2.75,2.65,2.55,,,,,,,,
Mystate Ltd,MYS,3.41,3.26,3.14,,,,,,,,
News Corp a nonvote,NWSLV,15.8,15.35,15.71,,,,,,,,
OceanaGold Corp cdi,OGC,2.71,2.59,2.46,,,,,,,,
Pro-Pac Packaging,PPG,0.385,0.34,0.33,,,,,,,,
Ramsay Health Care,RHC,13.27,13.08,12.66,,,,,,,,
Regis Res,RRL,0.995,0.94,0.895,,,,,,,,
  opt jan14,RRLO,0.6,0.59,0.53,,,,,,,,
RP Data Ltd,RPX,1.145,1.08,0.99,,,,,,,,
Seek Ltd,SEK,7.72,7.56,7.54,,,,,,,,
Seven Network   ,SEV,8.09,7.84,7.47,,,,,,,,
SMS Management,SMX,7.18,7.04,6.9,,,,,,,,
Taps Tr taps,TTXPA,100.049,99.9,99.749,,,,,,,,
The Reject Shop,TRS,16.29,16.01,16.17,,,,,,,,
Virgin Blue Hldgs,VBA,0.75,0.725,0.655,,,,,,,,
Western Plains Res,WPG,0.8,0.72,0.685,,,,,,,,
Westralian Gas & Pwr,WGP,0.043,0.036,0.037,,,,,,,,
Wild Acre Metals,WAC,0.23,0.225,-,,,,,,,,
Wotif Com Hldgs,WTF,7.85,7.55,7.64,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Axiom Prop,AXI,0.029,0.03,0.03,,,,,,,,
EFTEL Ltd,EFT,0.018,0.019,0.021,,,,,,,,
Engin Ltd,ENG,0.46,0.65,0.61,,,,,,,,
Frankland River,FLR,0.022,0.025,0.025,,,,,,,,
Gascoyne Res Ltd,GCY,0.093,0.1,0.105,,,,,,,,
General Min Corp,GMM,0.145,0.15,0.15,,,,,,,,
Geodynamics Ltd,GDY,0.635,0.66,0.68,,,,,,,,
Goldminex Res,GMX,0.25,0.285,0.3,,,,,,,,
Integrated Legal,IAW,0.11,0.12,0.12,,,,,,,,
iSOFT Group Ltd,ISF,0.49,0.53,0.515,,,,,,,,
Kuth Energy Ltd,KEN,0.09,0.115,0.092,,,,,,,,
Marion Energy,MAE,0.048,0.055,0.064,,,,,,,,
Metal Storm Ltd,MST,0.014,0.015,0.017,,,,,,,,
Minerals Corp 10.5%db11,MSCHF,0.66,0.75,0.675,,,,,,,,
Navigator Res,NAV,0.115,0.12,0.12,,,,,,,,
Nexbis Ltd,NBS,0.14,0.145,0.15,,,,,,,,
ORH Ltd,ORH,0.031,0.032,0.032,,,,,,,,
Papyrus Aust,PPY,0.33,0.35,0.39,,,,,,,,
Redflex Hldgs,RDF,1.68,1.745,1.88,,,,,,,,
Sthn Cross Expl ctg,SXXCA,0.005,0.01,0.01,,,,,,,,
Victorian Gold Mines,VGM,0.12,0.15,0.15,,,,,,,,
Viridis Clean stp,VIR,0.15,0.155,0.155,,,,,,,,
