Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4414.3 at 16:36 19/5/2010  Report at 19:05 Wednesday 19/5/2010. Processed 19:06 Wednesday 19/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
1300 Smiles Ltd,ONT,3.05,2.96,2.9,,,,,,,,
Alpha Financial Prod ser1frn12,AFPHA,34.15,33.5,31,,,,,,,,
Ammtec Ltd,AEC,3.26,2.74,2.94,,,,,,,,
ETFS Metals etfs pm,ETPMPM,113.5,113.47,104.34,,,,,,,,
ETFS Metals etfs gold,GOLD,140,135.64,124.52,,,,,,,,
Heartware Int Inc cdi,HIN,1.92,1.75,1.59,,,,,,,,
Midwinter Resourc,MWN,0.175,0.165,0.17,,,,,,,,
Siburan Res Ltd,SBU,0.24,-,-,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
A'asian Resour,ARH,0.28,0.32,0.425,,,,,,,,
Aii200finxareit etf unt,FIX,5.18,5.83,5.83,,,,,,,,
Alesco Corp,ALS,2.37,2.71,2.92,,,,,,,,
Allied Brands Ltd,ABQ,0.079,0.09,0.093,,,,,,,,
Arafura Pearls,APB,0.012,0.015,0.018,,,,,,,,
Arafura Resource,ARU,0.43,0.49,0.58,,,,,,,,
Becton Prop Grp stp,BEC,0.05,0.06,0.071,,,,,,,,
Bluglass Ltd,BLG,0.09,0.105,0.11,,,,,,,,
Boart Longyear def,BLYDA,2.95,3.35,-,,,,,,,,
Boom Logistics,BOL,0.25,0.29,0.285,,,,,,,,
Breakaway Res,BRW,0.045,0.047,0.05,,,,,,,,
Brumby Res opt sep11,BMYOA,0.06,0.07,0.1,,,,,,,,
Carnarvon Pet,CVN,0.325,0.365,0.415,,,,,,,,
Coffey Intl,COF,1.055,1.15,1.25,,,,,,,,
Contl Coal Ltd,CCC,0.038,0.046,0.048,,,,,,,,
East Coast Min,ECM,0.031,0.035,0.045,,,,,,,,
EFTEL Ltd,EFT,0.008,0.009,0.018,,,,,,,,
Emerald Oil & Gas,EMR,0.024,0.029,0.033,,,,,,,,
Eneabba Gas Ltd,ENB,0.125,0.13,0.16,,,,,,,,
Global Resource,GRF,1.59,1.62,1.67,,,,,,,,
Greater Bendigo Gold,GBM,0.022,0.023,0.025,,,,,,,,
Greenearth Energy,GER,0.086,0.105,0.11,,,,,,,,
Gunns Ltd,GNS,0.405,0.465,0.48,,,,,,,,
  forests,GNSPA,53.5,60,54.7,,,,,,,,
Hot Rock Ltd,HRL,0.078,0.09,0.089,,,,,,,,
Imugene Ltd,IMU,0.041,0.045,0.043,,,,,,,,
Intoll Grp stp,ITO,1.04,1.09,1.08,,,,,,,,
Kagara Ltd,KZL,0.575,0.65,0.755,,,,,,,,
Liberty Resource,LBY,0.065,0.077,0.087,,,,,,,,
Mantle Min Corp opt dec10,MNMOA,0.002,0.006,0.006,,,,,,,,
Marengo Min,MGO,0.096,0.1,0.11,,,,,,,,
Mastermyne Grp,MYE,0.9,1,-,,,,,,,,
Metal Storm Ltd,MST,0.01,0.011,0.012,,,,,,,,
Metgasco Ltd,MEL,0.33,0.38,0.46,,,,,,,,
Neptune Marine,NMS,0.26,0.3,0.335,,,,,,,,
  opt dec10,NMSO,0.1,0.145,0.16,,,,,,,,
Nufarm Ltd,NUF,6.14,6.24,7.034,,,,,,,,
Penrice Soda,PSH,0.43,0.46,0.515,,,,,,,,
Petratherm Ltd,PTR,0.165,0.175,0.215,,,,,,,,
Photon Grp Ltd,PGA,0.94,0.98,1.07,,,,,,,,
Po Valley Energy,PVE,0.27,0.295,0.35,,,,,,,,
Prime Retirement unt,PTN,0.059,0.064,0.072,,,,,,,,
Red Fork Energy,RFE,0.46,0.56,0.635,,,,,,,,
Redbank Copper,RCP,0.042,0.047,0.046,,,,,,,,
Rivercity Motorway stp,RCY,0.045,0.051,0.084,,,,,,,,
Runge Ltd,RUL,0.425,0.485,0.63,,,,,,,,
Russell High Div Etf etf unt,RDV,24.33,25.28,-,,,,,,,,
Santos Ltd,STO,12.12,12.65,13.51,,,,,,,,
Shree Min Ltd,SHH,0.12,0.15,0.155,,,,,,,,
Sino Gas Energy,SEH,0.035,0.046,0.072,,,,,,,,
Sun Res NL,SUR,0.052,0.057,0.059,,,,,,,,
Superwoman Grp,SPG,0.002,0.007,0.008,,,,,,,,
Territory Uranium,TUC,0.07,0.073,0.087,,,,,,,,
Teys Ltd,TYS,0.002,0.006,0.005,,,,,,,,
Toro Energy Ltd,TOE,0.093,0.098,0.11,,,,,,,,
Torrens Energy,TEY,0.11,0.125,0.2,,,,,,,,
Tri Origin Min,TRO,0.065,0.081,0.1,,,,,,,,
Triton Gold Ltd opt dec13,TONO,0.03,0.052,0.064,,,,,,,,
Uranium Explore,UXA,0.037,0.041,0.053,,,,,,,,
Westralian Gas & Pwr,WGP,0.016,0.018,0.022,,,,,,,,
Willmott Forests,WFL,0.28,0.285,0.34,,,,,,,,
