Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4677.1 at 16:38 20/9/2010  Report at 19:05 Monday 20/9/2010. Processed 19:16 Monday 20/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adamus Res,ADU,0.7,0.69,0.6,,,,,,,,
AGL Energy Ltd,AGK,16.15,16.07,15.6,,,,,,,,
Altera Res Ltd,AEA,0.37,0.34,0.32,,,,,,,,
Astra Capital Ltd,AKR,0.89,0.86,0.8,,,,,,,,
Aurora Oil & Gas,AUT,1.3,1.295,1.17,,,,,,,,
Azumah Res,AZM,0.74,0.715,0.61,,,,,,,,
Bank of Qld pref,BOQPC,94.2,93.5,91,,,,,,,,
Base Res Ltd,BSE,0.205,0.2,0.14,,,,,,,,
Bendigo & Adelaide pref,BENPA,105,103.5,103,,,,,,,,
Bradken Ltd,BKN,8.5,8.29,8,,,,,,,,
Breville Grp Ltd,BRG,2.63,2.6,2.5,,,,,,,,
Capital Min,CMY,0.09,0.058,0.04,,,,,,,,
  opt jul11,CMYOA,0.037,0.018,0.015,,,,,,,,
Carbine Res,CRB,0.41,0.375,0.34,,,,,,,,
Carindale Prop unt,CDP,4.43,4.35,4.25,,,,,,,,
Catalpa Res,CAH,2.15,2.08,1.635,,,,,,,,
Cedar Woods Prop,CWP,2.9,2.88,2.71,,,,,,,,
CGA Min Ltd,CGX,3,2.91,2.3,,,,,,,,
Chesser Res,CHZ,0.56,0.51,0.44,,,,,,,,
Clancy Explore opt jul13,CLYO,0.029,0.028,0.025,,,,,,,,
Coalspur Mines,CPL,1.01,0.955,0.835,,,,,,,,
  opt jun11,CPLO,0.9,0.85,0.77,,,,,,,,
Codan Ltd,CDA,1.59,1.47,1.58,,,,,,,,
C'wlth Bank  of Aust  perls v,CBAPA,211.99,211.79,209.1,,,,,,,,
Decmil Grp Ltd,DCG,2.31,2.21,1.78,,,,,,,,
Discovery Metals,DML,1.055,1.05,0.98,,,,,,,,
Elemental Min,ELM,0.745,0.685,0.45,,,,,,,,
  opt jan12,ELMO,0.5,0.45,0.25,,,,,,,,
Elixir Pet Ltd,EXR,0.074,0.065,0.072,,,,,,,,
Embelton Ltd,EMB,5.25,5.249,5.15,,,,,,,,
Equatorial Res,EQX,0.88,0.83,0.5,,,,,,,,
European Gas,EPG,0.395,0.375,0.25,,,,,,,,
