Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:13 Wednesday 1/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adamus Res,ADU,0.61,0.6,0.6,,,,,,,,
Amcbf One,AKS,105,104,104,,,,,,,,
Ampella Min,AMX,1.99,1.81,1.95,,,,,,,,
Andean Res Ltd,AND,5.04,4.53,4.97,,,,,,,,
Aust Vintage Ltd,AVG,0.395,0.36,0.365,,,,,,,,
Avoca Res,AVO,3.17,3.07,3.1,,,,,,,,
Azumah Res,AZM,0.62,0.525,0.61,,,,,,,,
Bank of Qld reset prf,BOQPA,103.04,102.5,102.91,,,,,,,,
Bathurst Res,BTU,0.285,0.26,0.27,,,,,,,,
Brookfield Bonds B 8.79%3m12,BZBHA,104,103,103.5,,,,,,,,
Cellnet Grp,CLT,0.34,0.32,0.33,,,,,,,,
Eldorado Gold cdi,EAU,22.3,21.79,22,,,,,,,,
European Gas,EPG,0.26,0.245,0.25,,,,,,,,
Forge Grp Ltd,FGE,3.65,3.5,3.5,,,,,,,,
Gazal Corp,GZL,1.73,1.64,1.72,,,,,,,,
Generator Income gennote2,GINHA,82,80.5,81,,,,,,,,
Gryphon Min Ltd,GRY,0.99,0.845,0.97,,,,,,,,
Gulf Mines Ltd opt jan13,GLMO,0.002,-,-,,,,,,,,
Invocare Ltd,IVC,6.73,6.35,6.49,,,,,,,,
Ludowici Ltd,LDW,3.4,3.2,3.3,,,,,,,,
MAC Services (The),MSL,2.94,2.81,2.92,,,,,,,,
Macq Telecom Gp,MAQ,6.4,5.98,6.32,,,,,,,,
Matrix C & E Ltd,MCE,4.77,4.41,4.6,,,,,,,,
Medic Vision Ltd,MVH,0.07,0.046,0.064,,,,,,,,
Minotaur Explore,MEP,0.38,0.31,0.33,,,,,,,,
Newcrest Min def x lgl,NCMN,37.99,-,36.7,,,,,,,,
Peak Res,PEK,0.23,0.185,0.215,,,,,,,,
Perseus Min Ltd,PRU,2.91,2.9,2.9,,,,,,,,
Sphere Min Ltd,SPH,2.51,2.5,2.5,,,,,,,,
Tanami Gold NL def,TAMDA,0.735,0.59,0.675,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
AJ Lucas Grp,AJL,1.82,1.88,1.88,,,,,,,,
Alcoa Inc cdi,AAI,11.5,12.48,12.48,,,,,,,,
ASK Funding Ltd,AKF,0.2,0.21,0.21,,,,,,,,
Becton Prop Grp stp,BEC,0.036,0.058,0.056,,,,,,,,
Benitec Ltd,BLT,0.022,0.023,0.023,,,,,,,,
Buru Energy opt oct10,BRUO,0.002,0.003,0.003,,,,,,,,
Carnavale Res opt feb13,CAVO,0.02,0.021,0.021,,,,,,,,
Cauldron Energy,CXU,0.205,0.22,0.215,,,,,,,,
Central Pet,CTP,0.048,0.055,0.053,,,,,,,,
  opt mar14,CTPO,0.019,0.022,0.021,,,,,,,,
Challenger Infra stp,CIF,1.22,1.23,1.225,,,,,,,,
Emergent Res opt sep10,EMGO,0.075,0.17,0.09,,,,,,,,
Enerji Ltd,ERJ,0.016,0.018,0.017,,,,,,,,
Enviromission Ltd,EVM,0.021,0.028,0.022,,,,,,,,
Every Day Mine Serv,EDS,0.022,0.05,0.048,,,,,,,,
EVZ Ltd,EVZ,0.06,0.077,0.07,,,,,,,,
Fox Res opt nov10,FXRO,0.004,0.005,0.005,,,,,,,,
Infomedia Ltd,IFM,0.215,0.23,0.225,,,,,,,,
Marenica Energy,MEY,0.069,0.07,0.07,,,,,,,,
Mayan Iron Corp,MYN,0.16,0.175,0.175,,,,,,,,
Metal Storm Ltd sec cn11,MSTGA,0.071,0.15,0.15,,,,,,,,
Modena Res Ltd,MDA,0.017,0.019,0.018,,,,,,,,
National Hire Grp,NHR,1.09,1.11,1.11,,,,,,,,
Neon Energy Ltd,NEN,0.092,0.097,0.097,,,,,,,,
NZ Oil & Gas ,NZO,0.895,0.92,0.9,,,,,,,,
Panax Geothermal opt dec11,PAXO,0.004,0.005,0.005,,,,,,,,
Phylogica Ltd,PYC,0.054,0.058,0.057,,,,,,,,
Probiotec Ltd,PBP,1.2,1.22,1.22,,,,,,,,
Rivercity Motorway stp,RCY,0.017,0.028,0.024,,,,,,,,
RMA Energy Ltd,RMT,0.03,0.035,0.033,,,,,,,,
Scotgold Res,SGZ,0.045,0.049,0.047,,,,,,,,
Stratatel Ltd,STE,0.035,0.04,0.04,,,,,,,,
Strike Res,SRK,0.41,0.45,0.45,,,,,,,,
Synergy Metals opt aug11,SMLO,0.001,0.003,0.003,,,,,,,,
Valad Prop forus,VPG,0.076,0.082,0.08,,,,,,,,
Virax Hldgs,VHL,0.026,0.029,0.027,,,,,,,,
