Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4404.1 at 16:38 27/8/2010  Report at 19:05 Friday 27/8/2010. Processed 11:30 Saturday 28/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Ainsworth Game Tech 10% cn11,AGIG,0.99,0.93,0.9,,,,,,,,
Andean Res Ltd,AND,4.53,4.52,3.88,,,,,,,,
ARB Corp,ARP,6.55,6.31,5.98,,,,,,,,
Aust Education unt,AEU,0.68,0.67,0.61,,,,,,,,
Bathurst Res,BTU,0.26,0.245,0.255,,,,,,,,
Breville Grp Ltd,BRG,2.5,2.18,2.22,,,,,,,,
Credit Suisse Pl100 unt,CSW,0.96,0.945,0.95,,,,,,,,
Dexion Ltd,DEX,0.8,0.795,0.79,,,,,,,,
Eldorado Gold cdi,EAU,21.79,20.76,21.2,,,,,,,,
Fairfax Media Ltd pref,FXJPB,95.5,90,89.85,,,,,,,,
Healthscope Ltd,HSP,6.15,6.14,6.05,,,,,,,,
Lihir Gold Ltd,LGL,4.51,4.46,4.38,,,,,,,,
Macq Telecom Gp,MAQ,5.98,5.65,5.35,,,,,,,,
Matrix C & E Ltd,MCE,4.41,4.16,2.85,,,,,,,,
Sihayo Gold Ltd,SIH,0.175,0.165,0.145,,,,,,,,
Tanami Gold NL def,TAMDA,0.59,-,-,,,,,,,,
Woolworths Ltd perp.frn,WOWHB,99.25,99.2,98.5,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
ADX Energy Ltd opt mar11,ADXO,0.02,0.034,0.06,,,,,,,,
AJ Lucas Grp,AJL,1.88,2,2.02,,,,,,,,
Alcoa Inc cdi,AAI,12.48,13.47,12.5,,,,,,,,
Alloy Res,AYR,0.018,0.02,0.02,,,,,,,,
Amcil Ltd,AMH,0.595,0.605,0.61,,,,,,,,
Aragon Res opt sep10,AAGO,0.001,0.006,0.01,,,,,,,,
Argo Invest,ARG,5.51,5.78,5.67,,,,,,,,
Bank of Qld,BOQ,9.68,10.08,9.74,,,,,,,,
Bell Financial Grp,BFG,0.815,0.84,0.83,,,,,,,,
Biotron Ltd,BIT,0.057,0.064,0.058,,,,,,,,
Bisalloy Steel,BIS,0.15,0.16,0.165,,,,,,,,
Careers Multilist,CGR,0.115,0.125,0.15,,,,,,,,
Carnavale Res opt feb13,CAVO,0.021,0.026,0.045,,,,,,,,
Central Pet opt mar14,CTPO,0.022,0.025,0.025,,,,,,,,
Challenger Infra stp,CIF,1.23,1.285,1.28,,,,,,,,
Customers Ltd,CUS,1.95,2.65,2.44,,,,,,,,
Djerriwarrh Invest,DJW,3.75,3.82,3.87,,,,,,,,
E & A Ltd,EAL,0.17,0.18,0.225,,,,,,,,
Enerji Ltd,ERJ,0.018,0.022,0.025,,,,,,,,
  opt dec16,ERJO,0.005,0.01,0.01,,,,,,,,
FYI Res Ltd opt jun12,FYIO,0.035,0.036,-,,,,,,,,
Hastie Grp Ltd,HST,1.26,1.45,1.36,,,,,,,,
Image Res NL,IMA,0.375,0.405,0.415,,,,,,,,
Integrated Research,IRI,0.33,0.38,0.37,,,,,,,,
Iron Road Ltd opt sep10,IRDO,0.21,0.265,0.23,,,,,,,,
Jumbuck Entertain,JMB,0.15,0.18,0.165,,,,,,,,
Milton Corp,MLT,15.35,15.55,15.55,,,,,,,,
Mirabela Nickel,MBN,1.645,1.8,1.955,,,,,,,,
Neptune Marine opt dec10,NMSO,0.05,0.08,0.081,,,,,,,,
Nexbis Ltd,NBS,0.066,0.082,0.077,,,,,,,,
Northern Min,NMI,0.046,0.06,0.07,,,,,,,,
Novogen Ltd,NRT,0.12,0.135,0.13,,,,,,,,
Orion Pet Ltd,OIP,0.04,0.047,0.048,,,,,,,,
Pac Environment,PEH,0.09,0.11,0.11,,,,,,,,
Phylogica Ltd,PYC,0.058,0.068,0.07,,,,,,,,
Prime Media Grp,PRT,0.525,0.66,0.7,,,,,,,,
RAM Res opt mar12,RMRO,0.004,0.005,0.005,,,,,,,,
Scandinavian Res,SCR,0.125,0.135,0.14,,,,,,,,
Sultan Corp,SSC,0.004,0.006,0.007,,,,,,,,
Telstra Corp,TLS,2.74,2.91,3.09,,,,,,,,
Valad Prop forus,VPG,0.082,0.093,0.083,,,,,,,,
Webster Ltd,WBA,0.32,0.34,0.34,,,,,,,,
WHL Energy Ltd,WHN,0.015,0.017,0.017,,,,,,,,
Xtek Ltd,XTE,0.021,0.024,0.025,,,,,,,,
