Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4250.6 at 16:35 5/7/2010  Report at 19:05 Monday 5/7/2010. Processed 11:35 Tuesday 6/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Advanced Share,ASW,0.535,0.51,0.51,,,,,,,,
Atomic Res,ATQ,0.195,0.19,0.185,,,,,,,,
Carnavale Res opt feb13,CAVO,0.2,0.195,0.195,,,,,,,,
Centennial Coal,CEY,5.95,4.67,4.88,,,,,,,,
North Queensland,NQM,0.375,0.275,0.29,,,,,,,,
Signature Cap Ltd,SGI,0.365,0.355,0.355,,,,,,,,
Trafford Res rts13juld,TRFR,0.05,0.005,0.005,,,,,,,,
Viagold Capital,VIA,0.475,0.46,0.45,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Alcoa Inc cdi,AAI,13.5,14,15.5,,,,,,,,
Alesco Corp,ALS,2.27,2.3,2.31,,,,,,,,
Aurora Sandringham ,AOD,0.97,0.975,0.98,,,,,,,,
AWE Ltd,AWE,1.605,1.705,1.72,,,,,,,,
Biota Hldgs,BTA,0.905,0.92,1.01,,,,,,,,
Bowen Energy Ltd,BWN,0.043,0.045,0.045,,,,,,,,
Brambles Ltd,BXB,5.31,5.36,5.36,,,,,,,,
Caledon Res cdi,CCD,0.445,0.5,0.495,,,,,,,,
Cauldron Energy,CXU,0.21,0.215,0.215,,,,,,,,
Dominion Min,DOM,2.42,2.55,2.63,,,,,,,,
Healthlinx Ltd opt dec13,HTXOA,0.05,0.055,0.055,,,,,,,,
Hill End Gold,HEG,0.094,0.095,0.095,,,,,,,,
Hutchison,HTA,0.088,0.09,0.09,,,,,,,,
Magma Metals Ltd,MMW,0.39,0.4,0.405,,,,,,,,
Millennium Min opt feb13,MOYOA,0.005,0.008,0.008,,,,,,,,
Monax Min Ltd opt nov11,MOXO,0.011,0.021,0.02,,,,,,,,
Northern Uranium opt sep12,NTUOA,0.015,0.025,0.025,,,,,,,,
  opt mar12,NTUOB,0.021,0.025,0.023,,,,,,,,
Paladin Energy,PDN,3.4,3.42,3.52,,,,,,,,
Panax Geothermal,PAX,0.059,0.076,0.076,,,,,,,,
  opt dec11,PAXO,0.012,0.014,0.013,,,,,,,,
Petratherm Ltd,PTR,0.125,0.135,0.14,,,,,,,,
QBE Insurance Grp,QBE,17.52,17.53,17.91,,,,,,,,
Red Sky Energy,ROG,0.01,0.011,0.011,,,,,,,,
Renaissance Min,RNS,0.185,0.19,0.19,,,,,,,,
Resource Star Ltd,RSL,0.055,0.061,0.061,,,,,,,,
Segue Res,SEG,0.017,0.018,0.018,,,,,,,,
Seven Grp Hldgs pref,SVWPA,75.8,76,76,,,,,,,,
Sims Metal Mgmt,SGM,15.86,16.25,16.34,,,,,,,,
Transfield Serv Infr stp,TSI,0.605,0.615,0.615,,,,,,,,
U308 Ltd,UTO,0.079,0.08,0.08,,,,,,,,
WDS Ltd,WDS,0.335,0.34,0.345,,,,,,,,
White Canyon Uranium,WCU,0.066,0.07,0.07,,,,,,,,
