Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:05 Friday 3/9/2010. Processed 17:35 Sunday 5/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
1300 Smiles Ltd,ONT,3.35,3.3,3.3,,,,,,,,
Adelaide Managed unt,AYT,1.54,1.465,1.465,,,,,,,,
Advanced Share,ASW,0.85,0.77,0.78,,,,,,,,
Aeris Environmental,AEI,0.175,0.12,0.14,,,,,,,,
Alkane Res Ltd,ALK,0.59,0.505,0.54,,,,,,,,
Ammtec Ltd,AEC,3.84,3.61,3.82,,,,,,,,
Ampella Min,AMX,2.15,1.81,1.95,,,,,,,,
Andean Res Ltd,AND,6.4,4.53,4.97,,,,,,,,
APA Grp stp,APA,3.99,3.75,3.79,,,,,,,,
Austin Engineer,ANG,3.85,3.63,3.69,,,,,,,,
Auzex Res opt feb12,AZXOA,0.035,-,-,,,,,,,,
Avoca Res,AVO,3.35,3.07,3.1,,,,,,,,
Azumah Res,AZM,0.665,0.525,0.61,,,,,,,,
Blackmores Ltd,BKL,25.39,24.92,24.92,,,,,,,,
Burey Gold Ltd opt jun11,BYRO,0.032,0.031,0.031,,,,,,,,
European Gas,EPG,0.265,0.245,0.25,,,,,,,,
Fairfax Media Ltd pref,FXJPB,97,95.5,96.5,,,,,,,,
Gryphon Min Ltd,GRY,1.06,0.845,0.97,,,,,,,,
Hastings Divers stp,HDF,1.485,1.39,1.4,,,,,,,,
Iluka Res,ILU,6.01,5.44,5.66,,,,,,,,
Integra Min Ltd,IGR,0.47,0.45,0.45,,,,,,,,
Intrepid Mines,IAU,0.91,0.8,0.83,,,,,,,,
Lonrho Min Ltd,LOM,0.04,0.034,0.036,,,,,,,,
  opt nov10,LOMOA,0.027,0.023,0.023,,,,,,,,
Lynas Corp,LYC,1.09,1.02,1.05,,,,,,,,
M2 Telecommun,MTU,2.1,1.81,2.05,,,,,,,,
Macq Atlas Roads stp,MQA,1.385,1.25,1.335,,,,,,,,
Macq Telecom Gp,MAQ,6.97,5.98,6.32,,,,,,,,
Metals X Ltd,MLX,0.175,0.155,0.165,,,,,,,,
Mineral Res,MIN,9.49,8.71,8.99,,,,,,,,
Newcrest Min def x lgl,NCMN,38.8,-,36.7,,,,,,,,
Noble Min Res opt jul13,NMGOA,0.089,0.071,0.08,,,,,,,,
OZ Minerals,OZL,1.385,1.25,1.275,,,,,,,,
PanAust Ltd,PNA,0.655,0.585,0.61,,,,,,,,
Papillon Res Ltd,PIR,0.3,0.29,0.29,,,,,,,,
Perseus Min Ltd,PRU,2.98,2.9,2.9,,,,,,,,
Regis Res,RRL,1.325,1.2,1.25,,,,,,,,
Scott Corp,SCC,0.4,0.395,0.395,,,,,,,,
Seymour Whyte Ltd,SWL,1.35,1.22,1.25,,,,,,,,
Shield Min,SHX,0.33,0.265,0.29,,,,,,,,
Sierra Min,SRM,0.17,0.16,0.16,,,,,,,,
Silver Lake Resource,SLR,2.3,2.19,2.23,,,,,,,,
Sphere Min Ltd,SPH,2.64,2.5,2.5,,,,,,,,
Summit Res,SMM,2.6,2.55,2.55,,,,,,,,
Super Cheap Auto ,SUL,6.08,5.79,5.88,,,,,,,,
Tanami Gold NL def,TAMDA,0.875,0.59,0.675,,,,,,,,
Trafalgar Corp stp,TGP,1.035,1.02,1.025,,,,,,,,
Viagold Capital,VIA,1.3,1.2,1.2,,,,,,,,
Waterco Ltd,WAT,1.17,1.1,1.1,,,,,,,,
Wesfarmers Ltd,WES,33.75,32.07,32.28,,,,,,,,
  part prot,WESN,34.01,32.34,32.55,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
A'asia Cons Ltd opt apr13,AAOO,0.011,0.016,0.016,,,,,,,,
Aacl Hldgs Ltd,AAY,0.03,0.06,0.05,,,,,,,,
Amcbf Two,AKT,100,102,101.95,,,,,,,,
Atcor Medical,ACG,0.081,0.105,0.105,,,,,,,,
Becton Prop Grp 9.5% cn12,BECG,0.29,0.36,0.332,,,,,,,,
Biotron Ltd opt dec11,BITO,0.007,0.01,0.008,,,,,,,,
Cbio Ltd,CBZ,0.19,0.21,0.195,,,,,,,,
Dyesol Ltd,DYE,0.75,0.775,0.77,,,,,,,,
Genetic Tech,GTG,0.026,0.03,0.028,,,,,,,,
Hyro Ltd,HYO,0.015,0.02,0.016,,,,,,,,
Island Sky Aust,ISK,0.02,0.025,0.022,,,,,,,,
Kathmandu Hldgs,KMD,1.245,1.25,1.25,,,,,,,,
Kip McGrath Edu Cntr,KME,0.25,0.3,0.27,,,,,,,,
Lincoln Min,LML,0.185,0.2,0.2,,,,,,,,
Nufarm Finance (Nz) exc.nov11,NFNG,53,56.01,56.01,,,,,,,,
Probiotec Ltd,PBP,1.19,1.22,1.22,,,,,,,,
Prophecy Intl ,PRO,0.28,0.3,0.29,,,,,,,,
Rivercity Motorway stp,RCY,0.016,0.028,0.024,,,,,,,,
