Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4702.7 at 16:39 15/9/2010  Report at 19:05 Wednesday 15/9/2010. Processed 19:07 Wednesday 15/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adelaide Brighton,ABC,3.46,3.37,3.435,,,,,,,,
AGL Energy Ltd,AGK,15.82,15.7,15.6,,,,,,,,
Altura Min Ltd opt aug11,AJMOA,0.055,0.04,-,,,,,,,,
Ammtec Ltd,AEC,4.08,3.9,3.82,,,,,,,,
Ampella Min,AMX,2.6,2.48,1.95,,,,,,,,
Auzex Res,AZX,0.325,0.295,0.25,,,,,,,,
  opt feb12,AZXOA,0.145,0.13,-,,,,,,,,
Azumah Res,AZM,0.68,0.655,0.61,,,,,,,,
Bank of Qld reset prf,BOQPA,104.06,103.95,102.91,,,,,,,,
Beadell Resource,BDR,0.405,0.38,0.295,,,,,,,,
Blackmores Ltd,BKL,26.4,26.3,24.92,,,,,,,,
Bradken Ltd,BKN,8.25,7.89,8,,,,,,,,
Burey Gold Ltd,BYR,0.135,0.12,0.084,,,,,,,,
  opt jun11,BYRO,0.075,0.063,0.031,,,,,,,,
Catalpa Res,CAH,2.08,1.96,1.635,,,,,,,,
  opt oct11,CAHOB,0.92,0.85,0.63,,,,,,,,
CGA Min Ltd,CGX,2.64,2.51,2.3,,,,,,,,
C'wlth Bank  of Aust  perls v,CBAPA,211.79,209.95,209.1,,,,,,,,
Data#3 Ltd,DTL,9.7,9.65,9.23,,,,,,,,
Dexus Rents Tr rents,DXRPA,89.95,88.99,87.7,,,,,,,,
Eagle Nickel Ltd,ENL,0.083,0.08,0.06,,,,,,,,
Elemental Min opt jan12,ELMO,0.35,0.25,0.25,,,,,,,,
Embelton Ltd,EMB,5.3,5.2,5.2,,,,,,,,
European Gas,EPG,0.325,0.295,0.25,,,,,,,,
Exco Res Ltd,EXS,0.55,0.525,0.54,,,,,,,,
Fleetwood Corp,FWD,10.28,10.2,10.13,,,,,,,,
Flight Centre,FLT,23.32,22.94,19.92,,,,,,,,
Gloucester Coal,GCLN,9.8,9.6,9.45,,,,,,,,
Gryphon Min Ltd,GRY,1.35,1.18,0.97,,,,,,,,
Healthscope Ltd,HSP,6.22,6.16,6.2,,,,,,,,
Imdex Ltd,IMD,0.985,0.92,0.89,,,,,,,,
Integra Min Ltd,IGR,0.54,0.535,0.45,,,,,,,,
Legend Corp,LGD,0.24,0.23,0.23,,,,,,,,
Macq Atlas Roads stp,MQA,1.47,1.445,1.335,,,,,,,,
Mastermyne Grp,MYE,1.27,1.19,1.165,,,,,,,,
McMillan Shakespeare,MMS,7.15,6.97,6.45,,,,,,,,
Metals X Ltd,MLX,0.225,0.2,0.165,,,,,,,,
Myer Hldgs Ltd,MYR,3.99,3.92,3.81,,,,,,,,
Navigator Res,NAV,0.245,0.225,0.18,,,,,,,,
  opt nov11,NAVO,0.085,0.065,0.055,,,,,,,,
Newcrest Min,NCM,40.09,39.82,37.25,,,,,,,,
  def x lgl,NCMN,40.02,39.8,36.7,,,,,,,,
Noble Min Res opt jul11,NMGO,0.089,0.065,0.045,,,,,,,,
  opt jul13,NMGOA,0.13,0.105,0.08,,,,,,,,
Northern Star,NST,0.16,0.12,0.11,,,,,,,,
OceanaGold Corp cdi,OGC,4.17,3.87,3.57,,,,,,,,
Orion Metals Ltd,ORM,0.245,0.15,0.06,,,,,,,,
  opt feb11,ORMO,0.105,0.045,0.01,,,,,,,,
OZ Minerals,OZL,1.48,1.425,1.275,,,,,,,,
Pac Niugini Ltd,PNR,0.29,0.27,0.25,,,,,,,,
Papillon Res Ltd,PIR,0.335,0.29,0.29,,,,,,,,
  opt dec12,PIROA,0.165,0.125,0.135,,,,,,,,
Perseus Min Ltd,PRU,3.1,3.07,2.9,,,,,,,,
Primeag Aust,PAG,1.315,1.26,1.3,,,,,,,,
Prosperity Res,PSP,0.225,0.22,0.15,,,,,,,,
Provet Hldgs Ltd,PVT,1.6,1.52,1.45,,,,,,,,
QED Occtech Ltd,QED,0.049,0.02,0.02,,,,,,,,
Ramelius Res,RMS,0.915,0.79,0.69,,,,,,,,
