Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4596.9 at 16:34 29/1/2010  Report at 19:05 Friday 29/1/2010. Processed 19:43 Friday 29/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Amcom Telecomm,AMM,0.345,0.32,0.28,,,,,,,,
Anchor Res,AHR,0.26,0.22,0.18,,,,,,,,
Astro Res NL opt nov12,AROOB,0.006,0.004,0.003,,,,,,,,
Aust Power,APK,0.41,0.355,0.355,,,,,,,,
Bendigo & Adelaide pref,BENPB,89.5,84.99,85,,,,,,,,
Desert Energy,DSN,0.18,0.165,0.115,,,,,,,,
Fairfax Media Ltd pref,FXJPB,90.3,89.2,88,,,,,,,,
Fall River Res cdi,FRV,0.035,0.01,0.01,,,,,,,,
Generator Income gennote2,GINHA,65,60,53,,,,,,,,
Globe Sec,GTI,0.05,0.04,0.04,,,,,,,,
Hansen Tech,HSN,0.765,0.68,0.68,,,,,,,,
Heartware Int Inc cdi 35:1,HIN,1.18,1.14,1.17,,,,,,,,
Kresta Hldgs,KRS,0.33,0.255,0.22,,,,,,,,
Macq Atlas Roads Grp def,MQA,0.96,-,-,,,,,,,,
Mantra Res,MRU,5.81,5.1,4.75,,,,,,,,
Montec Intl,MTI,0.012,0.007,0.008,,,,,,,,
Nexus Bonds Ltd nexus3,NXBHC,93,85.1,80,,,,,,,,
PaperlinX Sps Tr pref,PXUPA,62.5,61.001,58.75,,,,,,,,
Reckon Ltd,RKN,2.02,2.01,1.88,,,,,,,,
Regis Reources opt oct12,RRLOB,0.15,0.1,0.1,,,,,,,,
Schaffer Corp Ltd,SFC,6.73,6.7,6.5,,,,,,,,
Smarttrans Hldgs,SMA,0.063,0.005,0.008,,,,,,,,
Starpharma Hldgs,SPL,0.735,0.68,0.715,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Aurora Sandringham ,AOD,1.02,1.04,1.045,,,,,,,,
Aust Leaders opt nov10,ALFO,0.04,0.052,0.046,,,,,,,,
Aust Oriental,AOM,0.003,0.004,0.004,,,,,,,,
Cardia Bioplastics opt jun11,CNNO,0.002,0.003,0.004,,,,,,,,
Central Pet opt jun10,CTPOA,0.01,0.016,0.022,,,,,,,,
Citigold Corp Ltd,CTO,0.1,0.125,0.125,,,,,,,,
Dominion Min,DOM,2.96,3.31,3.36,,,,,,,,
Envirogold Ltd opt dec11,EVGO,0.019,-,-,,,,,,,,
Esperance,ESM,0.051,0.1,-,,,,,,,,
Goldminex Res,GMX,0.43,0.45,0.455,,,,,,,,
iShares Glb Telco cdi 1:1,IXP,58.28,61.74,61.19,,,,,,,,
Metal Storm Ltd,MST,0.017,0.019,0.019,,,,,,,,
Minerals Corp 10.5%db11,MSCHF,0.7,0.8,-,,,,,,,,
Mithril Res opt sep11,MTHO,0.061,0.065,0.093,,,,,,,,
Myer Hldgs Ltd,MYR,3.17,3.43,3.63,,,,,,,,
Oilex Ltd,OEX,0.105,0.15,0.155,,,,,,,,
Overseas & Gen cdi,OGL,0.04,0.05,0.06,,,,,,,,
Sinovus Min Ltd,SNV,0.029,0.036,0.04,,,,,,,,
Tatts Grp Ltd,TTS,2.3,2.4,2.33,,,,,,,,
Viterra Inc cdi 1:1,VTA,9.84,10.45,9.89,,,,,,,,
Winchester Res,WCR,0.2,0.205,0.205,,,,,,,,
