Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4694.9 at 16:36 1/3/2010  Report at 19:05 Monday 1/3/2010. Processed 19:37 Monday 1/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Altera Res Ltd,AEA,0.225,0.19,0.19,,,,,,,,
Anvil Min cdi,AVM,4,3.94,3.94,,,,,,,,
Athena Res opt apr12,AHNOA,0.03,0.023,0.023,,,,,,,,
AUS Gov Index Fund,AQF,1.7,1.68,1.68,,,,,,,,
Carbine Res,CRB,0.175,0.17,0.17,,,,,,,,
Cougar Energy,CXY,0.13,0.125,0.125,,,,,,,,
Frontier Res,FNT,0.068,0.025,0.03,,,,,,,,
  opt dec10,FNTO,0.02,0.009,0.009,,,,,,,,
Geopacific Res,GPR,0.1,0.076,0.076,,,,,,,,
Ideas Intl,IDE,0.32,0.3,0.3,,,,,,,,
IPGA Ltd,IPP,0.19,0.16,0.165,,,,,,,,
Kimberley Metals,KBL,0.21,0.2,0.2,,,,,,,,
Korab Res,KOR,0.4,0.37,0.37,,,,,,,,
MAC Services (The),MSL,2.6,2.55,2.55,,,,,,,,
Newport Min Ltd,NMN,0.255,0.25,0.25,,,,,,,,
Ramsay Health Care,RHC,12.9,12.66,12.66,,,,,,,,
Regis Res,RRL,0.94,0.895,0.895,,,,,,,,
  opt jan14,RRLO,0.59,0.53,0.53,,,,,,,,
RP Data Ltd,RPX,1.035,0.99,0.99,,,,,,,,
Run Corp Ltd,RNC,0.055,0.05,0.05,,,,,,,,
Seven Network   ,SEV,7.72,7.47,7.47,,,,,,,,
SMS Management,SMX,6.97,6.9,6.9,,,,,,,,
Sundance Energy,SEA,0.19,0.17,0.17,,,,,,,,
Warrnambool Cheese,WCB,4.52,4.51,4.51,,,,,,,,
Wesfarmers Ltd,WES,32.62,32.5,32.5,,,,,,,,
  part prot,WESN,32.65,32.5,32.5,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Atcor Medical,ACG,0.15,0.155,0.155,,,,,,,,
Authorised Invest,AIY,0.008,0.03,0.03,,,,,,,,
Carnegie Wave Energy,CWE,0.1,0.105,0.105,,,,,,,,
Circadian Tech,CIR,0.535,0.54,0.54,,,,,,,,
EFTEL Ltd,EFT,0.019,0.023,0.021,,,,,,,,
Gascoyne Res Ltd,GCY,0.1,0.105,0.105,,,,,,,,
Greencap Ltd,GCG,0.099,0.115,0.115,,,,,,,,
Innamincka Pet,INP,0.105,0.125,0.12,,,,,,,,
Laserbond Ltd,LBL,0.062,0.071,0.071,,,,,,,,
Marion Energy,MAE,0.06,0.064,0.064,,,,,,,,
Pan Pacific Pet,PPP,0.25,0.28,0.28,,,,,,,,
Papyrus Aust,PPY,0.37,0.39,0.39,,,,,,,,
Redflex Hldgs,RDF,1.845,1.88,1.88,,,,,,,,
Reverse Corp Ltd,REF,0.205,0.265,0.265,,,,,,,,
Sino Gas Energy opt dec11,SEHOA,0.002,0.005,0.005,,,,,,,,
Souls Private Equity optfeb15d,SOEOA,0.008,0.013,0.013,,,,,,,,
Structural Systems,STS,0.57,0.6,0.6,,,,,,,,
Winchester Res,WCR,0.16,0.165,0.165,,,,,,,,
