Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4960.3 at 16:34 8/4/2010  Report at 19:05 Thursday 8/4/2010. Processed 19:49 Thursday 8/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Advanced Energy,AES,0.125,0.12,0.12,,,,,,,,
Aii200res etf unt,RSR,5.58,5.56,5.47,,,,,,,,
Altera Res Ltd,AEA,0.3,0.26,0.26,,,,,,,,
Ampella Min,AMX,1.525,1.33,1.39,,,,,,,,
  opt jul10,AMXO,1.22,1.12,1.15,,,,,,,,
ANZ Banking Grp pref,ANZPA,103.14,102,101.75,,,,,,,,
Aurora Oil & Gas,AUT,0.5,0.475,0.475,,,,,,,,
Ausdrill Ltd,ASL,2.3,2.256,2.256,,,,,,,,
Austereo Grp Ltd,AEO,1.79,1.77,1.71,,,,,,,,
Azumah Res,AZM,0.435,0.39,0.39,,,,,,,,
Bandanna Energy,BND,0.97,0.815,0.7,,,,,,,,
Burleson Energy opt aug10,BURO,0.017,0.015,0.015,,,,,,,,
Carbine Res,CRB,0.34,0.3,0.32,,,,,,,,
Chesser Res,CHZ,0.295,0.21,0.21,,,,,,,,
C'wlth Bank  of Aust  perls iv,CBAPB,195,194.1,194,,,,,,,,
Diversified United,DUI,3.53,3.38,3.38,,,,,,,,
DSF Intl,DSF,0.024,0.01,0.012,,,,,,,,
Early Learning Serv,ELY,0.65,0.55,0.51,,,,,,,,
Globe Sec,GTI,0.1,0.09,0.09,,,,,,,,
Gloucester Coal,GCL,11.98,10.2,10.35,,,,,,,,
Gryphon Min Ltd,GRY,0.7,0.585,0.585,,,,,,,,
iiNet Ltd,IIN,2.96,2.8,2.8,,,,,,,,
Iluka Res,ILU,4.81,4.55,4.52,,,,,,,,
IPGA Ltd,IPP,0.375,0.32,0.32,,,,,,,,
iShares MSCI BRIC  1:1,IBK,53.98,50.97,50.88,,,,,,,,
Kathmandu Hldgs,KMD,1.93,1.9,1.925,,,,,,,,
Logicamms Ltd,LCM,1.1,1.02,1.09,,,,,,,,
Macmahon Hldgs,MAH,0.885,0.745,0.81,,,,,,,,
Magellan Flagship,MFF,0.685,0.67,0.67,,,,,,,,
Medusa Min Ltd,MML,4.2,4,4.05,,,,,,,,
Metrocoal Ltd,MTE,0.37,0.22,0.21,,,,,,,,
Northern Energy,NEC,1.55,1.345,1.33,,,,,,,,
Northwest Res,NWR,0.1,0.062,0.063,,,,,,,,
Nucoal Res NL,NCR,0.32,0.26,0.27,,,,,,,,
Oil Basins Ltd opt jun12,OBLOA,0.032,0.022,0.027,,,,,,,,
Papillon Res Ltd opt dec12,PIROA,0.04,0.033,0.033,,,,,,,,
Paragon Care Ltd,PGC,0.038,0.033,0.035,,,,,,,,
  opt may12,PGCOA,0.018,0.014,0.014,,,,,,,,
Rabinov Prop Tr unt,RBV,0.65,0.61,0.61,,,,,,,,
Riversdale Min,RIV,9.87,9.43,9.43,,,,,,,,
Saunders Intl Ltd,SND,0.42,0.39,0.39,,,,,,,,
Sth Boulder Mines,STB,0.72,0.475,0.475,,,,,,,,
Texon Pet Ltd,TXN,0.52,0.445,0.445,,,,,,,,
Tribune Res NL,TBR,1.25,1.2,1.15,,,,,,,,
Village Roadshow 'a' pref,VRLPA,2.61,2.43,2.4,,,,,,,,
Westside Corp,WCL,0.785,0.555,0.585,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Antisense Therapeutic,ANP,0.016,0.02,0.021,,,,,,,,
Arafura Pearls,APB,0.018,0.019,0.019,,,,,,,,
Elementos Ltd,ELT,0.17,0.19,0.19,,,,,,,,
Longreach Oil Ltd,LGO,0.007,0.01,0.008,,,,,,,,
Miclyn Exp Offshr,MIO,1.68,1.75,1.75,,,,,,,,
Mintails Ltd,MLI,0.027,0.029,0.029,,,,,,,,
Questus Ltd,QSS,0.06,0.072,0.071,,,,,,,,
Reverse Corp Ltd,REF,0.155,0.16,0.16,,,,,,,,
Rivercity Motorway stp,RCY,0.094,0.125,0.15,,,,,,,,
Viridis Clean stp,VIR,0.064,0.081,0.086,,,,,,,,
