Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4983.2 at 16:35 7/4/2010  Report at 19:05 Wednesday 7/4/2010. Processed 19:09 Wednesday 7/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adelaide Managed unt,AYT,1.52,1.34,1.36,,,,,,,,
Altera Res Ltd,AEA,0.285,0.26,0.26,,,,,,,,
Ampella Min,AMX,1.41,1.33,1.39,,,,,,,,
  opt jul10,AMXO,1.18,1.12,1.15,,,,,,,,
ANZ Banking Grp pref,ANZPA,102.9,102,101.75,,,,,,,,
Atlas Iron Ltd,AGO,2.93,2.6,2.55,,,,,,,,
Aurox Res,AXO,0.93,0.84,0.81,,,,,,,,
  7%cnjun10,AXOG,0.953,0.95,0.95,,,,,,,,
Ausdrill Ltd,ASL,2.29,2.256,2.256,,,,,,,,
Austin Engineer,ANG,3.5,3.26,3.26,,,,,,,,
Bandanna Energy,BND,0.87,0.815,0.7,,,,,,,,
Batavia Min opt jun12,BTVO,0.125,0.12,0.1,,,,,,,,
BC Iron Ltd,BCI,1.82,1.69,1.65,,,,,,,,
Blackmores Ltd,BKL,23.2,22.45,22.35,,,,,,,,
Brumby Res,BMY,0.235,0.19,0.19,,,,,,,,
  opt sep11,BMYOA,0.14,0.12,0.12,,,,,,,,
Chesser Res,CHZ,0.27,0.21,0.21,,,,,,,,
Coalworks Ltd,CWK,0.5,0.375,0.37,,,,,,,,
C'wlth Bank  of Aust  perls iv,CBAPB,194.99,194.1,194,,,,,,,,
Computershare Ltd,CPU,12.9,12.8,12.8,,,,,,,,
CTI Logistics,CLX,1.135,1.1,0.94,,,,,,,,
Discovery Metals,DML,0.91,0.81,0.845,,,,,,,,
Domino Pizza Enterpr,DMP,5.8,5.46,5.58,,,,,,,,
Doray Min Ltd,DRM,1.1,0.775,0.7,,,,,,,,
Early Learning Serv,ELY,0.62,0.55,0.51,,,,,,,,
Erongo Energy,ERN,0.085,0.08,0.08,,,,,,,,
ETFS Metals etfs pd,ETPMPD,54.3,49.18,52.56,,,,,,,,
  etfs pt,ETPMPT,185.57,178.52,177.06,,,,,,,,
FerrAus Ltd,FRS,1.17,1.1,1.15,,,,,,,,
Fleetwood Corp,FWD,9.5,9.15,9.1,,,,,,,,
Gindalbie Metals,GBG,1.335,1.28,1.28,,,,,,,,
Gloucester Coal,GCL,11.93,10.2,10.35,,,,,,,,
Grange Res,GRR,0.69,0.61,0.585,,,,,,,,
Gryphon Min Ltd,GRY,0.62,0.585,0.585,,,,,,,,
Gujarat Nre Coal,GNM,0.755,0.725,0.725,,,,,,,,
Heartware Int Inc cdi  35:1,HIN,1.42,1.4,1.39,,,,,,,,
Iluka Res,ILU,4.6,4.55,4.52,,,,,,,,
IPGA Ltd,IPP,0.37,0.32,0.32,,,,,,,,
iShares Russell 2000  1:1,IRU,75.97,75.5,75.86,,,,,,,,
iShares S&P MCap 400  1:1,IJH,87.28,86.05,86.69,,,,,,,,
Konekt Ltd,KKT,0.18,0.16,0.155,,,,,,,,
Linq Res Fund unt,LRF,0.76,0.71,0.66,,,,,,,,
Macmahon Hldgs,MAH,0.83,0.745,0.81,,,,,,,,
Medusa Min Ltd,MML,4.15,4,4.05,,,,,,,,
Mesa Min Ltd,MAS,0.13,0.12,0.11,,,,,,,,
Monadelphous Grp,MND,15.98,15.59,15.77,,,,,,,,
Mount Gibson Iron,MGX,2.03,1.985,1.985,,,,,,,,
New Hope Corp,NHC,5.4,5.24,5.24,,,,,,,,
Newport Min Ltd,NMN,0.55,0.51,0.48,,,,,,,,
