Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4936.8 at 16:37 22/4/2010  Report at 19:05 Thursday 22/4/2010. Processed 19:13 Thursday 22/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adelaide Managed unt,AYT,1.565,1.55,1.36,,,,,,,,
Alpha Financial Prod ser1frn12,AFPHA,31,28.5,25.5,,,,,,,,
ASG Grp Ltd,ASZ,1.475,1.41,1.38,,,,,,,,
Atlantic Ltd,ATI,0.064,0.049,0.033,,,,,,,,
  opt dec11,ATIO,0.051,0.038,0.023,,,,,,,,
Augustus Min,AUJ,0.47,0.45,0.37,,,,,,,,
  opt jul10,AUJO,0.215,-,-,,,,,,,,
Australand Prop stp  d,ALZDA,2.93,-,-,,,,,,,,
Automotive Hldgs,AHE,2.87,2.72,2.74,,,,,,,,
Avoca Res,AVO,2.37,2.23,2.05,,,,,,,,
Blackmores Ltd,BKL,23.72,23.6,22.35,,,,,,,,
Coalspur Mines,CPL,0.97,0.655,0.54,,,,,,,,
Cortona Res opt jan12,CRCO,0.145,0.13,0.08,,,,,,,,
CPI Grp Ltd,CPI,0.34,0.32,0.32,,,,,,,,
Eastern Iron,EFE,0.19,0.12,0.14,,,,,,,,
  opt dec10,EFEO,0.056,0.025,0.02,,,,,,,,
Equatorial Coal,EQX,0.061,0.03,0.03,,,,,,,,
FKP Prop Grp stp,FKP,0.875,0.81,0.775,,,,,,,,
Gladiator Res,GLA,0.525,0.415,0.48,,,,,,,,
Intrepid Mines,IAU,0.455,0.41,0.355,,,,,,,,
iShares Russell 2000  1:1,IRU,78.36,77.94,75.86,,,,,,,,
iShares S&P MCap 400  1:1,IJH,89.58,87.3,86.69,,,,,,,,
iShares S&P SCap 600  1:1,IJR,69.1,66.97,66.77,,,,,,,,
Leyshon Res,LRL,0.25,0.215,0.2,,,,,,,,
Matrix C & E Ltd,MCE,2.73,2.7,2.6,,,,,,,,
Medusa Min Ltd,MML,4.68,4.5,4.05,,,,,,,,
Metrocoal Ltd,MTE,0.39,0.34,0.21,,,,,,,,
Midas Res opt may11,MDSOB,0.04,0.03,0.015,,,,,,,,
Mount Magnet South,MUM,0.13,0.068,0.059,,,,,,,,
News Corp b voting,NWS,20.07,19.94,18.97,,,,,,,,
  a nonvote,NWSLV,17.38,17.22,16.13,,,,,,,,
Northern Energy,NEC,1.69,1.665,1.33,,,,,,,,
Oil Basins Ltd,OBL,0.074,0.067,0.053,,,,,,,,
Olympus Pacific Min  1:1,OYM,0.395,0.365,0.355,,,,,,,,
Papillon Res Ltd opt dec12,PIROA,0.051,0.045,0.033,,,,,,,,
QLD Min Corp opt may12,QMNO,0.035,0.033,-,,,,,,,,
Richfield Internat,RIS,0.082,0.078,0.078,,,,,,,,
Sierra Min,SRM,0.12,0.045,0.05,,,,,,,,
  opt dec10,SRMO,0.02,0.01,0.01,,,,,,,,
Tiaro Coal Ltd,TCM,0.41,0.33,0.31,,,,,,,,
Trojan Equity,TJN,0.525,0.515,0.52,,,,,,,,
Voyager Res opt sep11,VORO,0.01,-,-,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Aacl Hldgs Ltd,AAY,0.23,0.25,-,,,,,,,,
Alcoa Inc cdi,AAI,23.4,31,45.19,,,,,,,,
Becton Prop Grp stp,BEC,0.074,0.077,0.08,,,,,,,,
BPH Corp Ltd opt may10,BPHO,0.001,0.002,0.002,,,,,,,,
Diatreme Res,DRX,0.079,0.088,0.095,,,,,,,,
Energy Res,ERA,16.88,17.57,17.66,,,,,,,,
Global Nickel Invest opt jun12,GNIOA,0.008,0.01,0.014,,,,,,,,
Hitech Grp Aust,HIT,0.015,0.025,0.025,,,,,,,,
Mintails Ltd,MLI,0.024,0.025,0.029,,,,,,,,
Multistack Intl,MSI,0.002,0.003,0.003,,,,,,,,
Myer Hldgs Ltd,MYR,3.1,3.18,3.28,,,,,,,,
Northern Uranium,NTU,0.097,0.11,0.11,,,,,,,,
Scandinavian Res,SCR,0.185,-,-,,,,,,,,
Techniche Ltd,TCN,0.045,0.053,0.055,,,,,,,,
