Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4532.5 at 16:45 5/2/2010  Report at 19:05 Friday 5/2/2010. Processed 19:36 Friday 5/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Benitec Ltd,BLT,0.09,0.042,0.053,,,,,,,,
Country Road Ltd,CTY,4,3.7,3.75,,,,,,,,
Eden Energy Ltd,EDE,0.2,0.069,0.073,,,,,,,,
Global Iron Ltd,GFE,0.39,0.355,0.38,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Alcyone Res Ltd,AYN,0.032,0.038,0.036,,,,,,,,
Apex Min NL,AXM,0.027,0.03,0.03,,,,,,,,
Ausgold Ltd opt mar13,AUCO,0.036,-,-,,,,,,,,
Austin Explore opt nov11,AKKO,0.013,0.02,0.017,,,,,,,,
Azure Min,AZS,0.035,0.039,0.039,,,,,,,,
Bannerman Res,BMN,0.57,0.655,0.655,,,,,,,,
Beach Energy Ltd opt jun10,BPTO,0.001,0.01,0.01,,,,,,,,
Biotron Ltd opt dec11,BITO,0.024,0.029,0.025,,,,,,,,
Capral Ltd,CAA,0.25,0.31,0.29,,,,,,,,
Coretrack Ltd opt feb10,CKKO,0.015,0.02,0.02,,,,,,,,
Diatreme Res,DRX,0.1,0.12,0.12,,,,,,,,
Dominion Min,DOM,2.89,2.96,2.96,,,,,,,,
Elders Ltd,ELD,1.27,1.425,1.425,,,,,,,,
Energia Min Ltd,EMX,0.14,0.155,0.155,,,,,,,,
Engin Ltd,ENG,0.61,0.765,0.72,,,,,,,,
European Gas,EPG,0.094,0.135,0.135,,,,,,,,
Ferrum Crescent opt dec13,FCRO,0.009,0.011,0.011,,,,,,,,
Forest Enterprises,FEA,0.054,0.064,0.064,,,,,,,,
General Min Corp,GMM,0.15,0.165,0.165,,,,,,,,
Geodynamics Ltd,GDY,0.75,0.8,0.8,,,,,,,,
Goldminex Res,GMX,0.365,0.43,0.43,,,,,,,,
Green Invest Ltd,GNV,0.05,0.065,0.065,,,,,,,,
Gulf Mines Ltd,GLM,0.023,0.041,0.038,,,,,,,,
Innamincka Pet,INP,0.13,0.16,0.16,,,,,,,,
Intrepid Mines,IAU,0.21,0.255,0.255,,,,,,,,
Island Sky Aust,ISK,0.087,0.115,0.105,,,,,,,,
JV Global Ltd,JVG,0.006,0.008,0.007,,,,,,,,
Kathmandu Hldgs,KMD,1.5,1.55,1.515,,,,,,,,
Luiri Gold Ltd cdi 1:1,LGM,0.315,0.355,0.33,,,,,,,,
Marion Energy,MAE,0.099,0.11,0.11,,,,,,,,
Minemakers Ltd opt may10,MAKO,0.02,0.028,0.028,,,,,,,,
Mintails Ltd,MLI,0.032,0.034,0.034,,,,,,,,
Myer Hldgs Ltd,MYR,3.12,3.17,3.17,,,,,,,,
NT Res Ltd,NTR,0.175,-,-,,,,,,,,
ORH Ltd,ORH,0.032,0.038,0.038,,,,,,,,
Reverse Corp Ltd,REF,0.305,0.33,0.33,,,,,,,,
RIMCapital Ltd,RMC,0.025,0.032,0.032,,,,,,,,
SCV Grp Ltd,SCV,0.006,0.013,0.013,,,,,,,,
Sinovus Min Ltd,SNV,0.028,0.029,0.029,,,,,,,,
Sunshine Heart cdi,SHC,0.032,0.035,0.035,,,,,,,,
Thomas & Coffey,THO,0.5,0.54,0.53,,,,,,,,
Verticon Grp Ltd,VGP,0.004,0.005,0.005,,,,,,,,
Voyager Res,VOR,0.014,0.025,0.025,,,,,,,,
Westside Corp,WCL,0.38,0.44,0.44,,,,,,,,
Xiaoxiao Education,XXL,0.27,-,-,,,,,,,,
